trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,1,1,32,False,0,0,0
1,0,0,32,False,1,0,0
2,1,1,32,False,2,0,0
3,3,3,32,False,3,0,0
4,6,6,128,False,0,1,0
5,0,0,8,False,0,2,0
6,1,1,32,False,4,0,0
7,1,0,8,True,1,2,0
8,2,2,128,False,1,1,0
9,3,3,128,False,2,1,0
10,7,0,8,True,2,2,0
11,0,0,128,False,3,1,0
12,2,2,8,False,3,2,0
13,1,0,32,True,5,0,0
14,0,0,8,False,4,2,0
15,3,3,128,False,4,1,0
16,0,0,8,False,5,2,0
17,0,0,128,False,5,1,0
18,0,0,8,False,6,2,0
19,1,1,128,False,6,1,0
20,0,0,32,False,6,0,0
21,0,0,32,False,7,0,0
22,0,0,32,False,8,0,0
23,1,1,32,False,9,0,0
24,1,1,128,False,7,1,0
25,0,0,8,False,7,2,0
26,0,0,128,False,8,1,0
27,1,1,128,False,9,1,0
28,1,0,8,True,8,2,0
29,2,2,128,False,10,1,0
30,2,0,8,True,9,2,0
31,5,5,32,False,10,0,0
32,0,0,32,False,11,0,0
33,0,0,32,False,12,0,0
34,0,0,8,False,10,2,0
35,0,0,32,False,13,0,0
36,0,0,32,False,14,0,0
37,1,1,128,False,11,1,0
38,3,3,8,False,11,2,0
39,3,3,128,False,12,1,0
40,0,0,128,False,13,1,0
41,0,0,8,False,12,2,0
42,1,1,8,False,13,2,0
43,3,3,8,False,14,2,0
44,1,0,128,True,14,1,0
0,0,0,128,False,0,1,1
1,1,1,32,False,0,0,1
2,1,1,32,False,1,0,1
3,0,0,32,False,2,0,1
4,1,1,32,False,3,0,1
5,1,1,128,False,1,1,1
6,1,1,32,False,4,0,1
7,0,0,128,False,2,1,1
8,3,3,32,False,5,0,1
9,0,0,8,False,0,2,1
10,3,3,128,False,3,1,1
11,1,0,8,True,1,2,1
12,0,0,8,False,2,2,1
13,1,1,128,False,4,1,1
14,0,0,8,False,3,2,1
15,3,0,32,True,6,0,1
16,1,1,8,False,4,2,1
17,2,2,8,False,5,2,1
18,1,1,8,False,6,2,1
19,0,0,128,False,5,1,1
20,1,1,128,False,6,1,1
21,5,5,32,False,7,0,1
22,0,0,8,False,7,2,1
23,0,0,128,False,7,1,1
24,1,1,8,False,8,2,1
25,0,0,8,False,9,2,1
26,3,3,128,False,8,1,1
27,0,0,128,False,9,1,1
28,4,4,128,False,10,1,1
29,2,2,128,False,11,1,1
30,2,2,128,False,12,1,1
31,1,1,128,False,13,1,1
32,1,1,8,False,10,2,1
33,0,0,8,False,11,2,1
34,2,2,32,False,8,0,1
35,2,2,128,False,14,1,1
36,0,0,8,False,12,2,1
37,2,2,8,False,13,2,1
38,1,1,8,False,14,2,1
39,3,3,32,False,9,0,1
40,2,2,32,False,10,0,1
41,0,0,32,False,11,0,1
42,0,0,32,False,12,0,1
43,0,0,32,False,13,0,1
44,0,0,32,False,14,0,1
0,1,1,32,False,0,0,2
1,0,0,32,False,1,0,2
2,1,1,32,False,2,0,2
3,4,4,8,False,0,2,2
4,0,0,8,False,1,2,2
5,0,0,8,False,2,2,2
6,0,0,8,False,3,2,2
7,0,0,128,False,0,1,2
8,1,1,32,False,3,0,2
9,1,1,32,False,4,0,2
10,0,0,32,False,5,0,2
11,0,0,8,False,4,2,2
12,1,1,8,False,5,2,2
13,0,0,128,False,1,1,2
14,2,2,32,False,6,0,2
15,0,0,32,False,7,0,2
16,0,0,8,False,6,2,2
17,0,0,128,False,2,1,2
18,0,0,128,False,3,1,2
19,1,1,32,False,8,0,2
20,0,0,8,False,7,2,2
21,1,1,8,False,8,2,2
22,3,3,32,False,9,0,2
23,0,0,32,False,10,0,2
24,2,2,128,False,4,1,2
25,0,0,32,False,11,0,2
26,3,3,32,False,12,0,2
27,1,1,128,False,5,1,2
28,3,3,32,False,13,0,2
29,0,0,128,False,6,1,2
30,0,0,32,False,14,0,2
31,1,0,8,True,9,2,2
32,0,0,8,False,10,2,2
33,2,2,128,False,7,1,2
34,0,0,128,False,8,1,2
35,2,2,128,False,9,1,2
36,1,0,8,True,11,2,2
37,1,1,8,False,12,2,2
38,2,2,8,False,13,2,2
39,8,8,128,False,10,1,2
40,1,1,128,False,11,1,2
41,4,0,8,True,14,2,2
42,2,2,128,False,12,1,2
43,2,2,128,False,13,1,2
44,0,0,128,False,14,1,2
0,1,1,128,False,0,1,3
1,0,0,128,False,1,1,3
2,0,0,32,False,0,0,3
3,2,2,32,False,1,0,3
4,1,1,8,False,0,2,3
5,1,1,8,False,1,2,3
6,2,2,128,False,2,1,3
7,0,0,128,False,3,1,3
8,0,0,128,False,4,1,3
9,0,0,32,False,2,0,3
10,1,1,32,False,3,0,3
11,0,0,128,False,5,1,3
12,1,1,8,False,2,2,3
13,1,1,32,False,4,0,3
14,1,1,8,False,3,2,3
15,0,0,8,False,4,2,3
16,1,1,32,False,5,0,3
17,2,0,8,True,5,2,3
18,2,2,8,False,6,2,3
19,0,0,128,False,6,1,3
20,1,1,128,False,7,1,3
21,2,2,128,False,8,1,3
22,1,1,8,False,7,2,3
23,0,0,128,False,9,1,3
24,0,0,128,False,10,1,3
25,2,2,32,False,6,0,3
26,1,1,8,False,8,2,3
27,3,3,8,False,9,2,3
28,0,0,32,False,7,0,3
29,0,0,128,False,11,1,3
30,3,3,32,False,8,0,3
31,2,2,8,False,10,2,3
32,0,0,128,False,12,1,3
33,1,1,128,False,13,1,3
34,0,0,128,False,14,1,3
35,2,0,8,True,11,2,3
36,0,0,8,False,12,2,3
37,0,0,8,False,13,2,3
38,0,0,32,False,9,0,3
39,0,0,32,False,10,0,3
40,0,0,8,False,14,2,3
41,1,1,32,False,11,0,3
42,2,2,32,False,12,0,3
43,0,0,32,False,13,0,3
44,0,0,32,False,14,0,3
0,2,2,128,False,0,1,4
1,0,0,8,False,0,2,4
2,0,0,8,False,1,2,4
3,0,0,8,False,2,2,4
4,0,0,8,False,3,2,4
5,1,1,8,False,4,2,4
6,5,5,32,False,0,0,4
7,3,3,32,False,1,0,4
8,2,2,32,False,2,0,4
9,2,0,8,True,5,2,4
10,3,3,128,False,1,1,4
11,1,1,128,False,2,1,4
12,0,0,128,False,3,1,4
13,5,5,32,False,3,0,4
14,0,0,8,False,6,2,4
15,0,0,128,False,4,1,4
16,1,1,8,False,7,2,4
17,0,0,32,False,4,0,4
18,0,0,8,False,8,2,4
19,1,1,8,False,9,2,4
20,0,0,128,False,5,1,4
21,1,1,32,False,5,0,4
22,0,0,128,False,6,1,4
23,0,0,128,False,7,1,4
24,1,1,32,False,6,0,4
25,1,1,8,False,10,2,4
26,1,1,128,False,8,1,4
27,2,0,32,True,7,0,4
28,3,3,8,False,11,2,4
29,1,1,128,False,9,1,4
30,0,0,128,False,10,1,4
31,0,0,128,False,11,1,4
32,0,0,8,False,12,2,4
33,1,1,8,False,13,2,4
34,1,1,8,False,14,2,4
35,2,2,128,False,12,1,4
36,0,0,128,False,13,1,4
37,0,0,128,False,14,1,4
38,0,0,32,False,8,0,4
39,0,0,32,False,9,0,4
40,0,0,32,False,10,0,4
