trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,4,4,128,False,0,0,0
1,2,2,128,False,1,0,0
2,4,4,8,False,0,2,0
3,2,2,32,False,0,1,0
4,0,0,8,False,1,2,0
5,1,1,128,False,2,0,0
6,1,0,8,True,2,2,0
7,0,0,128,False,3,0,0
8,1,1,32,False,1,1,0
9,2,2,32,False,2,1,0
10,8,8,128,False,4,0,0
11,8,8,128,False,5,0,0
12,1,1,8,False,3,2,0
13,0,0,32,False,3,1,0
14,2,2,8,False,4,2,0
15,0,0,128,False,6,0,0
16,1,1,32,False,4,1,0
17,3,3,32,False,5,1,0
18,5,5,32,False,6,1,0
19,2,2,32,False,7,1,0
20,3,3,8,False,5,2,0
21,0,0,128,False,7,0,0
22,3,3,128,False,8,0,0
23,1,1,8,False,6,2,0
24,5,5,128,False,9,0,0
25,0,0,8,False,7,2,0
26,0,0,32,False,8,1,0
27,2,2,32,False,9,1,0
28,4,0,8,True,8,2,0
29,2,2,128,False,10,0,0
30,9,9,128,False,11,0,0
31,2,2,8,False,9,2,0
32,2,2,8,False,10,2,0
33,2,2,128,False,12,0,0
34,3,3,32,False,10,1,0
35,0,0,32,False,11,1,0
36,3,3,128,False,13,0,0
37,1,1,32,False,12,1,0
38,2,2,8,False,11,2,0
39,1,1,128,False,14,0,0
40,1,0,8,True,12,2,0
41,0,0,32,False,13,1,0
42,1,1,32,False,14,1,0
43,2,0,8,True,13,2,0
44,1,1,8,False,14,2,0
0,1,1,32,False,0,1,1
1,1,1,32,False,1,1,1
2,0,0,128,False,0,0,1
3,7,7,128,False,1,0,1
4,1,1,128,False,2,0,1
5,0,0,128,False,3,0,1
6,1,0,8,True,0,2,1
7,0,0,32,False,2,1,1
8,0,0,128,False,4,0,1
9,0,0,32,False,3,1,1
10,0,0,8,False,1,2,1
11,1,1,8,False,2,2,1
12,0,0,8,False,3,2,1
13,0,0,8,False,4,2,1
14,0,0,8,False,5,2,1
15,0,0,128,False,5,0,1
16,1,1,128,False,6,0,1
17,0,0,32,False,4,1,1
18,0,0,32,False,5,1,1
19,1,1,32,False,6,1,1
20,0,0,128,False,7,0,1
21,1,1,128,False,8,0,1
22,0,0,32,False,7,1,1
23,0,0,128,False,9,0,1
24,0,0,32,False,8,1,1
25,0,0,32,False,9,1,1
26,0,0,8,False,6,2,1
27,0,0,128,False,10,0,1
28,1,1,32,False,10,1,1
29,1,1,128,False,11,0,1
30,0,0,128,False,12,0,1
31,1,1,32,False,11,1,1
32,1,1,8,False,7,2,1
33,0,0,128,False,13,0,1
34,2,2,32,False,12,1,1
35,0,0,128,False,14,0,1
36,0,0,32,False,13,1,1
37,0,0,8,False,8,2,1
38,0,0,8,False,9,2,1
39,0,0,32,False,14,1,1
40,0,0,8,False,10,2,1
41,0,0,8,False,11,2,1
42,0,0,8,False,12,2,1
43,0,0,8,False,13,2,1
44,0,0,8,False,14,2,1
0,0,0,128,False,0,0,2
1,0,0,128,False,1,0,2
2,0,0,8,False,0,2,2
3,0,0,128,False,2,0,2
4,2,0,8,True,1,2,2
5,0,0,8,False,2,2,2
6,0,0,8,False,3,2,2
7,0,0,32,False,0,1,2
8,0,0,32,False,1,1,2
9,0,0,128,False,3,0,2
10,2,2,32,False,2,1,2
11,0,0,8,False,4,2,2
12,0,0,128,False,4,0,2
13,0,0,32,False,3,1,2
14,1,1,128,False,5,0,2
15,0,0,128,False,6,0,2
16,1,1,8,False,5,2,2
17,0,0,128,False,7,0,2
18,2,2,32,False,4,1,2
19,2,2,8,False,6,2,2
20,1,1,8,False,7,2,2
21,0,0,128,False,8,0,2
22,1,1,8,False,8,2,2
23,2,2,32,False,5,1,2
24,0,0,8,False,9,2,2
25,1,1,8,False,10,2,2
26,0,0,128,False,9,0,2
27,0,0,128,False,10,0,2
28,1,1,8,False,11,2,2
29,0,0,32,False,6,1,2
30,0,0,32,False,7,1,2
31,0,0,32,False,8,1,2
32,0,0,128,False,11,0,2
33,0,0,128,False,12,0,2
34,0,0,128,False,13,0,2
35,2,2,32,False,9,1,2
36,2,2,32,False,10,1,2
37,0,0,128,False,14,0,2
38,5,5,8,False,12,2,2
39,1,1,32,False,11,1,2
40,0,0,8,False,13,2,2
41,0,0,8,False,14,2,2
42,0,0,32,False,12,1,2
43,0,0,32,False,13,1,2
44,2,2,32,False,14,1,2
0,1,1,32,False,0,1,3
1,2,2,8,False,0,2,3
2,2,0,8,True,1,2,3
3,1,1,8,False,2,2,3
4,0,0,128,False,0,0,3
5,1,1,8,False,3,2,3
6,0,0,32,False,1,1,3
7,6,0,32,True,2,1,3
8,0,0,8,False,4,2,3
9,0,0,8,False,5,2,3
10,5,5,32,False,3,1,3
11,0,0,8,False,6,2,3
12,3,0,8,True,7,2,3
13,3,3,128,False,1,0,3
14,1,0,8,True,8,2,3
15,1,0,8,True,9,2,3
16,2,0,8,True,10,2,3
17,0,0,8,False,11,2,3
18,3,3,128,False,2,0,3
19,1,0,8,True,12,2,3
20,1,1,128,False,3,0,3
21,0,0,32,False,4,1,3
22,0,0,8,False,13,2,3
23,7,7,32,False,5,1,3
24,0,0,8,False,14,2,3
25,5,5,128,False,4,0,3
26,0,0,32,False,6,1,3
27,0,0,128,False,5,0,3
28,4,4,128,False,6,0,3
29,5,5,128,False,7,0,3
30,0,0,32,False,7,1,3
31,4,4,128,False,8,0,3
32,3,3,32,False,8,1,3
33,0,0,128,False,9,0,3
34,1,1,32,False,9,1,3
35,3,3,128,False,10,0,3
36,0,0,128,False,11,0,3
37,2,2,128,False,12,0,3
38,4,4,32,False,10,1,3
39,11,11,128,False,13,0,3
40,5,5,128,False,14,0,3
41,1,0,32,True,11,1,3
42,5,0,32,True,12,1,3
43,4,0,32,True,13,1,3
44,0,0,32,False,14,1,3
0,0,0,32,False,0,1,4
1,1,1,32,False,1,1,4
2,2,2,32,False,2,1,4
3,1,1,32,False,3,1,4
4,0,0,128,False,0,0,4
5,1,1,8,False,0,2,4
6,0,0,32,False,4,1,4
7,1,1,8,False,1,2,4
8,1,1,32,False,5,1,4
9,0,0,128,False,1,0,4
10,0,0,8,False,2,2,4
11,0,0,128,False,2,0,4
12,3,3,32,False,6,1,4
13,1,1,32,False,7,1,4
14,0,0,128,False,3,0,4
15,0,0,8,False,3,2,4
16,2,2,128,False,4,0,4
17,1,1,8,False,4,2,4
18,2,2,8,False,5,2,4
19,0,0,8,False,6,2,4
20,0,0,32,False,8,1,4
21,0,0,8,False,7,2,4
22,0,0,8,False,8,2,4
23,0,0,128,False,5,0,4
24,1,1,128,False,6,0,4
25,2,2,8,False,9,2,4
26,0,0,128,False,7,0,4
27,0,0,32,False,9,1,4
28,0,0,8,False,10,2,4
29,0,0,128,False,8,0,4
30,0,0,128,False,9,0,4
31,0,0,128,False,10,0,4
32,0,0,128,False,11,0,4
33,0,0,128,False,12,0,4
34,2,2,32,False,10,1,4
35,0,0,8,False,11,2,4
36,0,0,128,False,13,0,4
37,0,0,128,False,14,0,4
38,2,2,8,False,12,2,4
39,0,0,32,False,11,1,4
40,0,0,8,False,13,2,4
41,0,0,32,False,12,1,4
42,0,0,8,False,14,2,4
43,3,3,32,False,13,1,4
44,0,0,32,False,14,1,4
0,0,0,8,False,0,2,5
1,1,1,8,False,1,2,5
2,0,0,32,False,0,1,5
3,2,2,8,False,2,2,5
4,0,0,32,False,1,1,5
5,0,0,8,False,3,2,5
6,0,0,8,False,4,2,5
7,0,0,32,False,2,1,5
8,2,2,32,False,3,1,5
9,2,2,32,False,4,1,5
10,0,0,128,False,0,0,5
11,2,0,32,True,5,1,5
12,0,0,8,False,5,2,5
13,0,0,128,False,1,0,5
14,0,0,128,False,2,0,5
15,0,0,8,False,6,2,5
16,1,1,32,False,6,1,5
17,1,1,128,False,3,0,5
18,2,2,8,False,7,2,5
19,1,1,32,False,7,1,5
20,0,0,128,False,4,0,5
21,0,0,32,False,8,1,5
22,0,0,128,False,5,0,5
23,0,0,128,False,6,0,5
24,0,0,32,False,9,1,5
25,0,0,8,False,8,2,5
26,0,0,32,False,10,1,5
27,0,0,8,False,9,2,5
28,0,0,128,False,7,0,5
29,3,3,128,False,8,0,5
30,0,0,8,False,10,2,5
31,0,0,8,False,11,2,5
32,0,0,128,False,9,0,5
33,0,0,8,False,12,2,5
34,1,1,128,False,10,0,5
35,0,0,8,False,13,2,5
36,0,0,32,False,11,1,5
37,1,1,8,False,14,2,5
38,1,1,32,False,12,1,5
39,1,1,128,False,11,0,5
40,0,0,128,False,12,0,5
41,2,2,32,False,13,1,5
42,1,1,128,False,13,0,5
43,0,0,32,False,14,1,5
44,0,0,128,False,14,0,5
0,1,1,128,False,0,0,6
1,0,0,32,False,0,1,6
2,0,0,32,False,1,1,6
3,1,0,32,True,2,1,6
4,1,1,128,False,1,0,6
5,1,1,32,False,3,1,6
6,1,1,128,False,2,0,6
7,2,2,8,False,0,2,6
8,1,1,8,False,1,2,6
9,0,0,8,False,2,2,6
10,3,3,32,False,4,1,6
11,0,0,128,False,3,0,6
12,0,0,8,False,3,2,6
13,1,1,128,False,4,0,6
14,2,2,32,False,5,1,6
15,0,0,32,False,6,1,6
16,1,1,32,False,7,1,6
17,0,0,32,False,8,1,6
18,1,1,32,False,9,1,6
19,1,1,8,False,4,2,6
20,2,2,8,False,5,2,6
21,2,2,128,False,5,0,6
22,2,2,8,False,6,2,6
23,0,0,32,False,10,1,6
24,6,6,128,False,6,0,6
25,4,4,32,False,11,1,6
26,11,11,128,False,7,0,6
27,2,2,128,False,8,0,6
28,5,5,8,False,7,2,6
29,2,2,8,False,8,2,6
30,1,1,32,False,12,1,6
31,0,0,8,False,9,2,6
32,1,1,32,False,13,1,6
33,2,2,128,False,9,0,6
34,1,1,32,False,14,1,6
35,3,3,128,False,10,0,6
36,3,3,8,False,10,2,6
37,0,0,8,False,11,2,6
38,0,0,128,False,11,0,6
39,2,2,8,False,12,2,6
40,0,0,128,False,12,0,6
41,0,0,128,False,13,0,6
42,1,1,128,False,14,0,6
43,1,1,8,False,13,2,6
44,1,1,8,False,14,2,6
0,0,0,8,False,0,2,7
1,1,1,32,False,0,1,7
2,0,0,128,False,0,0,7
3,0,0,8,False,1,2,7
