trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,1,1,8,False,0,0,0
1,3,3,8,False,1,0,0
2,1,1,128,False,0,2,0
3,0,0,128,False,1,2,0
4,4,4,8,False,2,0,0
5,0,0,8,False,3,0,0
6,0,0,8,False,4,0,0
7,6,0,32,True,0,1,0
8,0,0,32,False,1,1,0
9,2,2,8,False,5,0,0
10,2,2,128,False,2,2,0
11,2,2,8,False,6,0,0
12,0,0,8,False,7,0,0
13,0,0,128,False,3,2,0
14,0,0,32,False,2,1,0
15,1,1,128,False,4,2,0
16,2,2,128,False,5,2,0
17,0,0,8,False,8,0,0
18,1,1,128,False,6,2,0
19,2,2,128,False,7,2,0
20,4,4,32,False,3,1,0
21,0,0,32,False,4,1,0
22,1,1,8,False,9,0,0
23,2,0,8,True,10,0,0
24,0,0,32,False,5,1,0
25,0,0,128,False,8,2,0
26,2,2,128,False,9,2,0
27,1,1,128,False,10,2,0
28,1,1,128,False,11,2,0
29,0,0,32,False,6,1,0
30,2,2,8,False,11,0,0
31,3,0,8,True,12,0,0
32,1,1,8,False,13,0,0
33,3,3,128,False,12,2,0
34,1,1,128,False,13,2,0
35,0,0,128,False,14,2,0
36,0,0,8,False,14,0,0
37,2,2,32,False,7,1,0
38,0,0,32,False,8,1,0
39,0,0,32,False,9,1,0
40,5,5,32,False,10,1,0
41,1,1,32,False,11,1,0
42,0,0,32,False,12,1,0
43,2,2,32,False,13,1,0
44,4,4,32,False,14,1,0
0,0,0,32,False,0,1,1
1,2,2,8,False,0,0,1
2,0,0,128,False,0,2,1
3,3,3,128,False,1,2,1
4,0,0,8,False,1,0,1
5,0,0,32,False,1,1,1
6,0,0,32,False,2,1,1
7,0,0,8,False,2,0,1
8,1,1,32,False,3,1,1
9,2,2,128,False,2,2,1
10,0,0,32,False,4,1,1
11,0,0,128,False,3,2,1
12,0,0,128,False,4,2,1
13,4,4,32,False,5,1,1
14,0,0,128,False,5,2,1
15,0,0,32,False,6,1,1
16,1,1,8,False,3,0,1
17,1,0,8,True,4,0,1
18,0,0,32,False,7,1,1
19,2,2,128,False,6,2,1
20,0,0,128,False,7,2,1
21,0,0,8,False,5,0,1
22,0,0,8,False,6,0,1
23,0,0,8,False,7,0,1
24,0,0,128,False,8,2,1
25,0,0,128,False,9,2,1
26,1,1,8,False,8,0,1
27,0,0,8,False,9,0,1
28,0,0,8,False,10,0,1
29,0,0,128,False,10,2,1
30,0,0,128,False,11,2,1
31,0,0,32,False,8,1,1
32,0,0,8,False,11,0,1
33,0,0,32,False,9,1,1
34,2,0,8,True,12,0,1
35,0,0,32,False,10,1,1
36,0,0,128,False,12,2,1
37,0,0,32,False,11,1,1
38,0,0,8,False,13,0,1
39,0,0,8,False,14,0,1
40,0,0,32,False,12,1,1
41,0,0,128,False,13,2,1
42,0,0,32,False,13,1,1
43,0,0,32,False,14,1,1
44,2,2,128,False,14,2,1
0,2,2,8,False,0,0,2
1,0,0,128,False,0,2,2
2,0,0,128,False,1,2,2
3,1,1,128,False,2,2,2
4,0,0,128,False,3,2,2
5,0,0,8,False,1,0,2
6,1,1,8,False,2,0,2
7,1,1,128,False,4,2,2
8,0,0,128,False,5,2,2
9,1,1,32,False,0,1,2
10,0,0,32,False,1,1,2
11,0,0,128,False,6,2,2
12,0,0,128,False,7,2,2
13,0,0,32,False,2,1,2
14,0,0,8,False,3,0,2
15,0,0,128,False,8,2,2
16,6,6,8,False,4,0,2
17,0,0,128,False,9,2,2
18,0,0,8,False,5,0,2
19,1,0,32,True,3,1,2
20,0,0,8,False,6,0,2
21,1,0,32,True,4,1,2
22,0,0,32,False,5,1,2
23,1,1,32,False,6,1,2
24,1,1,8,False,7,0,2
25,0,0,32,False,7,1,2
26,2,2,8,False,8,0,2
