trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,2,2,32,False,0,0,0
1,1,0,32,True,1,0,0
2,0,0,128,False,0,2,0
3,0,0,128,False,1,2,0
4,9,9,32,False,2,0,0
5,0,0,128,False,2,2,0
6,1,1,32,False,3,0,0
7,1,0,8,True,0,1,0
8,2,2,32,False,4,0,0
9,1,0,8,True,1,1,0
10,0,0,8,False,2,1,0
11,0,0,8,False,3,1,0
12,1,1,32,False,5,0,0
13,0,0,128,False,3,2,0
14,0,0,32,False,6,0,0
15,1,1,8,False,4,1,0
16,0,0,128,False,4,2,0
17,1,1,32,False,7,0,0
18,1,1,128,False,5,2,0
19,1,1,32,False,8,0,0
20,1,1,32,False,9,0,0
21,0,0,128,False,6,2,0
22,2,2,8,False,5,1,0
23,1,1,32,False,10,0,0
24,5,5,8,False,6,1,0
25,2,2,32,False,11,0,0
26,1,1,8,False,7,1,0
27,2,0,8,True,8,1,0
28,2,2,8,False,9,1,0
29,0,0,128,False,7,2,0
30,5,0,8,True,10,1,0
31,3,0,32,True,12,0,0
32,9,9,32,False,13,0,0
33,0,0,128,False,8,2,0
34,4,4,32,False,14,0,0
35,7,7,128,False,9,2,0
36,0,0,128,False,10,2,0
37,1,1,8,False,11,1,0
38,2,2,128,False,11,2,0
39,3,3,128,False,12,2,0
40,1,1,128,False,13,2,0
41,1,1,8,False,12,1,0
42,0,0,128,False,14,2,0
43,1,1,8,False,13,1,0
44,0,0,8,False,14,1,0
0,0,0,8,False,0,1,1
1,0,0,32,False,0,0,1
2,0,0,32,False,1,0,1
3,0,0,32,False,2,0,1
4,0,0,128,False,0,2,1
5,0,0,32,False,3,0,1
6,0,0,32,False,4,0,1
7,0,0,32,False,5,0,1
8,1,1,128,False,1,2,1
9,1,1,128,False,2,2,1
10,0,0,32,False,6,0,1
11,1,1,128,False,3,2,1
12,1,1,32,False,7,0,1
13,1,1,32,False,8,0,1
14,7,7,32,False,9,0,1
15,0,0,32,False,10,0,1
16,0,0,8,False,1,1,1
17,1,1,128,False,4,2,1
18,0,0,8,False,2,1,1
19,0,0,128,False,5,2,1
20,0,0,32,False,11,0,1
21,0,0,8,False,3,1,1
22,0,0,32,False,12,0,1
23,0,0,128,False,6,2,1
24,1,0,8,True,4,1,1
25,4,4,32,False,13,0,1
26,0,0,128,False,7,2,1
27,0,0,8,False,5,1,1
28,0,0,32,False,14,0,1
29,1,1,8,False,6,1,1
30,0,0,8,False,7,1,1
31,0,0,128,False,8,2,1
32,0,0,128,False,9,2,1
33,0,0,128,False,10,2,1
34,0,0,8,False,8,1,1
35,1,1,128,False,11,2,1
36,0,0,8,False,9,1,1
37,0,0,8,False,10,1,1
38,0,0,8,False,11,1,1
39,0,0,128,False,12,2,1
40,0,0,128,False,13,2,1
41,1,1,128,False,14,2,1
42,0,0,8,False,12,1,1
43,1,1,8,False,13,1,1
44,1,1,8,False,14,1,1
0,3,3,32,False,0,0,2
1,3,3,128,False,0,2,2
2,1,1,128,False,1,2,2
3,1,1,128,False,2,2,2
4,0,0,32,False,1,0,2
5,0,0,128,False,3,2,2
6,0,0,32,False,2,0,2
7,0,0,32,False,3,0,2
8,0,0,32,False,4,0,2
9,4,4,128,False,4,2,2
10,1,1,32,False,5,0,2
11,0,0,128,False,5,2,2
12,2,2,32,False,6,0,2
13,2,2,32,False,7,0,2
14,0,0,8,False,0,1,2
15,0,0,8,False,1,1,2
16,0,0,128,False,6,2,2
17,0,0,128,False,7,2,2
18,0,0,128,False,8,2,2
19,0,0,8,False,2,1,2
20,2,2,128,False,9,2,2
21,0,0,8,False,3,1,2
22,0,0,32,False,8,0,2
23,3,3,8,False,4,1,2
24,0,0,32,False,9,0,2
25,0,0,128,False,10,2,2
26,3,3,32,False,10,0,2
27,1,1,8,False,5,1,2
28,1,1,8,False,6,1,2
29,0,0,32,False,11,0,2
30,3,3,8,False,7,1,2
31,0,0,128,False,11,2,2
32,0,0,32,False,12,0,2
33,0,0,8,False,8,1,2
34,0,0,8,False,9,1,2
35,0,0,8,False,10,1,2
36,0,0,32,False,13,0,2
37,1,1,8,False,11,1,2
38,0,0,128,False,12,2,2
39,0,0,128,False,13,2,2
40,1,1,128,False,14,2,2
41,0,0,32,False,14,0,2
42,1,1,8,False,12,1,2
43,1,1,8,False,13,1,2
44,1,1,8,False,14,1,2
0,1,1,8,False,0,1,3
1,0,0,128,False,0,2,3
2,1,1,32,False,0,0,3
3,0,0,128,False,1,2,3
4,0,0,32,False,1,0,3
5,0,0,8,False,1,1,3
6,4,4,8,False,2,1,3
7,0,0,32,False,2,0,3
8,0,0,8,False,3,1,3
9,2,2,8,False,4,1,3
10,0,0,32,False,3,0,3
11,6,6,128,False,2,2,3
12,9,9,128,False,3,2,3
13,1,1,32,False,4,0,3
14,0,0,128,False,4,2,3
15,0,0,32,False,5,0,3
16,3,3,128,False,5,2,3
17,3,3,32,False,6,0,3
18,0,0,8,False,5,1,3
19,6,0,32,True,7,0,3
20,9,0,128,True,6,2,3
21,2,2,8,False,6,1,3
22,15,15,128,False,7,2,3
23,5,5,128,False,8,2,3
24,3,3,8,False,7,1,3
25,4,4,128,False,9,2,3
26,0,0,128,False,10,2,3
27,0,0,32,False,8,0,3
28,7,7,32,False,9,0,3
29,5,5,32,False,10,0,3
30,2,2,128,False,11,2,3
31,1,1,128,False,12,2,3
32,2,2,32,False,11,0,3
33,0,0,128,False,13,2,3
34,2,2,8,False,8,1,3
35,0,0,32,False,12,0,3
36,6,6,32,False,13,0,3
37,4,4,128,False,14,2,3
38,1,1,8,False,9,1,3
39,0,0,8,False,10,1,3
40,10,10,32,False,14,0,3
41,3,3,8,False,11,1,3
42,0,0,8,False,12,1,3
43,0,0,8,False,13,1,3
44,5,5,8,False,14,1,3
0,1,1,8,False,0,1,4
1,0,0,32,False,0,0,4
2,0,0,128,False,0,2,4
3,0,0,128,False,1,2,4
4,2,2,128,False,2,2,4
5,3,3,8,False,1,1,4
6,1,1,32,False,1,0,4
7,3,3,8,False,2,1,4
8,3,3,8,False,3,1,4
9,0,0,128,False,3,2,4
10,2,2,128,False,4,2,4
11,1,1,32,False,2,0,4
12,0,0,8,False,4,1,4
13,0,0,32,False,3,0,4
14,0,0,32,False,4,0,4
15,0,0,128,False,5,2,4
16,0,0,8,False,5,1,4
17,1,1,128,False,6,2,4
18,0,0,128,False,7,2,4
19,0,0,128,False,8,2,4
20,1,1,128,False,9,2,4
21,1,1,8,False,6,1,4
22,0,0,32,False,5,0,4
23,0,0,128,False,10,2,4
24,1,1,128,False,11,2,4
25,0,0,32,False,6,0,4
26,0,0,8,False,7,1,4
27,0,0,32,False,7,0,4
28,0,0,32,False,8,0,4
29,0,0,32,False,9,0,4
30,0,0,128,False,12,2,4
31,2,2,8,False,8,1,4
32,0,0,128,False,13,2,4
33,0,0,128,False,14,2,4
34,2,0,8,True,9,1,4
35,0,0,32,False,10,0,4
36,0,0,8,False,10,1,4
37,0,0,32,False,11,0,4
38,0,0,32,False,12,0,4
39,1,0,8,True,11,1,4
40,0,0,32,False,13,0,4
41,1,1,8,False,12,1,4
42,4,0,32,True,14,0,4
43,0,0,8,False,13,1,4
44,0,0,8,False,14,1,4
0,1,1,128,False,0,2,5
1,0,0,8,False,0,1,5
2,0,0,8,False,1,1,5
3,1,1,8,False,2,1,5
4,2,2,8,False,3,1,5
5,1,1,8,False,4,1,5
6,0,0,8,False,5,1,5
7,1,1,32,False,0,0,5
8,0,0,128,False,1,2,5
9,0,0,128,False,2,2,5
10,0,0,128,False,3,2,5
11,0,0,128,False,4,2,5
12,1,1,128,False,5,2,5
13,0,0,32,False,1,0,5
14,0,0,128,False,6,2,5
15,0,0,128,False,7,2,5
16,0,0,128,False,8,2,5
17,0,0,128,False,9,2,5
18,0,0,32,False,2,0,5
19,3,0,32,True,3,0,5
20,0,0,128,False,10,2,5
21,0,0,128,False,11,2,5
22,0,0,128,False,12,2,5
23,0,0,32,False,4,0,5
24,0,0,32,False,5,0,5
25,1,1,8,False,6,1,5
26,0,0,128,False,13,2,5
27,0,0,128,False,14,2,5
28,0,0,32,False,6,0,5
29,0,0,8,False,7,1,5
30,1,1,32,False,7,0,5
31,0,0,32,False,8,0,5
32,0,0,8,False,8,1,5
33,1,1,8,False,9,1,5
34,1,1,8,False,10,1,5
35,0,0,8,False,11,1,5
36,0,0,8,False,12,1,5
37,0,0,8,False,13,1,5
38,0,0,32,False,9,0,5
39,0,0,8,False,14,1,5
40,0,0,32,False,10,0,5
41,0,0,32,False,11,0,5
42,1,1,32,False,12,0,5
43,0,0,32,False,13,0,5
44,0,0,32,False,14,0,5
0,0,0,32,False,0,0,6
1,2,2,128,False,0,2,6
