trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,1,1,8,False,0,0,0
1,2,2,8,False,1,0,0
2,0,0,128,False,0,2,0
3,1,1,8,False,2,0,0
4,4,4,128,False,1,2,0
5,0,0,8,False,3,0,0
6,2,2,8,False,4,0,0
7,0,0,32,False,0,1,0
8,3,3,128,False,2,2,0
9,1,1,8,False,5,0,0
10,0,0,128,False,3,2,0
11,0,0,128,False,4,2,0
12,1,1,8,False,6,0,0
13,1,0,8,True,7,0,0
14,7,7,128,False,5,2,0
15,6,6,128,False,6,2,0
16,5,5,128,False,7,2,0
17,0,0,32,False,1,1,0
18,0,0,128,False,8,2,0
19,1,1,8,False,8,0,0
20,7,0,32,True,2,1,0
21,0,0,32,False,3,1,0
22,3,0,8,True,9,0,0
23,0,0,32,False,4,1,0
24,0,0,32,False,5,1,0
25,2,0,8,True,10,0,0
26,3,3,32,False,6,1,0
27,3,3,32,False,7,1,0
28,0,0,8,False,11,0,0
29,0,0,8,False,12,0,0
30,0,0,32,False,8,1,0
31,3,3,32,False,9,1,0
32,4,0,8,True,13,0,0
33,5,5,128,False,9,2,0
34,2,2,128,False,10,2,0
35,0,0,8,False,14,0,0
36,0,0,32,False,10,1,0
37,1,1,32,False,11,1,0
38,0,0,128,False,11,2,0
39,4,4,128,False,12,2,0
40,0,0,128,False,13,2,0
41,2,2,128,False,14,2,0
42,5,5,32,False,12,1,0
43,0,0,32,False,13,1,0
44,2,2,32,False,14,1,0
0,0,0,32,False,0,1,1
1,1,1,8,False,0,0,1
2,0,0,8,False,1,0,1
3,2,2,128,False,0,2,1
4,1,1,128,False,1,2,1
5,2,2,128,False,2,2,1
6,0,0,8,False,2,0,1
7,1,1,8,False,3,0,1
8,2,2,32,False,1,1,1
9,1,1,8,False,4,0,1
10,2,2,32,False,2,1,1
11,1,1,32,False,3,1,1
12,0,0,32,False,4,1,1
13,0,0,128,False,3,2,1
14,0,0,128,False,4,2,1
15,1,1,32,False,5,1,1
16,0,0,8,False,5,0,1
17,0,0,128,False,5,2,1
18,0,0,8,False,6,0,1
19,1,1,128,False,6,2,1
20,0,0,128,False,7,2,1
21,0,0,128,False,8,2,1
22,0,0,32,False,6,1,1
23,1,1,32,False,7,1,1
24,0,0,128,False,9,2,1
25,0,0,128,False,10,2,1
26,0,0,8,False,7,0,1
27,1,1,8,False,8,0,1
28,0,0,128,False,11,2,1
29,2,2,128,False,12,2,1
30,0,0,32,False,8,1,1
31,0,0,32,False,9,1,1
32,0,0,8,False,9,0,1
33,0,0,32,False,10,1,1
34,0,0,128,False,13,2,1
35,2,2,128,False,14,2,1
36,0,0,32,False,11,1,1
37,1,1,32,False,12,1,1
38,1,0,8,True,10,0,1
39,0,0,8,False,11,0,1
40,1,1,32,False,13,1,1
41,0,0,8,False,12,0,1
42,0,0,8,False,13,0,1
43,0,0,8,False,14,0,1
44,0,0,32,False,14,1,1
0,1,1,8,False,0,0,2
1,0,0,8,False,1,0,2
2,1,1,8,False,2,0,2
3,5,5,128,False,0,2,2
4,0,0,8,False,3,0,2
5,2,2,128,False,1,2,2
6,1,0,32,True,0,1,2
7,0,0,32,False,1,1,2
8,0,0,32,False,2,1,2
9,0,0,8,False,4,0,2
10,1,1,32,False,3,1,2
11,0,0,32,False,4,1,2
12,0,0,32,False,5,1,2
13,0,0,128,False,2,2,2
14,0,0,128,False,3,2,2
15,2,2,128,False,4,2,2
16,0,0,8,False,5,0,2
17,0,0,8,False,6,0,2
18,0,0,128,False,5,2,2
19,1,1,128,False,6,2,2
20,2,2,32,False,6,1,2
21,0,0,32,False,7,1,2
22,0,0,8,False,7,0,2
23,1,1,128,False,7,2,2
24,0,0,8,False,8,0,2
25,0,0,128,False,8,2,2
26,0,0,8,False,9,0,2
27,0,0,128,False,9,2,2
28,0,0,8,False,10,0,2
29,1,1,128,False,10,2,2
30,2,2,32,False,8,1,2
31,1,1,8,False,11,0,2
32,0,0,128,False,11,2,2
33,3,3,128,False,12,2,2
34,0,0,8,False,12,0,2
35,0,0,32,False,9,1,2
36,0,0,8,False,13,0,2
37,4,4,32,False,10,1,2
38,0,0,128,False,13,2,2
39,0,0,32,False,11,1,2
40,0,0,32,False,12,1,2
41,1,1,128,False,14,2,2
42,0,0,32,False,13,1,2
43,0,0,32,False,14,1,2
44,2,2,8,False,14,0,2
0,0,0,32,False,0,1,3
1,5,5,8,False,0,0,3
2,1,1,32,False,1,1,3
3,2,2,32,False,2,1,3
4,3,3,128,False,0,2,3
5,2,2,128,False,1,2,3
6,1,1,128,False,2,2,3
7,0,0,8,False,1,0,3
8,2,2,32,False,3,1,3
9,5,0,8,True,2,0,3
10,3,3,32,False,4,1,3
11,0,0,32,False,5,1,3
12,2,2,32,False,6,1,3
13,4,4,32,False,7,1,3
14,11,11,128,False,3,2,3
15,4,4,8,False,3,0,3
16,0,0,8,False,4,0,3
17,0,0,128,False,4,2,3
18,2,2,128,False,5,2,3
19,5,0,8,True,5,0,3
20,14,14,128,False,6,2,3
21,5,5,128,False,7,2,3
22,1,1,32,False,8,1,3
23,1,1,32,False,9,1,3
24,0,0,32,False,10,1,3
25,1,1,32,False,11,1,3
26,5,0,8,True,6,0,3
27,2,2,32,False,12,1,3
28,8,8,128,False,8,2,3
29,2,2,128,False,9,2,3
30,0,0,32,False,13,1,3
31,1,1,8,False,7,0,3
32,1,1,128,False,10,2,3
33,0,0,32,False,14,1,3
34,1,0,8,True,8,0,3
35,1,0,8,True,9,0,3
36,2,2,8,False,10,0,3
37,1,1,8,False,11,0,3
38,2,2,128,False,11,2,3
39,1,1,8,False,12,0,3
40,4,4,128,False,12,2,3
41,3,0,8,True,13,0,3
42,1,1,128,False,13,2,3
43,1,1,8,False,14,0,3
44,0,0,128,False,14,2,3
0,2,2,32,False,0,1,4
1,0,0,32,False,1,1,4
2,1,1,128,False,0,2,4
3,1,1,8,False,0,0,4
4,0,0,32,False,2,1,4
5,0,0,128,False,1,2,4
6,1,0,32,True,3,1,4
7,0,0,8,False,1,0,4
8,0,0,8,False,2,0,4
9,2,2,128,False,2,2,4
10,0,0,128,False,3,2,4
11,1,1,128,False,4,2,4
12,0,0,32,False,4,1,4
13,0,0,128,False,5,2,4
14,4,4,8,False,3,0,4
15,0,0,128,False,6,2,4
16,1,1,128,False,7,2,4
17,0,0,128,False,8,2,4
18,0,0,32,False,5,1,4
19,0,0,32,False,6,1,4
20,0,0,128,False,9,2,4
21,0,0,8,False,4,0,4
22,0,0,8,False,5,0,4
23,0,0,32,False,7,1,4
24,0,0,128,False,10,2,4
25,1,1,32,False,8,1,4
26,2,2,128,False,11,2,4
27,2,2,8,False,6,0,4
28,0,0,128,False,12,2,4
29,0,0,8,False,7,0,4
30,1,1,8,False,8,0,4
31,1,1,128,False,13,2,4
32,0,0,32,False,9,1,4
33,2,0,8,True,9,0,4
34,0,0,128,False,14,2,4
35,1,1,32,False,10,1,4
36,6,6,32,False,11,1,4
37,0,0,32,False,12,1,4
38,2,2,32,False,13,1,4
39,0,0,32,False,14,1,4
40,1,1,8,False,10,0,4
41,0,0,8,False,11,0,4
42,0,0,8,False,12,0,4
43,0,0,8,False,13,0,4
44,0,0,8,False,14,0,4
0,4,4,128,False,0,2,5
1,3,3,32,False,0,1,5
2,6,6,8,False,0,0,5
3,0,0,32,False,1,1,5
4,0,0,8,False,1,0,5
5,3,3,128,False,1,2,5
6,1,1,8,False,2,0,5
7,2,2,128,False,2,2,5
8,2,2,8,False,3,0,5
9,2,2,32,False,2,1,5
10,0,0,32,False,3,1,5
11,1,1,32,False,4,1,5
12,1,1,8,False,4,0,5
13,0,0,32,False,5,1,5
14,0,0,8,False,5,0,5
15,0,0,8,False,6,0,5
16,1,1,128,False,3,2,5
17,0,0,8,False,7,0,5
18,1,1,32,False,6,1,5
19,1,1,128,False,4,2,5
20,1,1,32,False,7,1,5
21,1,1,8,False,8,0,5
