trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,0,0,32,False,0,0,0
1,0,0,32,False,1,0,0
2,1,1,32,False,2,0,0
3,0,0,128,False,0,2,0
4,0,0,128,False,1,2,0
5,5,5,128,False,2,2,0
6,0,0,128,False,3,2,0
7,0,0,128,False,4,2,0
8,0,0,128,False,5,2,0
9,0,0,128,False,6,2,0
10,2,2,32,False,3,0,0
11,2,2,128,False,7,2,0
12,0,0,8,False,0,1,0
13,0,0,8,False,1,1,0
14,0,0,8,False,2,1,0
15,0,0,128,False,8,2,0
16,1,1,32,False,4,0,0
17,0,0,128,False,9,2,0
18,2,2,8,False,3,1,0
19,0,0,8,False,4,1,0
20,0,0,128,False,10,2,0
21,6,0,8,True,5,1,0
22,1,1,32,False,5,0,0
23,1,1,32,False,6,0,0
24,0,0,32,False,7,0,0
25,2,2,128,False,11,2,0
26,0,0,8,False,6,1,0
27,1,1,32,False,8,0,0
28,0,0,32,False,9,0,0
29,1,1,128,False,12,2,0
30,0,0,8,False,7,1,0
31,2,2,32,False,10,0,0
32,3,3,32,False,11,0,0
33,1,1,8,False,8,1,0
34,3,3,128,False,13,2,0
35,1,1,128,False,14,2,0
36,3,3,32,False,12,0,0
37,1,1,32,False,13,0,0
38,4,4,8,False,9,1,0
39,0,0,8,False,10,1,0
40,4,4,32,False,14,0,0
41,1,1,8,False,11,1,0
42,0,0,8,False,12,1,0
43,2,0,8,True,13,1,0
44,1,0,8,True,14,1,0
0,1,1,8,False,0,1,1
1,3,3,8,False,1,1,1
2,0,0,8,False,2,1,1
3,0,0,128,False,0,2,1
4,0,0,8,False,3,1,1
5,1,1,128,False,1,2,1
6,2,2,8,False,4,1,1
7,0,0,32,False,0,0,1
8,0,0,128,False,2,2,1
9,2,2,32,False,1,0,1
10,2,2,8,False,5,1,1
11,1,1,8,False,6,1,1
12,1,1,32,False,2,0,1
13,1,1,128,False,3,2,1
14,0,0,32,False,3,0,1
15,0,0,8,False,7,1,1
16,1,1,128,False,4,2,1
17,1,1,8,False,8,1,1
18,0,0,8,False,9,1,1
19,0,0,128,False,5,2,1
20,1,1,8,False,10,1,1
21,1,1,8,False,11,1,1
22,0,0,128,False,6,2,1
23,1,0,8,True,12,1,1
24,0,0,32,False,4,0,1
25,0,0,128,False,7,2,1
26,0,0,32,False,5,0,1
27,0,0,8,False,13,1,1
28,0,0,128,False,8,2,1
29,0,0,128,False,9,2,1
30,0,0,32,False,6,0,1
31,1,1,32,False,7,0,1
32,0,0,128,False,10,2,1
33,2,2,8,False,14,1,1
34,1,1,32,False,8,0,1
35,0,0,32,False,9,0,1
36,0,0,32,False,10,0,1
37,1,1,128,False,11,2,1
38,0,0,32,False,11,0,1
39,0,0,128,False,12,2,1
40,0,0,32,False,12,0,1
41,2,2,32,False,13,0,1
42,2,2,32,False,14,0,1
43,0,0,128,False,13,2,1
44,0,0,128,False,14,2,1
