trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
0,0,0,32,False,0,0,0
1,0,0,32,False,1,0,0
2,0,0,32,False,2,0,0
3,0,0,32,False,3,0,0
4,0,0,128,False,0,1,0
5,2,2,8,False,0,2,0
6,0,0,8,False,1,2,0
7,0,0,128,False,1,1,0
8,0,0,32,False,4,0,0
9,0,0,8,False,2,2,0
10,0,0,128,False,2,1,0
11,0,0,128,False,3,1,0
12,0,0,128,False,4,1,0
13,0,0,128,False,5,1,0
14,0,0,8,False,3,2,0
15,0,0,32,False,5,0,0
16,0,0,8,False,4,2,0
17,0,0,8,False,5,2,0
18,0,0,8,False,6,2,0
19,13,13,32,False,6,0,0
20,5,5,128,False,6,1,0
21,0,0,32,False,7,0,0
22,6,6,128,False,7,1,0
23,0,0,128,False,8,1,0
24,0,0,128,False,9,1,0
25,2,2,8,False,7,2,0
26,2,2,8,False,8,2,0
27,5,0,8,True,9,2,0
28,1,0,8,True,10,2,0
29,0,0,128,False,10,1,0
30,0,0,32,False,8,0,0
31,1,1,8,False,11,2,0
32,0,0,128,False,11,1,0
33,0,0,8,False,12,2,0
34,0,0,128,False,12,1,0
35,1,1,128,False,13,1,0
36,2,2,32,False,9,0,0
37,1,0,32,True,10,0,0
38,0,0,128,False,14,1,0
39,1,1,8,False,13,2,0
40,0,0,32,False,11,0,0
41,1,1,32,False,12,0,0
42,1,1,32,False,13,0,0
43,1,1,32,False,14,0,0
44,0,0,8,False,14,2,0
0,0,0,128,False,0,1,1
1,0,0,8,False,0,2,1
2,5,5,128,False,1,1,1
3,3,0,8,True,1,2,1
4,0,0,128,False,2,1,1
5,0,0,8,False,2,2,1
6,3,0,8,True,3,2,1
7,0,0,32,False,0,0,1
8,1,1,32,False,1,0,1
9,3,3,128,False,3,1,1
10,6,6,128,False,4,1,1
11,8,8,128,False,5,1,1
12,1,0,8,True,4,2,1
13,1,1,128,False,6,1,1
14,3,3,128,False,7,1,1
15,5,5,8,False,5,2,1
16,0,0,128,False,8,1,1
17,1,1,32,False,2,0,1
18,0,0,8,False,6,2,1
19,0,0,128,False,9,1,1
20,1,0,8,True,7,2,1
21,0,0,8,False,8,2,1
22,0,0,8,False,9,2,1
23,2,2,128,False,10,1,1
24,0,0,128,False,11,1,1
25,1,1,8,False,10,2,1
26,1,1,8,False,11,2,1
27,0,0,128,False,12,1,1
28,0,0,128,False,13,1,1
29,0,0,32,False,3,0,1
30,1,1,32,False,4,0,1
31,1,1,128,False,14,1,1
32,1,0,8,True,12,2,1
33,0,0,32,False,5,0,1
34,0,0,32,False,6,0,1
35,0,0,8,False,13,2,1
36,0,0,8,False,14,2,1
37,0,0,32,False,7,0,1
38,0,0,32,False,8,0,1
39,1,0,32,True,9,0,1
40,1,0,32,True,10,0,1
41,7,7,32,False,11,0,1
42,0,0,32,False,12,0,1
43,1,1,32,False,13,0,1
44,3,3,32,False,14,0,1
