trial,mean0,mean1,reward0,reward1,choice,reward,run
0,30.0,60.0,42.0,58.0,0,42.0,0
1,30.0,60.0,13.0,65.0,1,65.0,0
2,30.0,60.0,21.0,49.0,0,21.0,0
3,30.0,60.0,33.0,67.0,1,67.0,0
4,30.0,60.0,24.0,57.0,1,57.0,0
0,40.0,52.0,45.0,40.0,0,45.0,1
1,40.0,52.0,37.0,67.0,0,37.0,1
2,40.0,52.0,38.0,46.0,1,46.0,1
3,40.0,52.0,45.0,54.0,0,45.0,1
4,40.0,52.0,39.0,47.0,1,47.0,1
5,40.0,52.0,48.0,56.0,1,56.0,1
6,40.0,52.0,50.0,53.0,1,53.0,1
7,40.0,52.0,30.0,52.0,1,52.0,1
8,40.0,52.0,36.0,50.0,1,50.0,1
9,40.0,52.0,27.0,66.0,1,66.0,1
0,60.0,72.0,62.0,68.0,0,62.0,2
1,60.0,72.0,55.0,68.0,0,55.0,2
2,60.0,72.0,51.0,69.0,1,69.0,2
3,60.0,72.0,51.0,71.0,0,51.0,2
4,60.0,72.0,59.0,77.0,1,77.0,2
5,60.0,72.0,53.0,72.0,1,72.0,2
6,60.0,72.0,54.0,73.0,1,73.0,2
7,60.0,72.0,65.0,77.0,1,77.0,2
8,60.0,72.0,58.0,90.0,1,90.0,2
9,60.0,72.0,45.0,72.0,1,72.0,2
0,60.0,56.0,76.0,62.0,1,62.0,3
1,60.0,56.0,60.0,53.0,1,53.0,3
2,60.0,56.0,58.0,37.0,0,58.0,3
3,60.0,56.0,59.0,56.0,0,59.0,3
4,60.0,56.0,68.0,59.0,0,68.0,3
5,60.0,56.0,53.0,56.0,0,53.0,3
6,60.0,56.0,55.0,52.0,0,55.0,3
7,60.0,56.0,75.0,53.0,1,53.0,3
8,60.0,56.0,61.0,65.0,0,61.0,3
9,60.0,56.0,67.0,67.0,0,67.0,3
0,28.0,40.0,21.0,37.0,1,37.0,4
1,28.0,40.0,22.0,45.0,1,45.0,4
2,28.0,40.0,30.0,43.0,0,30.0,4
3,28.0,40.0,26.0,39.0,0,26.0,4
4,28.0,40.0,21.0,29.0,1,29.0,4
5,28.0,40.0,41.0,41.0,1,41.0,4
6,28.0,40.0,22.0,43.0,1,43.0,4
7,28.0,40.0,29.0,43.0,1,43.0,4
8,28.0,40.0,33.0,48.0,1,48.0,4
9,28.0,40.0,32.0,41.0,1,41.0,4
0,72.0,60.0,80.0,56.0,0,80.0,5
1,72.0,60.0,78.0,65.0,1,65.0,5
2,72.0,60.0,80.0,48.0,1,48.0,5
3,72.0,60.0,77.0,61.0,1,61.0,5
4,72.0,60.0,73.0,53.0,0,73.0,5
5,72.0,60.0,77.0,45.0,0,77.0,5
6,72.0,60.0,82.0,58.0,0,82.0,5
7,72.0,60.0,78.0,68.0,0,78.0,5
8,72.0,60.0,75.0,48.0,0,75.0,5
9,72.0,60.0,88.0,61.0,0,88.0,5
0,36.0,40.0,47.0,59.0,0,47.0,6
1,36.0,40.0,31.0,31.0,0,31.0,6
2,36.0,40.0,16.0,47.0,1,47.0,6
3,36.0,40.0,15.0,40.0,1,40.0,6
4,36.0,40.0,40.0,36.0,1,36.0,6
0,28.0,40.0,26.0,32.0,1,32.0,7
1,28.0,40.0,24.0,39.0,0,24.0,7
2,28.0,40.0,27.0,38.0,0,27.0,7
3,28.0,40.0,19.0,40.0,0,19.0,7
4,28.0,40.0,30.0,33.0,1,33.0,7
0,40.0,20.0,35.0,31.0,1,31.0,8
1,40.0,20.0,56.0,26.0,1,26.0,8
2,40.0,20.0,56.0,26.0,0,56.0,8
3,40.0,20.0,36.0,30.0,0,36.0,8
4,40.0,20.0,43.0,21.0,0,43.0,8
0,20.0,40.0,19.0,36.0,0,19.0,9
1,20.0,40.0,4.0,45.0,1,45.0,9
2,20.0,40.0,19.0,44.0,0,19.0,9
3,20.0,40.0,23.0,53.0,1,53.0,9
4,20.0,40.0,10.0,40.0,1,40.0,9
0,60.0,48.0,53.0,43.0,1,43.0,10
1,60.0,48.0,61.0,40.0,0,61.0,10
2,60.0,48.0,58.0,38.0,1,38.0,10
3,60.0,48.0,65.0,38.0,0,65.0,10
4,60.0,48.0,55.0,46.0,0,55.0,10
5,60.0,48.0,56.0,54.0,0,56.0,10
6,60.0,48.0,54.0,52.0,0,54.0,10
7,60.0,48.0,63.0,53.0,0,63.0,10
8,60.0,48.0,50.0,52.0,0,50.0,10
9,60.0,48.0,50.0,37.0,0,50.0,10
0,60.0,56.0,63.0,65.0,0,63.0,11
1,60.0,56.0,63.0,47.0,1,47.0,11
2,60.0,56.0,65.0,87.0,1,87.0,11
3,60.0,56.0,59.0,58.0,0,59.0,11
4,60.0,56.0,63.0,52.0,1,52.0,11
5,60.0,56.0,52.0,67.0,1,67.0,11
6,60.0,56.0,76.0,46.0,1,46.0,11
7,60.0,56.0,41.0,39.0,0,41.0,11
8,60.0,56.0,67.0,50.0,1,50.0,11
9,60.0,56.0,76.0,47.0,1,47.0,11
0,32.0,40.0,36.0,52.0,0,36.0,12
1,32.0,40.0,41.0,50.0,0,41.0,12
2,32.0,40.0,36.0,36.0,1,36.0,12
3,32.0,40.0,32.0,45.0,0,32.0,12
4,32.0,40.0,23.0,58.0,0,23.0,12
5,32.0,40.0,33.0,46.0,1,46.0,12
6,32.0,40.0,31.0,44.0,1,44.0,12
7,32.0,40.0,31.0,38.0,1,38.0,12
8,32.0,40.0,17.0,40.0,1,40.0,12
9,32.0,40.0,16.0,25.0,1,25.0,12
0,60.0,72.0,64.0,60.0,0,64.0,13
1,60.0,72.0,62.0,78.0,1,78.0,13
2,60.0,72.0,55.0,61.0,1,61.0,13
3,60.0,72.0,55.0,80.0,0,55.0,13
4,60.0,72.0,42.0,75.0,1,75.0,13
5,60.0,72.0,56.0,72.0,1,72.0,13
6,60.0,72.0,65.0,80.0,1,80.0,13
7,60.0,72.0,58.0,70.0,1,70.0,13
8,60.0,72.0,57.0,81.0,1,81.0,13
9,60.0,72.0,59.0,65.0,1,65.0,13
0,90.0,60.0,97.0,59.0,1,59.0,14
1,90.0,60.0,89.0,65.0,1,65.0,14
2,90.0,60.0,84.0,64.0,0,84.0,14
3,90.0,60.0,107.0,43.0,0,107.0,14
4,90.0,60.0,93.0,64.0,0,93.0,14
0,36.0,40.0,38.0,48.0,1,48.0,15
1,36.0,40.0,39.0,46.0,0,39.0,15
2,36.0,40.0,43.0,39.0,0,43.0,15
3,36.0,40.0,39.0,54.0,0,39.0,15
4,36.0,40.0,50.0,47.0,1,47.0,15
0,60.0,64.0,63.0,51.0,0,63.0,16
1,60.0,64.0,55.0,69.0,1,69.0,16
2,60.0,64.0,60.0,74.0,0,60.0,16
3,60.0,64.0,73.0,51.0,1,51.0,16
4,60.0,64.0,68.0,65.0,0,68.0,16
5,60.0,64.0,67.0,74.0,0,67.0,16
6,60.0,64.0,51.0,77.0,0,51.0,16
7,60.0,64.0,53.0,69.0,0,53.0,16
8,60.0,64.0,65.0,71.0,0,65.0,16
9,60.0,64.0,57.0,61.0,0,57.0,16
0,52.0,40.0,52.0,41.0,1,41.0,17
1,52.0,40.0,47.0,44.0,0,47.0,17
2,52.0,40.0,58.0,26.0,0,58.0,17
3,52.0,40.0,53.0,39.0,1,39.0,17
4,52.0,40.0,59.0,42.0,0,59.0,17
0,32.0,40.0,34.0,48.0,0,34.0,18
1,32.0,40.0,25.0,30.0,0,25.0,18
2,32.0,40.0,57.0,38.0,0,57.0,18
3,32.0,40.0,53.0,38.0,1,38.0,18
4,32.0,40.0,42.0,39.0,0,42.0,18
0,70.0,40.0,73.0,38.0,1,38.0,19
1,70.0,40.0,64.0,38.0,1,38.0,19
2,70.0,40.0,65.0,39.0,1,39.0,19
3,70.0,40.0,83.0,35.0,0,83.0,19
4,70.0,40.0,75.0,48.0,0,75.0,19
0,60.0,48.0,61.0,48.0,0,61.0,20
1,60.0,48.0,66.0,51.0,1,51.0,20
2,60.0,48.0,66.0,51.0,1,51.0,20
3,60.0,48.0,58.0,58.0,0,58.0,20
4,60.0,48.0,69.0,54.0,0,69.0,20
5,60.0,48.0,58.0,46.0,0,58.0,20
6,60.0,48.0,55.0,46.0,0,55.0,20
7,60.0,48.0,61.0,52.0,0,61.0,20
8,60.0,48.0,63.0,47.0,0,63.0,20
9,60.0,48.0,49.0,36.0,0,49.0,20
0,60.0,52.0,46.0,49.0,0,46.0,21
1,60.0,52.0,56.0,48.0,1,48.0,21
2,60.0,52.0,59.0,56.0,0,59.0,21
3,60.0,52.0,71.0,54.0,0,71.0,21
4,60.0,52.0,56.0,59.0,0,56.0,21
0,32.0,40.0,40.0,41.0,0,40.0,22
1,32.0,40.0,43.0,56.0,0,43.0,22
2,32.0,40.0,38.0,33.0,0,38.0,22
3,32.0,40.0,26.0,48.0,1,48.0,22
4,32.0,40.0,31.0,49.0,1,49.0,22
0,60.0,80.0,40.0,93.0,0,40.0,23
1,60.0,80.0,56.0,75.0,0,56.0,23
2,60.0,80.0,50.0,87.0,1,87.0,23
3,60.0,80.0,62.0,75.0,0,62.0,23
4,60.0,80.0,53.0,89.0,1,89.0,23
0,10.0,40.0,8.0,37.0,1,37.0,24
1,10.0,40.0,29.0,40.0,1,40.0,24
2,10.0,40.0,2.0,44.0,0,2.0,24
3,10.0,40.0,10.0,36.0,1,36.0,24
4,10.0,40.0,7.0,50.0,1,50.0,24
0,80.0,60.0,79.0,65.0,0,79.0,25
1,80.0,60.0,66.0,67.0,0,66.0,25
2,80.0,60.0,86.0,56.0,1,56.0,25
3,80.0,60.0,70.0,69.0,0,70.0,25
4,80.0,60.0,80.0,65.0,0,80.0,25
5,80.0,60.0,78.0,59.0,0,78.0,25
6,80.0,60.0,94.0,61.0,0,94.0,25
7,80.0,60.0,76.0,55.0,0,76.0,25
8,80.0,60.0,86.0,49.0,0,86.0,25
9,80.0,60.0,81.0,71.0,0,81.0,25
0,40.0,70.0,42.0,72.0,1,72.0,26
1,40.0,70.0,19.0,72.0,0,19.0,26
2,40.0,70.0,46.0,60.0,1,60.0,26
3,40.0,70.0,44.0,59.0,1,59.0,26
4,40.0,70.0,39.0,74.0,1,74.0,26
5,40.0,70.0,46.0,70.0,1,70.0,26
6,40.0,70.0,45.0,68.0,1,68.0,26
7,40.0,70.0,37.0,84.0,1,84.0,26
8,40.0,70.0,31.0,68.0,1,68.0,26
9,40.0,70.0,30.0,74.0,1,74.0,26
0,60.0,90.0,47.0,85.0,0,47.0,27
1,60.0,90.0,68.0,90.0,1,90.0,27
2,60.0,90.0,59.0,97.0,1,97.0,27
3,60.0,90.0,54.0,85.0,1,85.0,27
4,60.0,90.0,56.0,92.0,1,92.0,27
0,60.0,90.0,66.0,87.0,0,66.0,28
1,60.0,90.0,63.0,99.0,0,63.0,28
2,60.0,90.0,85.0,87.0,1,87.0,28
3,60.0,90.0,52.0,93.0,0,52.0,28
4,60.0,90.0,63.0,75.0,1,75.0,28
0,68.0,60.0,72.0,66.0,0,72.0,29
1,68.0,60.0,60.0,50.0,1,50.0,29
2,68.0,60.0,65.0,69.0,0,65.0,29
3,68.0,60.0,62.0,59.0,0,62.0,29
4,68.0,60.0,79.0,57.0,0,79.0,29
5,68.0,60.0,69.0,52.0,0,69.0,29
6,68.0,60.0,78.0,55.0,0,78.0,29
7,68.0,60.0,69.0,53.0,0,69.0,29
8,68.0,60.0,68.0,64.0,0,68.0,29
9,68.0,60.0,58.0,70.0,0,58.0,29
0,68.0,60.0,49.0,71.0,0,49.0,30
1,68.0,60.0,77.0,56.0,0,77.0,30
2,68.0,60.0,59.0,67.0,1,67.0,30
3,68.0,60.0,56.0,59.0,1,59.0,30
4,68.0,60.0,67.0,66.0,0,67.0,30
0,30.0,60.0,27.0,61.0,0,27.0,31
1,30.0,60.0,27.0,75.0,1,75.0,31
2,30.0,60.0,55.0,54.0,1,54.0,31
3,30.0,60.0,21.0,54.0,0,21.0,31
4,30.0,60.0,36.0,71.0,1,71.0,31
5,30.0,60.0,33.0,52.0,1,52.0,31
6,30.0,60.0,30.0,59.0,1,59.0,31
7,30.0,60.0,31.0,57.0,1,57.0,31
8,30.0,60.0,24.0,59.0,1,59.0,31
9,30.0,60.0,40.0,62.0,1,62.0,31
0,80.0,60.0,77.0,62.0,0,77.0,32
1,80.0,60.0,77.0,65.0,1,65.0,32
2,80.0,60.0,68.0,67.0,1,67.0,32
3,80.0,60.0,86.0,62.0,1,62.0,32
4,80.0,60.0,73.0,62.0,0,73.0,32
0,36.0,40.0,19.0,43.0,0,19.0,33
1,36.0,40.0,37.0,33.0,1,33.0,33
2,36.0,40.0,46.0,40.0,1,40.0,33
3,36.0,40.0,38.0,54.0,0,38.0,33
4,36.0,40.0,51.0,41.0,1,41.0,33
5,36.0,40.0,47.0,41.0,1,41.0,33
6,36.0,40.0,27.0,40.0,1,40.0,33
7,36.0,40.0,36.0,41.0,1,41.0,33
8,36.0,40.0,38.0,38.0,1,38.0,33
9,36.0,40.0,32.0,36.0,1,36.0,33
0,48.0,60.0,43.0,57.0,1,57.0,34
1,48.0,60.0,64.0,62.0,0,64.0,34
2,48.0,60.0,58.0,55.0,1,55.0,34
3,48.0,60.0,56.0,63.0,1,63.0,34
4,48.0,60.0,45.0,67.0,0,45.0,34
5,48.0,60.0,37.0,59.0,1,59.0,34
6,48.0,60.0,48.0,58.0,1,58.0,34
7,48.0,60.0,40.0,69.0,1,69.0,34
8,48.0,60.0,45.0,51.0,1,51.0,34
9,48.0,60.0,32.0,59.0,1,59.0,34
0,72.0,60.0,54.0,75.0,1,75.0,35
1,72.0,60.0,68.0,61.0,0,68.0,35
2,72.0,60.0,62.0,66.0,1,66.0,35
3,72.0,60.0,57.0,68.0,0,57.0,35
4,72.0,60.0,64.0,62.0,1,62.0,35
5,72.0,60.0,77.0,64.0,1,64.0,35
6,72.0,60.0,75.0,65.0,1,65.0,35
7,72.0,60.0,72.0,65.0,1,65.0,35
8,72.0,60.0,79.0,53.0,1,53.0,35
9,72.0,60.0,80.0,67.0,0,80.0,35
