informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.11,0
False,0.9,0.5,blue,0.0,0
True,0.5,0.3,red,0.0,1
False,0.9,0.5,red,0.0,1
True,0.5,0.7,blue,0.05,2
False,0.1,0.5,blue,0.0,2
True,0.5,0.1,blue,0.09,3
False,0.8,0.6,blue,0.0,3
True,0.4,0.3,blue,0.3,4
False,0.8,0.5,blue,0.0,4
True,0.5,0.1,red,0.0,5
False,0.7,0.5,blue,0.0,5
True,0.5,0.8,red,0.59,6
False,0.8,0.6,blue,0.08,6
True,0.6,0.8,blue,0.0,7
False,0.1,0.5,blue,0.0,7
True,0.5,0.1,red,0.5,8
False,0.3,0.5,blue,0.0,8
True,0.5,0.1,blue,0.09,9
False,0.3,0.5,red,0.05,9
True,0.5,0.3,red,0.0,10
False,0.2,0.5,blue,0.05,10
True,0.5,0.7,blue,0.01,11
False,0.7,0.5,red,0.0,11
True,0.5,0.1,red,0.0,12
False,0.1,0.4,red,0.05,12
True,0.4,0.1,red,0.05,13
False,0.7,0.5,blue,0.0,13
True,0.4,0.7,red,0.0,14
False,0.1,0.4,red,0.0,14
True,0.4,0.1,red,0.0,15
False,0.9,0.6,blue,0.0,15
True,0.5,0.7,blue,0.0,16
False,0.8,0.4,blue,0.0,16
True,0.4,0.3,blue,0.82,17
False,0.7,0.4,red,0.0,17
True,0.5,0.9,red,0.0,18
False,0.2,0.6,blue,0.05,18
True,0.6,0.7,blue,0.0,19
False,0.3,0.5,blue,0.0,19
True,0.6,0.9,red,0.9,20
False,0.3,0.4,red,0.25,20
True,0.5,0.7,red,0.0,21
False,0.1,0.5,red,0.0,21
True,0.4,0.1,blue,0.9,22
False,0.7,0.5,blue,0.04,22
True,0.4,0.9,red,0.9,23
False,0.9,0.5,red,0.0,23
True,0.5,0.7,red,0.36,24
False,0.7,0.6,red,0.0,24
True,0.5,0.2,blue,0.0,25
False,0.2,0.5,blue,0.0,25
True,0.4,0.1,blue,0.6,26
False,0.9,0.6,red,0.0,26
True,0.5,0.9,blue,0.0,27
False,0.8,0.4,blue,0.0,27
True,0.5,0.8,red,0.0,28
False,0.1,0.5,red,0.5,28
True,0.6,0.9,blue,0.11,29
False,0.8,0.5,red,0.0,29
True,0.5,0.9,red,0.0,30
False,0.8,0.4,blue,0.0,30
True,0.4,0.9,blue,0.93,31
False,0.3,0.5,red,0.0,31
True,0.5,0.1,red,0.0,32
False,0.2,0.4,blue,0.0,32
True,0.4,0.3,blue,0.05,33
False,0.8,0.4,blue,0.05,33
True,0.5,0.8,red,0.0,34
False,0.7,0.5,blue,0.0,34
True,0.5,0.2,blue,0.8,35
False,0.8,0.5,red,0.17,35
True,0.4,0.8,blue,0.0,36
False,0.7,0.6,red,0.0,36
True,0.6,0.7,red,0.0,37
False,0.3,0.5,red,0.0,37
True,0.4,0.2,red,0.99,38
False,0.7,0.5,red,0.5,38
True,0.4,0.3,red,0.43,39
False,0.2,0.6,blue,0.67,39
True,0.5,0.7,red,0.73,40
False,0.7,0.6,blue,0.05,40
True,0.6,0.7,blue,0.43,41
False,0.1,0.4,blue,0.05,41
True,0.6,0.7,blue,0.3,42
False,0.2,0.4,blue,0.0,42
True,0.5,0.2,red,0.2,43
False,0.2,0.6,red,0.0,43
True,0.5,0.3,blue,0.05,44
False,0.3,0.6,blue,0.04,44
True,0.6,0.3,blue,0.0,45
False,0.3,0.4,blue,0.0,45
True,0.5,0.9,blue,0.0,46
False,0.3,0.6,red,0.6,46
True,0.6,0.9,blue,0.05,47
False,0.9,0.5,blue,0.0,47
True,0.6,0.1,blue,0.0,48
False,0.1,0.5,blue,0.60,48
True,0.5,0.8,red,0.0,49
False,0.8,0.6,red,0.6,49
True,0.5,0.7,red,0.42,50
False,0.7,0.6,red,0.06,50
True,0.5,0.2,blue,0.8,51
False,0.9,0.6,red,0.05,51
True,0.5,0.7,red,0.99,52
False,0.7,0.5,red,0.0,52
True,0.5,0.7,blue,0.3,53
False,0.9,0.6,blue,0.99,53
True,0.5,0.3,blue,0.21,54
False,0.2,0.6,red,0.0,54
True,0.5,0.2,red,0.02,55
False,0.3,0.6,blue,0.05,55
True,0.5,0.8,red,0.05,56
False,0.8,0.6,blue,0.0,56
True,0.5,0.1,red,0.05,57
False,0.9,0.6,blue,0.0,57
True,0.5,0.1,red,0.0,58
False,0.3,0.5,red,0.05,58
True,0.5,0.8,blue,0.0,59
False,0.1,0.5,blue,0.0,59
True,0.5,0.7,red,0.0,60
False,0.1,0.5,red,0.08,60
True,0.5,0.1,red,0.05,61
False,0.3,0.6,red,0.0,61
True,0.5,0.3,blue,0.0,62
False,0.8,0.5,red,0.0,62
True,0.6,0.2,red,0.1,63
False,0.9,0.5,red,0.05,63
True,0.5,0.3,red,0.05,64
False,0.1,0.5,blue,0.05,64
True,0.6,0.8,red,0.0,65
False,0.8,0.4,blue,0.04,65
True,0.5,0.3,red,0.05,66
False,0.2,0.6,red,0.05,66
True,0.5,0.8,red,0.0,67
False,0.9,0.4,blue,0.0,67
True,0.5,0.3,red,0.05,68
False,0.9,0.4,blue,0.0,68
True,0.4,0.7,blue,0.0,69
False,0.1,0.5,red,0.0,69
True,0.5,0.8,blue,0.0,70
False,0.8,0.6,blue,0.05,70
True,0.5,0.3,blue,0.05,71
False,0.7,0.6,red,0.99,71
True,0.6,0.2,red,0.05,72
False,0.9,0.5,blue,0.05,72
True,0.4,0.9,blue,0.0,73
False,0.1,0.4,red,0.0,73
True,0.5,0.3,blue,0.6,74
False,0.9,0.5,red,0.0,74
True,0.5,0.3,red,0.0,75
False,0.1,0.4,blue,0.0,75
True,0.4,0.1,red,0.05,76
False,0.2,0.5,red,0.0,76
True,0.4,0.1,red,0.1,77
False,0.9,0.6,blue,0.0,77
True,0.4,0.1,blue,0.01,78
False,0.3,0.5,blue,0.0,78
True,0.5,0.8,blue,0.0,79
False,0.8,0.5,red,0.05,79
True,0.6,0.3,red,0.5,80
False,0.3,0.5,red,0.05,80
