informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.99,0
False,0.9,0.5,blue,0.99,0
True,0.5,0.3,red,0.99,1
False,0.9,0.5,red,0.99,1
True,0.5,0.7,blue,0.99,2
False,0.1,0.5,blue,0.05,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.99,3
True,0.4,0.3,blue,0.43,4
False,0.8,0.5,blue,0.99,4
True,0.5,0.1,red,0.99,5
False,0.7,0.5,blue,0.05,5
True,0.5,0.8,red,0.08,6
False,0.8,0.6,blue,0.99,6
True,0.6,0.8,blue,0.06,7
False,0.1,0.5,blue,0.05,7
True,0.5,0.1,red,0.1,8
False,0.3,0.5,blue,0.05,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.05,9
True,0.5,0.3,red,0.03,10
False,0.2,0.5,blue,0.99,10
True,0.5,0.7,blue,0.21,11
False,0.7,0.5,red,0.99,11
True,0.5,0.1,red,0.99,12
False,0.1,0.4,red,0.99,12
True,0.4,0.1,red,0.99,13
False,0.7,0.5,blue,0.99,13
True,0.4,0.7,red,0.75,14
False,0.1,0.4,red,0.67,14
True,0.4,0.1,red,0.99,15
False,0.9,0.6,blue,0.06,15
True,0.5,0.7,blue,0.99,16
False,0.8,0.4,blue,0.99,16
True,0.4,0.3,blue,0.99,17
False,0.7,0.4,red,0.4,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.99,19
False,0.3,0.5,blue,0.99,19
True,0.6,0.9,red,0.99,20
False,0.3,0.4,red,0.99,20
True,0.5,0.7,red,0.07,21
False,0.1,0.5,red,0.99,21
True,0.4,0.1,blue,0.99,22
False,0.7,0.5,blue,0.35,22
True,0.4,0.9,red,0.99,23
False,0.9,0.5,red,0.05,23
True,0.5,0.7,red,0.99,24
False,0.7,0.6,red,0.99,24
True,0.5,0.2,blue,0.2,25
False,0.2,0.5,blue,0.05,25
True,0.4,0.1,blue,0.25,26
False,0.9,0.6,red,0.99,26
True,0.5,0.9,blue,0.99,27
False,0.8,0.4,blue,0.06,27
True,0.5,0.8,red,0.99,28
False,0.1,0.5,red,0.05,28
True,0.6,0.9,blue,0.99,29
False,0.8,0.5,red,0.05,29
True,0.5,0.9,red,0.99,30
False,0.8,0.4,blue,0.75,30
True,0.4,0.9,blue,0.99,31
False,0.3,0.5,red,0.99,31
True,0.5,0.1,red,0.01,32
False,0.2,0.4,blue,0.99,32
True,0.4,0.3,blue,0.93,33
False,0.8,0.4,blue,0.04,33
True,0.5,0.8,red,0.08,34
False,0.7,0.5,blue,0.05,34
True,0.5,0.2,blue,0.99,35
False,0.8,0.5,red,0.05,35
True,0.4,0.8,blue,0.25,36
False,0.7,0.6,red,0.99,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.05,37
True,0.4,0.2,red,0.05,38
False,0.7,0.5,red,0.7,38
True,0.4,0.3,red,0.17,39
False,0.2,0.6,blue,0.06,39
True,0.5,0.7,red,0.99,40
False,0.7,0.6,blue,0.6,40
True,0.6,0.7,blue,0.7,41
False,0.1,0.4,blue,0.06,41
True,0.6,0.7,blue,0.07,42
False,0.2,0.4,blue,0.6,42
True,0.5,0.2,red,0.04,43
False,0.2,0.6,red,0.6,43
True,0.5,0.3,blue,0.71,44
False,0.3,0.6,blue,0.99,44
True,0.6,0.3,blue,0.03,45
False,0.3,0.4,blue,0.67,45
True,0.5,0.9,blue,0.99,46
False,0.3,0.6,red,0.99,46
True,0.6,0.9,blue,0.9,47
False,0.9,0.5,blue,0.55,47
True,0.6,0.1,blue,0.99,48
False,0.1,0.5,blue,0.99,48
True,0.5,0.8,red,0.08,49
False,0.8,0.6,red,0.38,49
True,0.5,0.7,red,0.7,50
False,0.7,0.6,red,0.99,50
True,0.5,0.2,blue,0.8,51
False,0.9,0.6,red,0.99,51
True,0.5,0.7,red,0.99,52
False,0.7,0.5,red,0.05,52
True,0.5,0.7,blue,0.7,53
False,0.9,0.6,blue,0.99,53
True,0.5,0.3,blue,0.03,54
False,0.2,0.6,red,0.99,54
True,0.5,0.2,red,0.04,55
False,0.3,0.6,blue,0.6,55
True,0.5,0.8,red,0.99,56
False,0.8,0.6,blue,0.06,56
True,0.5,0.1,red,0.11,57
False,0.9,0.6,blue,0.99,57
True,0.5,0.1,red,0.0,58
False,0.3,0.5,red,0.05,58
True,0.5,0.8,blue,0.08,59
False,0.1,0.5,blue,0.05,59
True,0.5,0.7,red,0.41,60
False,0.1,0.5,red,0.99,60
True,0.5,0.1,red,0.99,61
False,0.3,0.6,red,0.6,61
True,0.5,0.3,blue,0.99,62
False,0.8,0.5,red,0.99,62
