informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.59,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.82,1
False,0.9,0.5,red,0.5,1
True,0.5,0.7,blue,0.93,2
False,0.1,0.5,blue,0.17,2
True,0.5,0.1,blue,0.01,3
False,0.8,0.6,blue,0.73,3
True,0.4,0.3,blue,0.60,4
False,0.8,0.5,blue,0.25,4
True,0.5,0.1,red,0.09,5
False,0.7,0.5,blue,0.5,5
True,0.5,0.8,red,0.4,6
False,0.8,0.6,blue,0.06,6
True,0.6,0.8,blue,0.06,7
False,0.1,0.5,blue,0.08,7
True,0.5,0.1,red,0.5,8
False,0.3,0.5,blue,0.25,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.13,9
True,0.5,0.3,red,0.15,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.3,11
False,0.7,0.5,red,0.7,11
True,0.5,0.1,red,0.33,12
False,0.1,0.4,red,0.67,12
True,0.4,0.1,red,0.09,13
False,0.7,0.5,blue,0.29,13
True,0.4,0.7,red,0.99,14
False,0.1,0.4,red,0.4,14
True,0.4,0.1,red,0.09,15
False,0.9,0.6,blue,0.6,15
True,0.5,0.7,blue,0.99,16
False,0.8,0.4,blue,0.4,16
True,0.4,0.3,blue,0.21,17
False,0.7,0.4,red,0.99,17
True,0.5,0.9,red,0.09,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.99,19
False,0.3,0.5,blue,0.99,19
True,0.6,0.9,red,0.85,20
False,0.3,0.4,red,0.21,20
True,0.5,0.7,red,0.7,21
False,0.1,0.5,red,0.76,21
True,0.4,0.1,blue,0.9,22
False,0.7,0.5,blue,0.5,22
True,0.4,0.9,red,0.1,23
False,0.9,0.5,red,0.25,23
True,0.5,0.7,red,0.96,24
False,0.7,0.6,red,0.6,24
True,0.5,0.2,blue,0.16,25
False,0.2,0.5,blue,0.05,25
True,0.4,0.1,blue,0.99,26
False,0.9,0.6,red,0.4,26
True,0.5,0.9,blue,0.94,27
False,0.8,0.4,blue,0.5,27
