informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.99,0
False,0.9,0.5,blue,0.5555,0
True,0.5,0.3,red,0.06,1
False,0.9,0.5,red,0.99,1
True,0.5,0.7,blue,0.99,2
False,0.1,0.5,blue,0.05,2
True,0.5,0.1,blue,0.59,3
False,0.8,0.6,blue,0.06,3
True,0.4,0.3,blue,0.05,4
False,0.8,0.5,blue,0.99,4
True,0.5,0.1,red,0.99,5
False,0.7,0.5,blue,0.99,5
True,0.5,0.8,red,0.05,6
False,0.8,0.6,blue,0.99,6
True,0.6,0.8,blue,0.99,7
False,0.1,0.5,blue,0.05,7
True,0.5,0.1,red,0.99,8
False,0.3,0.5,blue,0.99,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.99,9
True,0.5,0.3,red,0.03,10
False,0.2,0.5,blue,0.02,10
True,0.5,0.7,blue,0.99,11
False,0.7,0.5,red,0.99,11
True,0.5,0.1,red,0.99,12
False,0.1,0.4,red,0.1,12
True,0.4,0.1,red,0.05,13
False,0.7,0.5,blue,0.05,13
True,0.4,0.7,red,0.99,14
False,0.1,0.4,red,0.4,14
True,0.4,0.1,red,0.69,15
False,0.9,0.6,blue,0.6667,15
True,0.5,0.7,blue,0.06,16
False,0.8,0.4,blue,0.05,16
True,0.4,0.3,blue,0.75,17
False,0.7,0.4,red,0.82,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.06,18
True,0.6,0.7,blue,0.03,19
False,0.3,0.5,blue,0.05,19
True,0.6,0.9,red,0.99,20
False,0.3,0.4,red,0.99,20
True,0.5,0.7,red,0.99,21
False,0.1,0.5,red,0.93,21
True,0.4,0.1,blue,0.99,22
False,0.7,0.5,blue,0.99,22
True,0.4,0.9,red,0.04,23
False,0.9,0.5,red,0.9,23
True,0.5,0.7,red,0.99,24
False,0.7,0.6,red,0.99,24
True,0.5,0.2,blue,0.99,25
False,0.2,0.5,blue,0.99,25
True,0.4,0.1,blue,0.99,26
False,0.9,0.6,red,0.06,26
True,0.5,0.9,blue,0.99,27
False,0.8,0.4,blue,0.75,27
True,0.5,0.8,red,0.99,28
False,0.1,0.5,red,0.99,28
True,0.6,0.9,blue,0.06,29
False,0.8,0.5,red,0.99,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.99,30
True,0.4,0.9,blue,0.11,31
False,0.3,0.5,red,0.99,31
True,0.5,0.1,red,0.17,32
False,0.2,0.4,blue,0.99,32
True,0.4,0.3,blue,0.75,33
False,0.8,0.4,blue,0.06,33
True,0.5,0.8,red,0.05,34
False,0.7,0.5,blue,0.99,34
True,0.5,0.2,blue,0.04,35
False,0.8,0.5,red,0.08,35
True,0.4,0.8,blue,0.99,36
False,0.7,0.6,red,0.99,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.99,37
True,0.4,0.2,red,0.05,38
False,0.7,0.5,red,0.71,38
True,0.4,0.3,red,0.43,39
False,0.2,0.6,blue,0.06,39
True,0.5,0.7,red,0.99,40
False,0.7,0.6,blue,0.99,40
True,0.6,0.7,blue,0.06,41
False,0.1,0.4,blue,0.666,41
True,0.6,0.7,blue,0.43,42
False,0.2,0.4,blue,0.99,42
True,0.5,0.2,red,0.25,43
False,0.2,0.6,red,0.99,43
True,0.5,0.3,blue,0.99,44
False,0.3,0.6,blue,0.666,44
True,0.6,0.3,blue,0.99,45
False,0.3,0.4,blue,0.99,45
True,0.5,0.9,blue,0.99,46
False,0.3,0.6,red,0.99,46
True,0.6,0.9,blue,0.99,47
False,0.9,0.5,blue,0.99,47
True,0.6,0.1,blue,0.99,48
False,0.1,0.5,blue,0.99999,48
True,0.5,0.8,red,0.99,49
False,0.8,0.6,red,0.99,49
True,0.5,0.7,red,0.05,50
False,0.7,0.6,red,0.06,50
True,0.5,0.2,blue,0.8,51
False,0.9,0.6,red,0.6667,51
True,0.5,0.7,red,0.73,52
False,0.7,0.5,red,0.99,52
True,0.5,0.7,blue,0.99,53
False,0.9,0.6,blue,0.99,53
True,0.5,0.3,blue,0.06,54
False,0.2,0.6,red,0.99,54
True,0.5,0.2,red,0.04,55
False,0.3,0.6,blue,0.666,55
True,0.5,0.8,red,0.99,56
False,0.8,0.6,blue,0.66,56
True,0.5,0.1,red,0.99,57
False,0.9,0.6,blue,0.666,57
True,0.5,0.1,red,0.60,58
False,0.3,0.5,red,0.99,58
True,0.5,0.8,blue,0.02,59
False,0.1,0.5,blue,0.55,59
True,0.5,0.7,red,0.99,60
False,0.1,0.5,red,0.05,60
True,0.5,0.1,red,0.05,61
False,0.3,0.6,red,0.99,61
True,0.5,0.3,blue,0.06,62
False,0.8,0.5,red,0.99,62
True,0.6,0.2,red,0.33,63
False,0.9,0.5,red,0.55,63
True,0.5,0.3,red,0.99,64
False,0.1,0.5,blue,0.08,64
True,0.6,0.8,red,0.06,65
False,0.8,0.4,blue,0.05,65
True,0.5,0.3,red,0.99,66
False,0.2,0.6,red,0.99,66
True,0.5,0.8,red,0.99,67
False,0.9,0.4,blue,0.99,67
True,0.5,0.3,red,0.06,68
False,0.9,0.4,blue,0.99,68
True,0.4,0.7,blue,0.3,69
False,0.1,0.5,red,0.99,69
True,0.5,0.8,blue,0.08,70
False,0.8,0.6,blue,0.99,70
True,0.5,0.3,blue,0.99,71
False,0.7,0.6,red,0.99,71
True,0.6,0.2,red,0.25,72
False,0.9,0.5,blue,0.99,72
True,0.4,0.9,blue,0.99,73
False,0.1,0.4,red,0.13,73
True,0.5,0.3,blue,0.99,74
False,0.9,0.5,red,0.99,74
True,0.5,0.3,red,0.06,75
False,0.1,0.4,blue,0.06,75
True,0.4,0.1,red,0.04,76
False,0.2,0.5,red,0.05,76
True,0.4,0.1,red,0.04,77
False,0.9,0.6,blue,0.99,77
True,0.4,0.1,blue,0.99,78
False,0.3,0.5,blue,0.05,78
True,0.5,0.8,blue,0.02,79
False,0.8,0.5,red,0.625,79
True,0.6,0.3,red,0.06,80
False,0.3,0.5,red,0.99,80
True,0.5,0.2,blue,0.04,81
False,0.8,0.6,blue,0.99,81
True,0.6,0.1,red,0.06,82
False,0.2,0.4,red,0.67,82
True,0.5,0.7,red,0.99,83
False,0.7,0.4,blue,0.33,83
True,0.5,0.7,blue,0.43,84
False,0.1,0.6,red,0.06,84
True,0.5,0.2,red,0.02,85
False,0.7,0.5,red,0.79,85
True,0.4,0.1,red,0.11,86
False,0.9,0.4,red,0.99,86
True,0.4,0.7,blue,0.7,87
False,0.3,0.4,red,0.99,87
True,0.4,0.2,red,0.05,88
False,0.3,0.5,blue,0.99,88
True,0.5,0.8,red,0.99,89
False,0.1,0.6,red,0.06,89
True,0.6,0.7,blue,0.99,90
False,0.2,0.4,blue,0.99,90
True,0.5,0.2,blue,0.4,91
False,0.8,0.6,red,0.08,91
True,0.5,0.9,red,0.99,92
False,0.7,0.5,blue,0.71,92
True,0.5,0.9,blue,0.99,93
False,0.2,0.5,red,0.99,93
True,0.5,0.1,blue,0.99,94
False,0.8,0.5,red,0.99,94
True,0.5,0.9,blue,0.99,95
False,0.2,0.5,red,0.02,95
True,0.5,0.8,red,0.08,96
False,0.7,0.5,red,0.71,96
True,0.5,0.8,red,0.08,97
False,0.9,0.5,blue,0.85,97
True,0.6,0.7,blue,0.99,98
False,0.8,0.5,red,0.99,98
True,0.5,0.9,red,0.9,99
False,0.1,0.4,red,0.99,99
