informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.9,0
False,0.9,0.5,blue,0.99,0
True,0.5,0.3,red,0.3,1
False,0.9,0.5,red,0.5,1
True,0.5,0.7,blue,0.7,2
False,0.1,0.5,blue,0.5,2
True,0.5,0.1,blue,0.5,3
False,0.8,0.6,blue,0.0,3
True,0.4,0.3,blue,0.99,4
False,0.8,0.5,blue,0.5,4
True,0.5,0.1,red,0.1,5
False,0.7,0.5,blue,0.5,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.1,6
True,0.6,0.8,blue,0.8,7
False,0.1,0.5,blue,0.1,7
True,0.5,0.1,red,0.99,8
False,0.3,0.5,blue,0.5,8
True,0.5,0.1,blue,0.5,9
False,0.3,0.5,red,0.99,9
True,0.5,0.3,red,0.3,10
False,0.2,0.5,blue,0.5,10
True,0.5,0.7,blue,0.3,11
False,0.7,0.5,red,0.9,11
True,0.5,0.1,red,0.0,12
False,0.1,0.4,red,0.4,12
True,0.4,0.1,red,0.9,13
False,0.7,0.5,blue,0.5,13
True,0.4,0.7,red,0.7,14
False,0.1,0.4,red,0.4,14
True,0.4,0.1,red,0.1,15
False,0.9,0.6,blue,0.4,15
True,0.5,0.7,blue,0.3,16
False,0.8,0.4,blue,0.0,16
True,0.4,0.3,blue,0.7,17
False,0.7,0.4,red,0.4,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.6667,18
True,0.6,0.7,blue,0.7,19
False,0.3,0.5,blue,0.5,19
True,0.6,0.9,red,0.9,20
False,0.3,0.4,red,0.4,20
True,0.5,0.7,red,0.0,21
False,0.1,0.5,red,0.5,21
True,0.4,0.1,blue,0.42,22
False,0.7,0.5,blue,0.99,22
True,0.4,0.9,red,0.9,23
False,0.9,0.5,red,0.1,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.6,24
True,0.5,0.2,blue,0.2,25
False,0.2,0.5,blue,0.5,25
True,0.4,0.1,blue,0.1,26
False,0.9,0.6,red,0.6,26
True,0.5,0.9,blue,0.9,27
False,0.8,0.4,blue,0.99,27
True,0.5,0.8,red,0.44,28
False,0.1,0.5,red,0.5,28
True,0.6,0.9,blue,0.125,29
False,0.8,0.5,red,0.0,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.4,30
True,0.4,0.9,blue,0.99,31
False,0.3,0.5,red,0.5,31
True,0.5,0.1,red,0.5,32
False,0.2,0.4,blue,0.0,32
True,0.4,0.3,blue,0.7,33
False,0.8,0.4,blue,0.43,33
True,0.5,0.8,red,0.8,34
False,0.7,0.5,blue,0.0,34
True,0.5,0.2,blue,0.2,35
False,0.8,0.5,red,0.625,35
True,0.4,0.8,blue,0.33,36
False,0.7,0.6,red,0.6,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.5,37
True,0.4,0.2,red,0.2,38
False,0.7,0.5,red,0.5,38
True,0.4,0.3,red,0.3,39
False,0.2,0.6,blue,0.14,39
True,0.5,0.7,red,0.7,40
False,0.7,0.6,blue,0.6,40
True,0.6,0.7,blue,0.99,41
False,0.1,0.4,blue,0.9,41
True,0.6,0.7,blue,0.7,42
False,0.2,0.4,blue,0.4,42
True,0.5,0.2,red,0.8,43
False,0.2,0.6,red,0.6,43
True,0.5,0.3,blue,0.3,44
False,0.3,0.6,blue,0.71,44
True,0.6,0.3,blue,0.7,45
False,0.3,0.4,blue,0.0,45
True,0.5,0.9,blue,0.9,46
False,0.3,0.6,red,0.6,46
