informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.11,0
False,0.9,0.5,blue,0.05,0
True,0.5,0.3,red,0.25,1
False,0.9,0.5,red,0.05,1
True,0.5,0.7,blue,0.42,2
False,0.1,0.5,blue,0.09,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.97,3
True,0.4,0.3,blue,0.03,4
False,0.8,0.5,blue,0.99,4
True,0.5,0.1,red,0.02,5
False,0.7,0.5,blue,0.99,5
True,0.5,0.8,red,0.25,6
False,0.8,0.6,blue,0.05,6
True,0.6,0.8,blue,0.99,7
False,0.1,0.5,blue,0.01,7
True,0.5,0.1,red,0.09,8
False,0.3,0.5,blue,0.1,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.05,9
True,0.5,0.3,red,0.99,10
False,0.2,0.5,blue,0.05,10
True,0.5,0.7,blue,0.03,11
False,0.7,0.5,red,0.02,11
True,0.5,0.1,red,0.01,12
False,0.1,0.4,red,0.25,12
True,0.4,0.1,red,0.04,13
False,0.7,0.5,blue,0.99,13
True,0.4,0.7,red,0.99,14
False,0.1,0.4,red,0.99,14
True,0.4,0.1,red,0.04,15
False,0.9,0.6,blue,0.06,15
True,0.5,0.7,blue,0.02,16
False,0.8,0.4,blue,0.02,16
True,0.4,0.3,blue,0.99,17
False,0.7,0.4,red,0.02,17
True,0.5,0.9,red,0.27,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.99,19
False,0.3,0.5,blue,0.59,19
True,0.6,0.9,red,0.11,20
False,0.3,0.4,red,0.99,20
True,0.5,0.7,red,0.05,21
False,0.1,0.5,red,0.82,21
True,0.4,0.1,blue,0.04,22
False,0.7,0.5,blue,0.99,22
True,0.4,0.9,red,0.06,23
False,0.9,0.5,red,0.59,23
True,0.5,0.7,red,0.21,24
False,0.7,0.6,red,0.99,24
True,0.5,0.2,blue,0.04,25
False,0.2,0.5,blue,0.05,25
True,0.4,0.1,blue,0.09,26
False,0.9,0.6,red,0.06,26
True,0.5,0.9,blue,0.01,27
False,0.8,0.4,blue,0.08,27
True,0.5,0.8,red,0.1,28
False,0.1,0.5,red,0.05,28
True,0.6,0.9,blue,0.11,29
False,0.8,0.5,red,0.01,29
True,0.5,0.9,red,0.02,30
False,0.8,0.4,blue,0.99,30
True,0.4,0.9,blue,0.12,31
False,0.3,0.5,red,0.03,31
True,0.5,0.1,red,0.12,32
False,0.2,0.4,blue,0.33,32
True,0.4,0.3,blue,0.16,33
False,0.8,0.4,blue,0.03,33
True,0.5,0.8,red,0.25,34
False,0.7,0.5,blue,0.01,34
True,0.5,0.2,blue,0.99,35
False,0.8,0.5,red,0.02,35
True,0.4,0.8,blue,0.05,36
False,0.7,0.6,red,0.4,36
True,0.6,0.7,red,0.25,37
False,0.3,0.5,red,0.03,37
True,0.4,0.2,red,0.08,38
False,0.7,0.5,red,0.01,38
True,0.4,0.3,red,0.93,39
False,0.2,0.6,blue,0.08,39
True,0.5,0.7,red,0.02,40
False,0.7,0.6,blue,0.06,40
True,0.6,0.7,blue,0.04,41
False,0.1,0.4,blue,0.96,41
True,0.6,0.7,blue,0.03,42
False,0.2,0.4,blue,0.02,42
True,0.5,0.2,red,0.02,43
False,0.2,0.6,red,0.05,43
True,0.5,0.3,blue,0.99,44
False,0.3,0.6,blue,0.04,44
True,0.6,0.3,blue,0.17,45
False,0.3,0.4,blue,0.25,45
True,0.5,0.9,blue,0.12,46
False,0.3,0.6,red,0.1,46
True,0.6,0.9,blue,0.01,47
False,0.9,0.5,blue,0.25,47
True,0.6,0.1,blue,0.99,48
False,0.1,0.5,blue,0.05,48
True,0.5,0.8,red,0.25,49
False,0.8,0.6,red,0.06,49
True,0.5,0.7,red,0.03,50
False,0.7,0.6,red,0.03,50
True,0.5,0.2,blue,0.12,51
False,0.9,0.6,red,0.06,51
True,0.5,0.7,red,0.73,52
False,0.7,0.5,red,0.02,52
True,0.5,0.7,blue,0.21,53
False,0.9,0.6,blue,0.06,53
True,0.5,0.3,blue,0.02,54
False,0.2,0.6,red,0.01,54
True,0.5,0.2,red,0.25,55
False,0.3,0.6,blue,0.02,55
True,0.5,0.8,red,0.99,56
False,0.8,0.6,blue,0.99,56
True,0.5,0.1,red,0.01,57
False,0.9,0.6,blue,0.05,57
True,0.5,0.1,red,0.99,58
False,0.3,0.5,red,0.01,58
True,0.5,0.8,blue,0.99,59
False,0.1,0.5,blue,0.99,59
True,0.5,0.7,red,0.03,60
False,0.1,0.5,red,0.25,60
True,0.5,0.1,red,0.99,61
False,0.3,0.6,red,0.99,61
True,0.5,0.3,blue,0.1,62
False,0.8,0.5,red,0.01,62
True,0.6,0.2,red,0.06,63
False,0.9,0.5,red,0.05,63
True,0.5,0.3,red,0.21,64
False,0.1,0.5,blue,0.01,64
True,0.6,0.8,red,0.06,65
False,0.8,0.4,blue,0.25,65
True,0.5,0.3,red,0.42,66
False,0.2,0.6,red,0.05,66
True,0.5,0.8,red,0.25,67
False,0.9,0.4,blue,0.92,67
True,0.5,0.3,red,0.01,68
False,0.9,0.4,blue,0.08,68
True,0.4,0.7,blue,0.01,69
False,0.1,0.5,red,0.99,69
True,0.5,0.8,blue,0.02,70
False,0.8,0.6,blue,0.1,70
True,0.5,0.3,blue,0.05,71
False,0.7,0.6,red,0.04,71
True,0.6,0.2,red,0.12,72
False,0.9,0.5,blue,0.05,72
True,0.4,0.9,blue,0.01,73
False,0.1,0.4,red,0.02,73
True,0.5,0.3,blue,0.99,74
False,0.9,0.5,red,0.05,74
True,0.5,0.3,red,0.1,75
False,0.1,0.4,blue,0.25,75
True,0.4,0.1,red,0.01,76
False,0.2,0.5,red,0.05,76
True,0.4,0.1,red,0.99,77
False,0.9,0.6,blue,0.99,77
True,0.4,0.1,blue,0.05,78
False,0.3,0.5,blue,0.02,78
True,0.5,0.8,blue,0.25,79
False,0.8,0.5,red,0.60,79
True,0.6,0.3,red,0.21,80
False,0.3,0.5,red,0.03,80
True,0.5,0.2,blue,0.04,81
False,0.8,0.6,blue,0.05,81
True,0.6,0.1,red,0.12,82
False,0.2,0.4,red,0.07,82
True,0.5,0.7,red,0.05,83
False,0.7,0.4,blue,0.09,83
True,0.5,0.7,blue,0.42,84
False,0.1,0.6,red,0.08,84
True,0.5,0.2,red,0.99,85
False,0.7,0.5,red,0.99,85
True,0.4,0.1,red,0.12,86
False,0.9,0.4,red,0.9,86
True,0.4,0.7,blue,0.99,87
False,0.3,0.4,red,0.04,87
True,0.4,0.2,red,0.05,88
False,0.3,0.5,blue,0.99,88
True,0.5,0.8,red,0.25,89
False,0.1,0.6,red,0.02,89
True,0.6,0.7,blue,0.97,90
False,0.2,0.4,blue,0.05,90
True,0.5,0.2,blue,0.02,91
False,0.8,0.6,red,0.04,91
True,0.5,0.9,red,0.01,92
False,0.7,0.5,blue,0.35,92
True,0.5,0.9,blue,0.99,93
False,0.2,0.5,red,0.99,93
True,0.5,0.1,blue,0.02,94
False,0.8,0.5,red,0.99,94
True,0.5,0.9,blue,0.99,95
False,0.2,0.5,red,0.01,95
True,0.5,0.8,red,0.25,96
False,0.7,0.5,red,0.05,96
True,0.5,0.8,red,0.25,97
False,0.9,0.5,blue,0.09,97
True,0.6,0.7,blue,0.08,98
False,0.8,0.5,red,0.05,98
