informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.11,0
False,0.9,0.5,blue,0.5,0
True,0.5,0.3,red,0.15,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.87,2
False,0.1,0.5,blue,0.5,2
True,0.5,0.1,blue,0.03,3
False,0.8,0.6,blue,0.05,3
True,0.4,0.3,blue,0.47,4
False,0.8,0.5,blue,0.8,4
True,0.5,0.1,red,0.16,5
False,0.7,0.5,blue,0.57,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.36,6
True,0.6,0.8,blue,0.27,7
False,0.1,0.5,blue,0.2,7
True,0.5,0.1,red,0.11,8
False,0.3,0.5,blue,0.3,8
True,0.5,0.1,blue,0.9,9
False,0.3,0.5,red,0.3,9
True,0.5,0.3,red,0.43,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.23,11
False,0.7,0.5,red,0.71,11
True,0.5,0.1,red,0.5,12
False,0.1,0.4,red,0.41,12
True,0.4,0.1,red,0.07,13
False,0.7,0.5,blue,0.85,13
True,0.4,0.7,red,0.31,14
False,0.1,0.4,red,0.35,14
True,0.4,0.1,red,0.4,15
False,0.9,0.6,blue,0.17,15
True,0.5,0.7,blue,0.38,16
False,0.8,0.4,blue,0.86,16
True,0.4,0.3,blue,0.33,17
False,0.7,0.4,red,0.61,17
True,0.5,0.9,red,0.22,18
False,0.2,0.6,blue,0.05,18
True,0.6,0.7,blue,0.39,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.93,20
False,0.3,0.4,red,0.22,20
True,0.5,0.7,red,0.7,21
False,0.1,0.5,red,0.25,21
True,0.4,0.1,blue,0.1,22
False,0.7,0.5,blue,0.58,22
True,0.4,0.9,red,0.86,23
False,0.9,0.5,red,0.9,23
True,0.5,0.7,red,0.5,24
False,0.7,0.6,red,0.78,24
True,0.5,0.2,blue,0.33,25
False,0.2,0.5,blue,0.25,25
True,0.4,0.1,blue,0.4,26
False,0.9,0.6,red,0.73,26
True,0.5,0.9,blue,0.09,27
False,0.8,0.4,blue,0.36,27
True,0.5,0.8,red,0.5,28
False,0.1,0.5,red,0.06,28
True,0.6,0.9,blue,0.15,29
False,0.8,0.5,red,0.8,29
True,0.5,0.9,red,0.05,30
False,0.8,0.4,blue,0.82,30
True,0.4,0.9,blue,0.77,31
False,0.3,0.5,red,0.3,31
True,0.5,0.1,red,0.63,32
False,0.2,0.4,blue,0.13,32
True,0.4,0.3,blue,0.16,33
False,0.8,0.4,blue,0.13,33
True,0.5,0.8,red,0.8,34
False,0.7,0.5,blue,0.7,34
True,0.5,0.2,blue,0.5,35
False,0.8,0.5,red,0.8,35
True,0.4,0.8,blue,0.25,36
False,0.7,0.6,red,0.61,36
True,0.6,0.7,red,0.58,37
False,0.3,0.5,red,0.6,37
True,0.4,0.2,red,0.25,38
False,0.7,0.5,red,0.57,38
True,0.4,0.3,red,0.89,39
False,0.2,0.6,blue,0.25,39
True,0.5,0.7,red,0.35,40
False,0.7,0.6,blue,0.61,40
True,0.6,0.7,blue,0.6,41
False,0.1,0.4,blue,0.67,41
True,0.6,0.7,blue,0.15,42
False,0.2,0.4,blue,0.08,42
True,0.5,0.2,red,0.4,43
False,0.2,0.6,red,0.27,43
True,0.5,0.3,blue,0.5,44
