informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.25,0
False,0.9,0.5,blue,0.45,0
True,0.5,0.3,red,0.2,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.6,2
False,0.1,0.5,blue,0.1,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.89,3
True,0.4,0.3,blue,0.45,4
False,0.8,0.5,blue,0.8,4
True,0.5,0.1,red,0.11,5
False,0.7,0.5,blue,0.64,5
True,0.5,0.8,red,0.5,6
False,0.8,0.6,blue,0.6,6
True,0.6,0.8,blue,0.19,7
False,0.1,0.5,blue,0.06,7
True,0.5,0.1,red,0.1,8
False,0.3,0.5,blue,0.27,8
True,0.5,0.1,blue,0.59,9
False,0.3,0.5,red,0.3,9
True,0.5,0.3,red,0.23,10
False,0.2,0.5,blue,0.25,10
True,0.5,0.7,blue,0.3,11
False,0.7,0.5,red,0.82,11
True,0.5,0.1,red,0.1,12
False,0.1,0.4,red,0.07,12
True,0.4,0.1,red,0.93,13
False,0.7,0.5,blue,0.7,13
True,0.4,0.7,red,0.6,14
False,0.1,0.4,red,0.17,14
True,0.4,0.1,red,0.07,15
False,0.9,0.6,blue,0.84,15
True,0.5,0.7,blue,0.43,16
False,0.8,0.4,blue,0.63,16
True,0.4,0.3,blue,0.3,17
False,0.7,0.4,red,0.4,17
True,0.5,0.9,red,0.99,18
False,0.2,0.6,blue,0.56,18
True,0.6,0.7,blue,0.56,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.73,20
False,0.3,0.4,red,0.25,20
True,0.5,0.7,red,0.59,21
False,0.1,0.5,red,0.60,21
True,0.4,0.1,blue,0.28,22
False,0.7,0.5,blue,0.7,22
True,0.4,0.9,red,0.08,23
False,0.9,0.5,red,0.5,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.13,24
True,0.5,0.2,blue,0.8,25
False,0.2,0.5,blue,0.25,25
True,0.4,0.1,blue,0.85,26
False,0.9,0.6,red,0.93,26
True,0.5,0.9,blue,0.11,27
False,0.8,0.4,blue,0.6,27
True,0.5,0.8,red,0.4,28
False,0.1,0.5,red,0.1,28
True,0.6,0.9,blue,0.33,29
False,0.8,0.5,red,0.67,29
True,0.5,0.9,red,0.85,30
False,0.8,0.4,blue,0.96,30
True,0.4,0.9,blue,0.69,31
False,0.3,0.5,red,0.43,31
True,0.5,0.1,red,0.76,32
False,0.2,0.4,blue,0.2,32
True,0.4,0.3,blue,0.45,33
False,0.8,0.4,blue,0.25,33
True,0.5,0.8,red,0.8,34
False,0.7,0.5,blue,0.7,34
True,0.5,0.2,blue,0.2,35
False,0.8,0.5,red,0.67,35
True,0.4,0.8,blue,0.32,36
False,0.7,0.6,red,0.78,36
True,0.6,0.7,red,0.43,37
False,0.3,0.5,red,0.43,37
True,0.4,0.2,red,0.33,38
False,0.7,0.5,red,0.64,38
True,0.4,0.3,red,0.23,39
False,0.2,0.6,blue,0.94,39
True,0.5,0.7,red,0.49,40
