informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.59,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.99,1
False,0.9,0.5,red,0.56,1
True,0.5,0.7,blue,0.99,2
False,0.1,0.5,blue,0.05,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.82,3
True,0.4,0.3,blue,0.43,4
False,0.8,0.5,blue,0.625,4
True,0.5,0.1,red,0.93,5
False,0.7,0.5,blue,0.99,5
True,0.5,0.8,red,0.99,6
False,0.8,0.6,blue,0.99,6
True,0.6,0.8,blue,0.8,7
False,0.1,0.5,blue,0.99,7
True,0.5,0.1,red,0.17,8
False,0.3,0.5,blue,0.0,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.99,9
True,0.5,0.3,red,0.99,10
False,0.2,0.5,blue,0.99,10
True,0.5,0.7,blue,0.99,11
False,0.7,0.5,red,0.73,11
True,0.5,0.1,red,0.99,12
False,0.1,0.4,red,0.99,12
True,0.4,0.1,red,0.99,13
False,0.7,0.5,blue,0.99,13
True,0.4,0.7,red,0.4,14
False,0.1,0.4,red,0.4,14
True,0.4,0.1,red,0.99,15
False,0.9,0.6,blue,0.99,15
True,0.5,0.7,blue,0.99,16
False,0.8,0.4,blue,0.99,16
True,0.4,0.3,blue,0.99,17
False,0.7,0.4,red,0.99,17
True,0.5,0.9,red,0.99,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.99,19
False,0.3,0.5,blue,0.99,19
True,0.6,0.9,red,0.9,20
False,0.3,0.4,red,0.6,20
True,0.5,0.7,red,0.99,21
False,0.1,0.5,red,0.05,21
True,0.4,0.1,blue,0.99,22
False,0.7,0.5,blue,0.05,22
True,0.4,0.9,red,0.9,23
False,0.9,0.5,red,0.99,23
True,0.5,0.7,red,0.99,24
False,0.7,0.6,red,0.99,24
True,0.5,0.2,blue,0.99,25
False,0.2,0.5,blue,0.99,25
True,0.4,0.1,blue,0.99,26
False,0.9,0.6,red,0.99,26
True,0.5,0.9,blue,0.9,27
False,0.8,0.4,blue,0.83,27
