informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.99,0
False,0.9,0.5,blue,0.55,0
True,0.5,0.3,red,0.6,1
False,0.9,0.5,red,0.56,1
True,0.5,0.7,blue,0.6,2
False,0.1,0.5,blue,0.99,2
True,0.5,0.1,blue,0.11,3
False,0.8,0.6,blue,0.04,3
True,0.4,0.3,blue,0.75,4
False,0.8,0.5,blue,0.62,4
True,0.5,0.1,red,0.99,5
False,0.7,0.5,blue,0.43,5
True,0.5,0.8,red,0.25,6
False,0.8,0.6,blue,0.99,6
True,0.6,0.8,blue,0.33,7
False,0.1,0.5,blue,0.1,7
True,0.5,0.1,red,0.99,8
False,0.3,0.5,blue,0.43,8
True,0.5,0.1,blue,0.33,9
False,0.3,0.5,red,0.71,9
True,0.5,0.3,red,0.06,10
False,0.2,0.5,blue,0.99,10
True,0.5,0.7,blue,0.02,11
False,0.7,0.5,red,0.71,11
True,0.5,0.1,red,0.11,12
False,0.1,0.4,red,0.44,12
True,0.4,0.1,red,0.99,13
False,0.7,0.5,blue,0.43,13
True,0.4,0.7,red,0.27,14
False,0.1,0.4,red,0.06,14
True,0.4,0.1,red,0.99,15
False,0.9,0.6,blue,0.99,15
True,0.5,0.7,blue,0.99,16
False,0.8,0.4,blue,0.38,16
True,0.4,0.3,blue,0.43,17
False,0.7,0.4,red,0.93,17
True,0.5,0.9,red,0.5,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.43,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.9,20
False,0.3,0.4,red,0.43,20
True,0.5,0.7,red,0.6,21
False,0.1,0.5,red,0.56,21
True,0.4,0.1,blue,0.99,22
False,0.7,0.5,blue,0.71,22
True,0.4,0.9,red,0.99,23
False,0.9,0.5,red,0.56,23
True,0.5,0.7,red,0.06,24
False,0.7,0.6,red,0.66,24
True,0.5,0.2,blue,0.25,25
False,0.2,0.5,blue,0.99,25
True,0.4,0.1,blue,0.75,26
False,0.9,0.6,red,0.67,26
True,0.5,0.9,blue,0.05,27
False,0.8,0.4,blue,0.38,27
True,0.5,0.8,red,0.04,28
False,0.1,0.5,red,0.56,28
True,0.6,0.9,blue,0.05,29
False,0.8,0.5,red,0.71,29
True,0.5,0.9,red,0.81,30
False,0.8,0.4,blue,0.05,30
True,0.4,0.9,blue,0.01,31
False,0.3,0.5,red,0.99,31
True,0.5,0.1,red,0.0,32
False,0.2,0.4,blue,0.99,32
True,0.4,0.3,blue,0.43,33
False,0.8,0.4,blue,0.99,33
True,0.5,0.8,red,0.04,34
False,0.7,0.5,blue,0.06,34
True,0.5,0.2,blue,0.4,35
False,0.8,0.5,red,0.62,35
True,0.4,0.8,blue,0.25,36
False,0.7,0.6,red,0.93,36
True,0.6,0.7,red,0.05,37
False,0.3,0.5,red,0.21,37
True,0.4,0.2,red,0.05,38
False,0.7,0.5,red,0.71,38
True,0.4,0.3,red,0.99,39
False,0.2,0.6,blue,0.99,39
True,0.5,0.7,red,0.06,40
False,0.7,0.6,blue,0.34,40
True,0.6,0.7,blue,0.99,41
False,0.1,0.4,blue,0.99,41
True,0.6,0.7,blue,0.99,42
False,0.2,0.4,blue,0.99,42
True,0.5,0.2,red,0.25,43
False,0.2,0.6,red,0.99,43
True,0.5,0.3,blue,0.99,44
False,0.3,0.6,blue,0.99,44
True,0.6,0.3,blue,0.43,45
False,0.3,0.4,blue,0.43,45
True,0.5,0.9,blue,0.99,46
False,0.3,0.6,red,0.57,46
True,0.6,0.9,blue,0.38,47
False,0.9,0.5,blue,0.99,47
True,0.6,0.1,blue,0.99,48
False,0.1,0.5,blue,0.99,48
True,0.5,0.8,red,0.99,49
False,0.8,0.6,red,0.75,49
True,0.5,0.7,red,0.99,50
False,0.7,0.6,red,0.99,50
True,0.5,0.2,blue,0.25,51
False,0.9,0.6,red,0.44,51
True,0.5,0.7,red,0.06,52
False,0.7,0.5,red,0.71,52
True,0.5,0.7,blue,0.04,53
False,0.9,0.6,blue,0.6,53
True,0.5,0.3,blue,0.43,54
False,0.2,0.6,red,0.99,54
True,0.5,0.2,red,0.4,55
False,0.3,0.6,blue,0.27,55
True,0.5,0.8,red,0.8,56
False,0.8,0.6,blue,0.99,56
True,0.5,0.1,red,0.56,57
False,0.9,0.6,blue,0.67,57
True,0.5,0.1,red,0.99,58
False,0.3,0.5,red,0.99,58
True,0.5,0.8,blue,0.04,59
False,0.1,0.5,blue,0.99,59
True,0.5,0.7,red,0.99,60
False,0.1,0.5,red,0.99,60
True,0.5,0.1,red,0.01,61
False,0.3,0.6,red,0.86,61
True,0.5,0.3,blue,0.13,62
False,0.8,0.5,red,0.31,62
True,0.6,0.2,red,0.33,63
False,0.9,0.5,red,0.56,63
True,0.5,0.3,red,0.6,64
False,0.1,0.5,blue,0.05,64
True,0.6,0.8,red,0.99,65
False,0.8,0.4,blue,0.99,65
True,0.5,0.3,red,0.05,66
False,0.2,0.6,red,0.99,66
True,0.5,0.8,red,0.08,67
False,0.9,0.4,blue,0.99,67
True,0.5,0.3,red,0.43,68
False,0.9,0.4,blue,0.05,68
True,0.4,0.7,blue,0.05,69
False,0.1,0.5,red,0.99,69
True,0.5,0.8,blue,0.04,70
False,0.8,0.6,blue,0.33,70
True,0.5,0.3,blue,0.02,71
False,0.7,0.6,red,0.43,71
True,0.6,0.2,red,0.99,72
False,0.9,0.5,blue,0.56,72
True,0.4,0.9,blue,0.93,73
False,0.1,0.4,red,0.99,73
True,0.5,0.3,blue,0.4,74
False,0.9,0.5,red,0.55,74
True,0.5,0.3,red,0.47,75
False,0.1,0.4,blue,0.67,75
True,0.4,0.1,red,0.03,76
False,0.2,0.5,red,0.99,76
True,0.4,0.1,red,0.25,77
False,0.9,0.6,blue,0.27,77
True,0.4,0.1,blue,0.25,78
False,0.3,0.5,blue,0.43,78
True,0.5,0.8,blue,0.4,79
False,0.8,0.5,red,0.25,79
True,0.6,0.3,red,0.43,80
False,0.3,0.5,red,0.5,80
True,0.5,0.2,blue,0.04,81
False,0.8,0.6,blue,0.33,81
True,0.6,0.1,red,0.02,82
False,0.2,0.4,red,0.05,82
True,0.5,0.7,red,0.99,83
False,0.7,0.4,blue,0.14,83
True,0.5,0.7,blue,0.43,84
False,0.1,0.6,red,0.67,84
True,0.5,0.2,red,0.25,85
False,0.7,0.5,red,0.71,85
True,0.4,0.1,red,0.44,86
False,0.9,0.4,red,0.99,86
True,0.4,0.7,blue,0.75,87
False,0.3,0.4,red,0.7,87
True,0.4,0.2,red,0.67,88
False,0.3,0.5,blue,0.05,88
True,0.5,0.8,red,0.8,89
False,0.1,0.6,red,0.05,89
True,0.6,0.7,blue,0.67,90
False,0.2,0.4,blue,0.05,90
True,0.5,0.2,blue,0.99,91
False,0.8,0.6,red,0.99,91
True,0.5,0.9,red,0.99,92
False,0.7,0.5,blue,0.71,92
True,0.5,0.9,blue,0.33,93
False,0.2,0.5,red,0.25,93
True,0.5,0.1,blue,0.99,94
False,0.8,0.5,red,0.62,94
True,0.5,0.9,blue,0.99,95
False,0.2,0.5,red,0.25,95
True,0.5,0.8,red,0.99,96
False,0.7,0.5,red,0.28,96
True,0.5,0.8,red,0.99,97
False,0.9,0.5,blue,0.56,97
True,0.6,0.7,blue,0.67,98
False,0.8,0.5,red,0.63,98
True,0.5,0.9,red,0.99,99
False,0.1,0.4,red,0.4,99
