informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.99,0
False,0.9,0.5,blue,0.05,0
True,0.5,0.3,red,0.3,1
False,0.9,0.5,red,0.05,1
True,0.5,0.7,blue,0.99,2
False,0.1,0.5,blue,0.99,2
True,0.5,0.1,blue,0.9,3
False,0.8,0.6,blue,0.06,3
True,0.4,0.3,blue,0.3,4
False,0.8,0.5,blue,0.99,4
True,0.5,0.1,red,0.5,5
False,0.7,0.5,blue,0.14,5
True,0.5,0.8,red,0.2,6
False,0.8,0.6,blue,0.6,6
True,0.6,0.8,blue,0.8,7
False,0.1,0.5,blue,0.05,7
True,0.5,0.1,red,0.05,8
False,0.3,0.5,blue,0.33,8
True,0.5,0.1,blue,0.5,9
False,0.3,0.5,red,0.05,9
True,0.5,0.3,red,0.46,10
False,0.2,0.5,blue,0.99,10
True,0.5,0.7,blue,0.7,11
False,0.7,0.5,red,0.5,11
True,0.5,0.1,red,0.1,12
False,0.1,0.4,red,0.16,12
True,0.4,0.1,red,0.1,13
False,0.7,0.5,blue,0.99,13
True,0.4,0.7,red,0.97,14
False,0.1,0.4,red,0.04,14
True,0.4,0.1,red,0.1,15
False,0.9,0.6,blue,0.69,15
True,0.5,0.7,blue,0.7,16
False,0.8,0.4,blue,0.99,16
True,0.4,0.3,blue,0.3,17
False,0.7,0.4,red,0.4,17
True,0.5,0.9,red,0.19,18
False,0.2,0.6,blue,0.6,18
True,0.6,0.7,blue,0.23,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.99,20
False,0.3,0.4,red,0.67,20
True,0.5,0.7,red,0.95,21
False,0.1,0.5,red,0.25,21
True,0.4,0.1,blue,0.11,22
False,0.7,0.5,blue,0.5,22
True,0.4,0.9,red,0.86,23
False,0.9,0.5,red,0.02,23
True,0.5,0.7,red,0.07,24
False,0.7,0.6,red,0.42,24
True,0.5,0.2,blue,0.04,25
False,0.2,0.5,blue,0.05,25
True,0.4,0.1,blue,0.5,26
False,0.9,0.6,red,0.06,26
True,0.5,0.9,blue,0.1,27
False,0.8,0.4,blue,0.48,27
True,0.5,0.8,red,0.8,28
False,0.1,0.5,red,0.99,28
True,0.6,0.9,blue,0.9,29
False,0.8,0.5,red,0.99,29
True,0.5,0.9,red,0.99,30
False,0.8,0.4,blue,0.05,30
True,0.4,0.9,blue,0.99,31
False,0.3,0.5,red,0.5,31
True,0.5,0.1,red,0.45,32
False,0.2,0.4,blue,0.67,32
True,0.4,0.3,blue,0.75,33
False,0.8,0.4,blue,0.11,33
True,0.5,0.8,red,0.8,34
False,0.7,0.5,blue,0.99,34
True,0.5,0.2,blue,0.94,35
False,0.8,0.5,red,0.05,35
True,0.4,0.8,blue,0.8,36
False,0.7,0.6,red,0.42,36
True,0.6,0.7,red,0.28,37
False,0.3,0.5,red,0.5,37
True,0.4,0.2,red,0.71,38
False,0.7,0.5,red,0.05,38
True,0.4,0.3,red,0.22,39
False,0.2,0.6,blue,0.67,39
True,0.5,0.7,red,0.35,40
False,0.7,0.6,blue,0.06,40
True,0.6,0.7,blue,0.7,41
False,0.1,0.4,blue,0.04,41
True,0.6,0.7,blue,0.99,42
False,0.2,0.4,blue,0.4,42
True,0.5,0.2,red,0.2,43
False,0.2,0.6,red,0.27,43
True,0.5,0.3,blue,0.3,44
False,0.3,0.6,blue,0.66,44
True,0.6,0.3,blue,0.22,45
False,0.3,0.4,blue,0.12,45
True,0.5,0.9,blue,0.1,46
False,0.3,0.6,red,0.18,46
True,0.6,0.9,blue,0.99,47
False,0.9,0.5,blue,0.05,47
True,0.6,0.1,blue,0.11,48
False,0.1,0.5,blue,0.05,48
True,0.5,0.8,red,0.36,49
False,0.8,0.6,red,0.8,49
