informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.07,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.3,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.3,2
False,0.1,0.5,blue,0.1,2
True,0.5,0.1,blue,0.9,3
False,0.8,0.6,blue,0.73,3
True,0.4,0.3,blue,0.61,4
False,0.8,0.5,blue,0.8,4
True,0.5,0.1,red,0.1,5
False,0.7,0.5,blue,0.7,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.73,6
True,0.6,0.8,blue,0.27,7
False,0.1,0.5,blue,0.1,7
True,0.5,0.1,red,0.1,8
False,0.3,0.5,blue,0.3,8
True,0.5,0.1,blue,0.9,9
False,0.3,0.5,red,0.3,9
True,0.5,0.3,red,0.3,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.46,11
False,0.7,0.5,red,0.7,11
True,0.5,0.1,red,0.1,12
False,0.1,0.4,red,0.07,12
True,0.4,0.1,red,0.07,13
False,0.7,0.5,blue,0.7,13
True,0.4,0.7,red,0.61,14
False,0.1,0.4,red,0.07,14
True,0.4,0.1,red,0.07,15
False,0.9,0.6,blue,0.86,15
True,0.5,0.7,blue,0.3,16
False,0.8,0.4,blue,0.86,16
True,0.4,0.3,blue,0.61,17
False,0.7,0.4,red,0.61,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.14,18
True,0.6,0.7,blue,0.39,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.93,20
False,0.3,0.4,red,0.22,20
True,0.5,0.7,red,0.7,21
False,0.1,0.5,red,0.1,21
True,0.4,0.1,blue,0.86,22
False,0.7,0.5,blue,0.7,22
True,0.4,0.9,red,0.86,23
False,0.9,0.5,red,0.9,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.78,24
True,0.5,0.2,blue,0.8,25
False,0.2,0.5,blue,0.2,25
True,0.4,0.1,blue,0.86,26
False,0.9,0.6,red,0.93,26
True,0.5,0.9,blue,0.1,27
False,0.8,0.4,blue,0.86,27
True,0.5,0.8,red,0.8,28
False,0.1,0.5,red,0.1,28
True,0.6,0.9,blue,0.14,29
False,0.8,0.5,red,0.8,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.86,30
True,0.4,0.9,blue,0.07,31
False,0.3,0.5,red,0.3,31
True,0.5,0.1,red,0.1,32
False,0.2,0.4,blue,0.27,32
True,0.4,0.3,blue,0.61,33
False,0.8,0.4,blue,0.86,33
True,0.5,0.8,red,0.8,34
False,0.7,0.5,blue,0.7,34
True,0.5,0.2,blue,0.8,35
False,0.8,0.5,red,0.8,35
True,0.4,0.8,blue,0.14,36
False,0.7,0.6,red,0.78,36
True,0.6,0.7,red,0.78,37
False,0.3,0.5,red,0.3,37
True,0.4,0.2,red,0.14,38
False,0.7,0.5,red,0.7,38
True,0.4,0.3,red,0.22,39
False,0.2,0.6,blue,0.14,39
True,0.5,0.7,red,0.7,40
False,0.7,0.6,blue,0.61,40
True,0.6,0.7,blue,0.39,41
False,0.1,0.4,blue,0.14,41
True,0.6,0.7,blue,0.39,42
False,0.2,0.4,blue,0.27,42
True,0.5,0.2,red,0.2,43
False,0.2,0.6,red,0.27,43
True,0.5,0.3,blue,0.7,44
False,0.3,0.6,blue,0.22,44
True,0.6,0.3,blue,0.78,45
False,0.3,0.4,blue,0.39,45
True,0.5,0.9,blue,0.1,46
False,0.3,0.6,red,0.39,46
True,0.6,0.9,blue,0.14,47
False,0.9,0.5,blue,0.9,47
True,0.6,0.1,blue,0.93,48
False,0.1,0.5,blue,0.1,48
True,0.5,0.8,red,0.8,49
False,0.8,0.6,red,0.86,49
True,0.5,0.7,red,0.7,50
False,0.7,0.6,red,0.78,50
True,0.5,0.2,blue,0.8,51
False,0.9,0.6,red,0.93,51
True,0.5,0.7,red,0.7,52
False,0.7,0.5,red,0.7,52
True,0.5,0.7,blue,0.3,53
False,0.9,0.6,blue,0.86,53
True,0.5,0.3,blue,0.7,54
False,0.2,0.6,red,0.27,54
True,0.5,0.2,red,0.2,55
False,0.3,0.6,blue,0.22,55
True,0.5,0.8,red,0.8,56
False,0.8,0.6,blue,0.73,56
