informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.99,0
False,0.9,0.5,blue,0.99,0
True,0.5,0.3,red,0.99,1
False,0.9,0.5,red,0.95,1
True,0.5,0.7,blue,0.7,2
False,0.1,0.5,blue,0.95,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.75,3
True,0.4,0.3,blue,0.43,4
False,0.8,0.5,blue,0.99,4
True,0.5,0.1,red,0.99,5
False,0.7,0.5,blue,0.99,5
True,0.5,0.8,red,0.98,6
False,0.8,0.6,blue,0.75,6
True,0.6,0.8,blue,0.99,7
False,0.1,0.5,blue,0.99,7
True,0.5,0.1,red,0.5,8
False,0.3,0.5,blue,0.83,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.15,9
True,0.5,0.3,red,0.43,10
False,0.2,0.5,blue,0.62,10
True,0.5,0.7,blue,0.99,11
False,0.7,0.5,red,0.99,11
True,0.5,0.1,red,0.99,12
False,0.1,0.4,red,0.96,12
True,0.4,0.1,red,0.99,13
False,0.7,0.5,blue,0.99,13
True,0.4,0.7,red,0.99,14
False,0.1,0.4,red,0.78,14
True,0.4,0.1,red,0.44,15
False,0.9,0.6,blue,0.99,15
True,0.5,0.7,blue,0.7,16
False,0.8,0.4,blue,0.98,16
True,0.4,0.3,blue,0.43,17
False,0.7,0.4,red,0.23,17
True,0.5,0.9,red,0.99,18
False,0.2,0.6,blue,0.03,18
True,0.6,0.7,blue,0.99,19
False,0.3,0.5,blue,0.99,19
True,0.6,0.9,red,0.99,20
False,0.3,0.4,red,0.99,20
True,0.5,0.7,red,0.49,21
False,0.1,0.5,red,0.99,21
True,0.4,0.1,blue,0.99,22
False,0.7,0.5,blue,0.99,22
True,0.4,0.9,red,0.99,23
False,0.9,0.5,red,0.56,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.99,24
True,0.5,0.2,blue,0.99,25
False,0.2,0.5,blue,0.95,25
True,0.4,0.1,blue,0.44,26
False,0.9,0.6,red,0.99,26
True,0.5,0.9,blue,0.99,27
False,0.8,0.4,blue,0.99,27
True,0.5,0.8,red,0.98,28
False,0.1,0.5,red,0.99,28
True,0.6,0.9,blue,0.99,29
False,0.8,0.5,red,0.63,29
True,0.5,0.9,red,0.99,30
False,0.8,0.4,blue,0.99,30
True,0.4,0.9,blue,0.99,31
False,0.3,0.5,red,0.99,31
True,0.5,0.1,red,0.99,32
False,0.2,0.4,blue,0.99,32
True,0.4,0.3,blue,0.99,33
False,0.8,0.4,blue,0.67,33
True,0.5,0.8,red,0.99,34
False,0.7,0.5,blue,0.99,34
True,0.5,0.2,blue,0.25,35
False,0.8,0.5,red,0.99,35
True,0.4,0.8,blue,0.99,36
False,0.7,0.6,red,0.42,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.99,37
True,0.4,0.2,red,0.25,38
False,0.7,0.5,red,0.99,38
True,0.4,0.3,red,0.97,39
False,0.2,0.6,blue,0.99,39
True,0.5,0.7,red,0.7,40
False,0.7,0.6,blue,0.99,40
True,0.6,0.7,blue,0.75,41
False,0.1,0.4,blue,0.75,41
True,0.6,0.7,blue,0.99,42
False,0.2,0.4,blue,0.6,42
True,0.5,0.2,red,0.99,43
False,0.2,0.6,red,0.99,43
True,0.5,0.3,blue,0.75,44
False,0.3,0.6,blue,0.99,44
True,0.6,0.3,blue,0.7,45
False,0.3,0.4,blue,0.67,45
True,0.5,0.9,blue,0.99,46
False,0.3,0.6,red,0.99,46
True,0.6,0.9,blue,0.99,47
False,0.9,0.5,blue,0.56,47
True,0.6,0.1,blue,0.99,48
False,0.1,0.5,blue,0.99,48
True,0.5,0.8,red,0.8,49
False,0.8,0.6,red,0.99,49
True,0.5,0.7,red,0.77,50
False,0.7,0.6,red,0.86,50
True,0.5,0.2,blue,0.75,51
False,0.9,0.6,red,0.78,51
True,0.5,0.7,red,0.93,52
False,0.7,0.5,red,0.71,52
True,0.5,0.7,blue,0.06,53
False,0.9,0.6,blue,0.99,53
True,0.5,0.3,blue,0.7,54
False,0.2,0.6,red,0.67,54
True,0.5,0.2,red,0.18,55
False,0.3,0.6,blue,0.96,55
True,0.5,0.8,red,0.98,56
False,0.8,0.6,blue,0.99,56
True,0.5,0.1,red,0.06,57
False,0.9,0.6,blue,0.75,57
True,0.5,0.1,red,0.05,58
False,0.3,0.5,red,0.99,58
True,0.5,0.8,blue,0.99,59
False,0.1,0.5,blue,0.5,59
True,0.5,0.7,red,0.7,60
False,0.1,0.5,red,0.99,60
True,0.5,0.1,red,0.99,61
False,0.3,0.6,red,0.08,61
True,0.5,0.3,blue,0.75,62
False,0.8,0.5,red,0.63,62
