informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.03,0
False,0.9,0.5,blue,0.82,0
True,0.5,0.3,red,0.5,1
False,0.9,0.5,red,0.45,1
True,0.5,0.7,blue,0.43,2
False,0.1,0.5,blue,0.1,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.73,3
True,0.4,0.3,blue,0.0,4
False,0.8,0.5,blue,0.5,4
True,0.5,0.1,red,0.45,5
False,0.7,0.5,blue,0.7,5
True,0.5,0.8,red,0.67,6
False,0.8,0.6,blue,0.86,6
True,0.6,0.8,blue,0.38,7
False,0.1,0.5,blue,0.1,7
True,0.5,0.1,red,0.1,8
False,0.3,0.5,blue,0.26,8
True,0.5,0.1,blue,0.48,9
False,0.3,0.5,red,0.26,9
True,0.5,0.3,red,0.43,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.7,11
False,0.7,0.5,red,0.64,11
True,0.5,0.1,red,0.5,12
False,0.1,0.4,red,0.12,12
True,0.4,0.1,red,0.04,13
False,0.7,0.5,blue,0.35,13
True,0.4,0.7,red,0.61,14
False,0.1,0.4,red,0.1,14
True,0.4,0.1,red,0.35,15
False,0.9,0.6,blue,0.36,15
True,0.5,0.7,blue,0.27,16
False,0.8,0.4,blue,0.86,16
True,0.4,0.3,blue,0.33,17
False,0.7,0.4,red,0.61,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.14,18
True,0.6,0.7,blue,0.11,19
False,0.3,0.5,blue,0.26,19
True,0.6,0.9,red,0.9,20
False,0.3,0.4,red,0.29,20
True,0.5,0.7,red,0.35,21
False,0.1,0.5,red,0.11,21
True,0.4,0.1,blue,0.43,22
False,0.7,0.5,blue,0.35,22
True,0.4,0.9,red,0.3,23
False,0.9,0.5,red,0.82,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.75,24
True,0.5,0.2,blue,0.8,25
False,0.2,0.5,blue,0.25,25
True,0.4,0.1,blue,0.37,26
False,0.9,0.6,red,0.81,26
True,0.5,0.9,blue,0.45,27
False,0.8,0.4,blue,0.86,27
True,0.5,0.8,red,0.67,28
False,0.1,0.5,red,0.11,28
True,0.6,0.9,blue,0.14,29
False,0.8,0.5,red,0.67,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.75,30
True,0.4,0.9,blue,0.12,31
False,0.3,0.5,red,0.34,31
True,0.5,0.1,red,0.1,32
False,0.2,0.4,blue,0.5,32
True,0.4,0.3,blue,0.5,33
False,0.8,0.4,blue,0.3,33
True,0.5,0.8,red,0.8,34
False,0.7,0.5,blue,0.7,34
True,0.5,0.2,blue,0.8,35
False,0.8,0.5,red,0.33,35
True,0.4,0.8,blue,0.14,36
False,0.7,0.6,red,0.78,36
True,0.6,0.7,red,0.78,37
False,0.3,0.5,red,0.51,37
True,0.4,0.2,red,0.14,38
False,0.7,0.5,red,0.64,38
True,0.4,0.3,red,0.4,39
False,0.2,0.6,blue,0.14,39
True,0.5,0.7,red,0.35,40
False,0.7,0.6,blue,0.67,40
True,0.6,0.7,blue,0.06,41
False,0.1,0.4,blue,0.1,41
True,0.6,0.7,blue,0.43,42
False,0.2,0.4,blue,0.27,42
True,0.5,0.2,red,0.22,43
False,0.2,0.6,red,0.38,43
True,0.5,0.3,blue,0.5,44
False,0.3,0.6,blue,0.39,44
True,0.6,0.3,blue,0.43,45
False,0.3,0.4,blue,0.43,45
True,0.5,0.9,blue,0.11,46
False,0.3,0.6,red,0.64,46
True,0.6,0.9,blue,0.14,47
False,0.9,0.5,blue,0.9,47
True,0.6,0.1,blue,0.6,48
False,0.1,0.5,blue,0.2,48
True,0.5,0.8,red,0.4,49
False,0.8,0.6,red,0.3,49
True,0.5,0.7,red,0.35,50
False,0.7,0.6,red,0.99,50
True,0.5,0.2,blue,0.06,51
