informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.11,0
False,0.9,0.5,blue,0.05,0
True,0.5,0.3,red,0.07,1
False,0.9,0.5,red,0.05,1
True,0.5,0.7,blue,0.59,2
False,0.1,0.5,blue,0.05,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.06,3
True,0.4,0.3,blue,0.99,4
False,0.8,0.5,blue,0.05,4
True,0.5,0.1,red,0.05,5
False,0.7,0.5,blue,0.71,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.04,6
True,0.6,0.8,blue,0.08,7
False,0.1,0.5,blue,0.05,7
True,0.5,0.1,red,0.05,8
False,0.3,0.5,blue,0.25,8
True,0.5,0.1,blue,0.05,9
False,0.3,0.5,red,0.05,9
True,0.5,0.3,red,0.7,10
False,0.2,0.5,blue,0.05,10
True,0.5,0.7,blue,0.21,11
False,0.7,0.5,red,0.99,11
True,0.5,0.1,red,0.05,12
False,0.1,0.4,red,0.06,12
True,0.4,0.1,red,0.9,13
False,0.7,0.5,blue,0.99,13
True,0.4,0.7,red,0.7,14
False,0.1,0.4,red,0.04,14
True,0.4,0.1,red,0.05,15
False,0.9,0.6,blue,0.06,15
True,0.5,0.7,blue,0.07,16
False,0.8,0.4,blue,0.66,16
True,0.4,0.3,blue,0.7,17
False,0.7,0.4,red,0.6,17
True,0.5,0.9,red,0.82,18
False,0.2,0.6,blue,0.67,18
True,0.6,0.7,blue,0.42,19
False,0.3,0.5,blue,0.625,19
True,0.6,0.9,red,0.93,20
False,0.3,0.4,red,0.05,20
True,0.5,0.7,red,0.43,21
False,0.1,0.5,red,0.05,21
True,0.4,0.1,blue,0.05,22
False,0.7,0.5,blue,0.05,22
True,0.4,0.9,red,0.09,23
False,0.9,0.5,red,0.99,23
True,0.5,0.7,red,0.21,24
False,0.7,0.6,red,0.06,24
True,0.5,0.2,blue,0.04,25
False,0.2,0.5,blue,0.05,25
True,0.4,0.1,blue,0.99,26
False,0.9,0.6,red,0.04,26
True,0.5,0.9,blue,0.99,27
False,0.8,0.4,blue,0.06,27
True,0.5,0.8,red,0.02,28
False,0.1,0.5,red,0.05,28
True,0.6,0.9,blue,0.11,29
False,0.8,0.5,red,0.375,29
True,0.5,0.9,red,0.99,30
False,0.8,0.4,blue,0.4,30
True,0.4,0.9,blue,0.9,31
False,0.3,0.5,red,0.05,31
True,0.5,0.1,red,0.99,32
False,0.2,0.4,blue,0.99,32
True,0.4,0.3,blue,0.7,33
False,0.8,0.4,blue,0.06,33
True,0.5,0.8,red,0.08,34
False,0.7,0.5,blue,0.99,34
True,0.5,0.2,blue,0.02,35
False,0.8,0.5,red,0.05,35
True,0.4,0.8,blue,0.2,36
False,0.7,0.6,red,0.06,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.99,37
True,0.4,0.2,red,0.02,38
False,0.7,0.5,red,0.99,38
True,0.4,0.3,red,0.7,39
False,0.2,0.6,blue,0.04,39
True,0.5,0.7,red,0.07,40
False,0.7,0.6,blue,0.06,40
True,0.6,0.7,blue,0.99,41
False,0.1,0.4,blue,0.04,41
True,0.6,0.7,blue,0.03,42
False,0.2,0.4,blue,0.06,42
True,0.5,0.2,red,0.8,43
False,0.2,0.6,red,0.24,43
True,0.5,0.3,blue,0.7,44
False,0.3,0.6,blue,0.06,44
True,0.6,0.3,blue,0.17,45
False,0.3,0.4,blue,0.06,45
True,0.5,0.9,blue,0.73,46
False,0.3,0.6,red,0.99,46
True,0.6,0.9,blue,0.06,47
False,0.9,0.5,blue,0.99,47
True,0.6,0.1,blue,0.99,48
False,0.1,0.5,blue,0.99,48
True,0.5,0.8,red,0.99,49
False,0.8,0.6,red,0.06,49
True,0.5,0.7,red,0.9,50
False,0.7,0.6,red,0.66,50
True,0.5,0.2,blue,0.08,51
False,0.9,0.6,red,0.06,51
True,0.5,0.7,red,0.03,52
False,0.7,0.5,red,0.99,52
True,0.5,0.7,blue,0.42,53
False,0.9,0.6,blue,0.04,53
True,0.5,0.3,blue,0.99,54
False,0.2,0.6,red,0.06,54
True,0.5,0.2,red,0.08,55
False,0.3,0.6,blue,0.06,55
True,0.5,0.8,red,0.8,56
False,0.8,0.6,blue,0.24,56
True,0.5,0.1,red,0.9,57
False,0.9,0.6,blue,0.06,57
True,0.5,0.1,red,0.05,58
False,0.3,0.5,red,0.05,58
True,0.5,0.8,blue,0.25,59
False,0.1,0.5,blue,0.05,59
True,0.5,0.7,red,0.05,60
False,0.1,0.5,red,0.05,60
True,0.5,0.1,red,0.05,61
False,0.3,0.6,red,0.36,61
True,0.5,0.3,blue,0.99,62
False,0.8,0.5,red,0.08,62
True,0.6,0.2,red,0.08,63
False,0.9,0.5,red,0.99,63
True,0.5,0.3,red,0.99,64
False,0.1,0.5,blue,0.60,64
True,0.6,0.8,red,0.08,65
False,0.8,0.4,blue,0.05,65
True,0.5,0.3,red,0.07,66
False,0.2,0.6,red,0.06,66
True,0.5,0.8,red,0.8,67
False,0.9,0.4,blue,0.06,67
True,0.5,0.3,red,0.49,68
False,0.9,0.4,blue,0.4,68
True,0.4,0.7,blue,0.99,69
False,0.1,0.5,red,0.05,69
True,0.5,0.8,blue,0.02,70
False,0.8,0.6,blue,0.06,70
True,0.5,0.3,blue,0.03,71
False,0.7,0.6,red,0.67,71
True,0.6,0.2,red,0.06,72
False,0.9,0.5,blue,0.99,72
True,0.4,0.9,blue,0.111,73
False,0.1,0.4,red,0.04,73
True,0.5,0.3,blue,0.06,74
False,0.9,0.5,red,0.99,74
True,0.5,0.3,red,0.3,75
False,0.1,0.4,blue,0.06,75
True,0.4,0.1,red,0.0112,76
False,0.2,0.5,red,0.05,76
True,0.4,0.1,red,0.05,77
False,0.9,0.6,blue,0.04,77
True,0.4,0.1,blue,0.05,78
False,0.3,0.5,blue,0.03,78
True,0.5,0.8,blue,0.2,79
False,0.8,0.5,red,0.75,79
True,0.6,0.3,red,0.03,80
False,0.3,0.5,red,0.05,80
True,0.5,0.2,blue,0.04,81
False,0.8,0.6,blue,0.05,81
True,0.6,0.1,red,0.01,82
False,0.2,0.4,red,0.4,82
True,0.5,0.7,red,0.7,83
False,0.7,0.4,blue,0.02,83
True,0.5,0.7,blue,0.7,84
False,0.1,0.6,red,0.67,84
True,0.5,0.2,red,0.25,85
False,0.7,0.5,red,0.99,85
True,0.4,0.1,red,0.1,86
False,0.9,0.4,red,0.06,86
True,0.4,0.7,blue,0.21,87
False,0.3,0.4,red,0.4,87
True,0.4,0.2,red,0.02,88
False,0.3,0.5,blue,0.99,88
True,0.5,0.8,red,0.8,89
False,0.1,0.6,red,0.99,89
True,0.6,0.7,blue,0.21,90
False,0.2,0.4,blue,0.08,90
True,0.5,0.2,blue,0.08,91
False,0.8,0.6,red,0.04,91
True,0.5,0.9,red,0.05,92
False,0.7,0.5,blue,0.71,92
True,0.5,0.9,blue,0.11,93
False,0.2,0.5,red,0.05,93
True,0.5,0.1,blue,0.05,94
False,0.8,0.5,red,0.05,94
True,0.5,0.9,blue,0.99,95
False,0.2,0.5,red,0.05,95
True,0.5,0.8,red,0.8,96
False,0.7,0.5,red,0.05,96
True,0.5,0.8,red,0.89,97
False,0.9,0.5,blue,0.05,97
True,0.6,0.7,blue,0.13,98
False,0.8,0.5,red,0.33,98
