informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.86,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.5,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.3,2
False,0.1,0.5,blue,0.11,2
True,0.5,0.1,blue,0.5,3
False,0.8,0.6,blue,0.99,3
True,0.4,0.3,blue,0.4,4
False,0.8,0.5,blue,0.8,4
True,0.5,0.1,red,0.5,5
False,0.7,0.5,blue,0.7,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.57,6
True,0.6,0.8,blue,0.21,7
False,0.1,0.5,blue,0.11,7
True,0.5,0.1,red,0.99,8
False,0.3,0.5,blue,0.43,8
True,0.5,0.1,blue,0.1,9
False,0.3,0.5,red,0.43,9
True,0.5,0.3,red,0.3,10
False,0.2,0.5,blue,0.5,10
True,0.5,0.7,blue,0.3,11
False,0.7,0.5,red,0.7,11
True,0.5,0.1,red,0.99,12
False,0.1,0.4,red,0.04,12
True,0.4,0.1,red,0.07,13
False,0.7,0.5,blue,0.7,13
True,0.4,0.7,red,0.94,14
False,0.1,0.4,red,0.07,14
True,0.4,0.1,red,0.07,15
False,0.9,0.6,blue,0.9,15
True,0.5,0.7,blue,0.7,16
False,0.8,0.4,blue,0.57,16
True,0.4,0.3,blue,0.4,17
False,0.7,0.4,red,0.5,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.13,18
True,0.6,0.7,blue,0.78,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.54,20
False,0.3,0.4,red,0.22,20
True,0.5,0.7,red,0.7,21
False,0.1,0.5,red,0.1,21
True,0.4,0.1,blue,0.4,22
False,0.7,0.5,blue,0.7,22
True,0.4,0.9,red,0.75,23
False,0.9,0.5,red,0.9,23
True,0.5,0.7,red,0.5,24
False,0.7,0.6,red,0.72,24
True,0.5,0.2,blue,0.67,25
False,0.2,0.5,blue,0.2,25
True,0.4,0.1,blue,0.08,26
False,0.9,0.6,red,0.93,26
True,0.5,0.9,blue,0.9,27
False,0.8,0.4,blue,0.86,27
True,0.5,0.8,red,0.8,28
False,0.1,0.5,red,0.11,28
True,0.6,0.9,blue,0.93,29
False,0.8,0.5,red,0.8,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.86,30
True,0.4,0.9,blue,0.07,31
False,0.3,0.5,red,0.3,31
True,0.5,0.1,red,0.5,32
False,0.2,0.4,blue,0.14,32
True,0.4,0.3,blue,0.4,33
False,0.8,0.4,blue,0.4,33
True,0.5,0.8,red,0.5,34
False,0.7,0.5,blue,0.7,34
True,0.5,0.2,blue,0.2,35
False,0.8,0.5,red,0.8,35
True,0.4,0.8,blue,0.73,36
False,0.7,0.6,red,0.78,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.43,37
True,0.4,0.2,red,0.14,38
False,0.7,0.5,red,0.7,38
True,0.4,0.3,red,0.5,39
False,0.2,0.6,blue,0.13,39
True,0.5,0.7,red,0.7,40
False,0.7,0.6,blue,0.5,40
True,0.6,0.7,blue,0.49,41
False,0.1,0.4,blue,0.07,41
True,0.6,0.7,blue,0.39,42
False,0.2,0.4,blue,0.25,42
True,0.5,0.2,red,0.2,43
False,0.2,0.6,red,0.25,43
True,0.5,0.3,blue,0.5,44
False,0.3,0.6,blue,0.22,44
True,0.6,0.3,blue,0.78,45
False,0.3,0.4,blue,0.66,45
True,0.5,0.9,blue,0.1,46
False,0.3,0.6,red,0.43,46
True,0.6,0.9,blue,0.93,47
False,0.9,0.5,blue,0.9,47
True,0.6,0.1,blue,0.06,48
False,0.1,0.5,blue,0.1,48
True,0.5,0.8,red,0.4,49
False,0.8,0.6,red,0.86,49
True,0.5,0.7,red,0.7,50
False,0.7,0.6,red,0.83,50
True,0.5,0.2,blue,0.5,51
False,0.9,0.6,red,0.54,51
True,0.5,0.7,red,0.7,52
False,0.7,0.5,red,0.7,52
True,0.5,0.7,blue,0.3,53
False,0.9,0.6,blue,0.78,53
True,0.5,0.3,blue,0.7,54
False,0.2,0.6,red,0.27,54
True,0.5,0.2,red,0.4,55
False,0.3,0.6,blue,0.22,55
True,0.5,0.8,red,0.67,56
False,0.8,0.6,blue,0.57,56
True,0.5,0.1,red,0.1,57
False,0.9,0.6,blue,0.78,57
True,0.5,0.1,red,0.1,58
False,0.3,0.5,red,0.3,58
True,0.5,0.8,blue,0.8,59
False,0.1,0.5,blue,0.11,59
True,0.5,0.7,red,0.5,60
False,0.1,0.5,red,0.1,60
True,0.5,0.1,red,0.1,61
False,0.3,0.6,red,0.39,61
True,0.5,0.3,blue,0.7,62
False,0.8,0.5,red,0.8,62
True,0.6,0.2,red,0.38,63
False,0.9,0.5,red,0.9,63
True,0.5,0.3,red,0.3,64
False,0.1,0.5,blue,0.1,64
True,0.6,0.8,red,0.86,65
False,0.8,0.4,blue,0.67,65
True,0.5,0.3,red,0.3,66
False,0.2,0.6,red,0.25,66
True,0.5,0.8,red,0.8,67
False,0.9,0.4,blue,0.78,67
True,0.5,0.3,red,0.5,68
False,0.9,0.4,blue,0.95,68
True,0.4,0.7,blue,0.41,69
False,0.1,0.5,red,0.2,69
True,0.5,0.8,blue,0.2,70
False,0.8,0.6,blue,0.67,70
True,0.5,0.3,blue,0.7,71
False,0.7,0.6,red,0.78,71
True,0.6,0.2,red,0.21,72
False,0.9,0.5,blue,0.89,72
True,0.4,0.9,blue,0.29,73
False,0.1,0.4,red,0.07,73
True,0.5,0.3,blue,0.7,74
False,0.9,0.5,red,0.9,74
True,0.5,0.3,red,0.43,75
False,0.1,0.4,blue,0.14,75
True,0.4,0.1,red,0.17,76
False,0.2,0.5,red,0.2,76
True,0.4,0.1,red,0.07,77
False,0.9,0.6,blue,0.86,77
True,0.4,0.1,blue,0.4,78
False,0.3,0.5,blue,0.3,78
True,0.5,0.8,blue,0.8,79
False,0.8,0.5,red,0.71,79
True,0.6,0.3,red,0.39,80
False,0.3,0.5,red,0.3,80
True,0.5,0.2,blue,0.8,81
False,0.8,0.6,blue,0.73,81
True,0.6,0.1,red,0.93,82
False,0.2,0.4,red,0.18,82
True,0.5,0.7,red,0.7,83
False,0.7,0.4,blue,0.7,83
True,0.5,0.7,blue,0.3,84
False,0.1,0.6,red,0.6,84
True,0.5,0.2,red,0.2,85
False,0.7,0.5,red,0.7,85
True,0.4,0.1,red,0.17,86
False,0.9,0.4,red,0.4,86
True,0.4,0.7,blue,0.7,87
False,0.3,0.4,red,0.22,87
True,0.4,0.2,red,0.36,88
False,0.3,0.5,blue,0.3,88
