informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.07,0
False,0.9,0.5,blue,0.5,0
True,0.5,0.3,red,0.6,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.3,2
False,0.1,0.5,blue,0.01,2
True,0.5,0.1,blue,0.45,3
False,0.8,0.6,blue,0.8,3
True,0.4,0.3,blue,0.22,4
False,0.8,0.5,blue,0.8,4
True,0.5,0.1,red,0.1,5
False,0.7,0.5,blue,0.71,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.72,6
True,0.6,0.8,blue,0.27,7
False,0.1,0.5,blue,0.33,7
True,0.5,0.1,red,0.5,8
False,0.3,0.5,blue,0.38,8
True,0.5,0.1,blue,0.17,9
False,0.3,0.5,red,0.3,9
True,0.5,0.3,red,0.42,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.85,11
False,0.7,0.5,red,0.71,11
True,0.5,0.1,red,0.5,12
False,0.1,0.4,red,0.07,12
True,0.4,0.1,red,0.4,13
False,0.7,0.5,blue,0.7,13
True,0.4,0.7,red,0.28,14
False,0.1,0.4,red,0.0168,14
True,0.4,0.1,red,0.04,15
False,0.9,0.6,blue,0.86,15
True,0.5,0.7,blue,0.3,16
False,0.8,0.4,blue,0.8,16
True,0.4,0.3,blue,0.4,17
False,0.7,0.4,red,0.61,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.14,18
True,0.6,0.7,blue,0.39,19
False,0.3,0.5,blue,0.15,19
True,0.6,0.9,red,0.93,20
False,0.3,0.4,red,0.22,20
True,0.5,0.7,red,0.7,21
False,0.1,0.5,red,0.1,21
True,0.4,0.1,blue,0.4,22
False,0.7,0.5,blue,0.69,22
True,0.4,0.9,red,0.85,23
False,0.9,0.5,red,0.5,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.78,24
True,0.5,0.2,blue,0.4,25
False,0.2,0.5,blue,0.2,25
True,0.4,0.1,blue,0.4,26
False,0.9,0.6,red,0.92,26
True,0.5,0.9,blue,0.02,27
False,0.8,0.4,blue,0.29,27
True,0.5,0.8,red,0.8,28
False,0.1,0.5,red,0.1,28
True,0.6,0.9,blue,0.54,29
False,0.8,0.5,red,0.83,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.8,30
True,0.4,0.9,blue,0.86,31
