informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.59,0
False,0.9,0.5,blue,0.82,0
True,0.5,0.3,red,0.93,1
False,0.9,0.5,red,0.17,1
True,0.5,0.7,blue,0.73,2
False,0.1,0.5,blue,0.60,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.08,3
True,0.4,0.3,blue,0.13,4
False,0.8,0.5,blue,0.33,4
True,0.5,0.1,red,0.85,5
False,0.7,0.5,blue,0.76,5
True,0.5,0.8,red,0.94,6
False,0.8,0.6,blue,0.41,6
True,0.6,0.8,blue,0.01,7
False,0.1,0.5,blue,0.85,7
True,0.5,0.1,red,0.93,8
False,0.3,0.5,blue,0.78,8
True,0.5,0.1,blue,0.38,9
False,0.3,0.5,red,0.48,9
True,0.5,0.3,red,0.99,10
False,0.2,0.5,blue,0.62,10
True,0.5,0.7,blue,0.51,11
False,0.7,0.5,red,0.69,11
True,0.5,0.1,red,0.77,12
False,0.1,0.4,red,0.58,12
True,0.4,0.1,red,0.05,13
False,0.7,0.5,blue,0.37,13
True,0.4,0.7,red,0.81,14
False,0.1,0.4,red,0.83,14
True,0.4,0.1,red,0.38,15
False,0.9,0.6,blue,0.95,15
True,0.5,0.7,blue,0.36,16
False,0.8,0.4,blue,0.49,16
True,0.4,0.3,blue,0.01,17
False,0.7,0.4,red,0.99,17
True,0.5,0.9,red,0.50,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.58,19
False,0.3,0.5,blue,0.10,19
True,0.6,0.9,red,0.51,20
False,0.3,0.4,red,0.98,20
True,0.5,0.7,red,0.49,21
False,0.1,0.5,red,0.13,21
True,0.4,0.1,blue,0.1,22
False,0.7,0.5,blue,0.71,22
True,0.4,0.9,red,0.37,23
False,0.9,0.5,red,0.37,23
True,0.5,0.7,red,0.31,24
False,0.7,0.6,red,0.20,24
True,0.5,0.2,blue,0.39,25
False,0.2,0.5,blue,0.45,25
True,0.4,0.1,blue,0.36,26
False,0.9,0.6,red,0.15,26
True,0.5,0.9,blue,0.30,27
False,0.8,0.4,blue,0.52,27
True,0.5,0.8,red,0.61,28
False,0.1,0.5,red,0.82,28
True,0.6,0.9,blue,0.68,29
