informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.94,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.1,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.3,2
False,0.1,0.5,blue,0.1,2
True,0.5,0.1,blue,0.5,3
False,0.8,0.6,blue,0.73,3
True,0.4,0.3,blue,0.22,4
False,0.8,0.5,blue,0.5,4
True,0.5,0.1,red,0.09,5
False,0.7,0.5,blue,0.7,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.4,6
True,0.6,0.8,blue,0.86,7
False,0.1,0.5,blue,0.5,7
True,0.5,0.1,red,0.5,8
False,0.3,0.5,blue,0.43,8
True,0.5,0.1,blue,0.18,9
False,0.3,0.5,red,0.43,9
True,0.5,0.3,red,0.5,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.4,11
False,0.7,0.5,red,0.5,11
True,0.5,0.1,red,0.45,12
False,0.1,0.4,red,0.74,12
True,0.4,0.1,red,0.89,13
False,0.7,0.5,blue,0.49,13
True,0.4,0.7,red,0.61,14
False,0.1,0.4,red,0.42,14
True,0.4,0.1,red,0.07,15
False,0.9,0.6,blue,0.93,15
True,0.5,0.7,blue,0.3,16
False,0.8,0.4,blue,0.8,16
True,0.4,0.3,blue,0.67,17
False,0.7,0.4,red,0.99,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.27,18
True,0.6,0.7,blue,0.39,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.93,20
False,0.3,0.4,red,0.29,20
True,0.5,0.7,red,0.62,21
False,0.1,0.5,red,0.01,21
True,0.4,0.1,blue,0.4,22
False,0.7,0.5,blue,0.43,22
True,0.4,0.9,red,0.9,23
False,0.9,0.5,red,0.9,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.78,24
True,0.5,0.2,blue,0.5,25
False,0.2,0.5,blue,0.2,25
True,0.4,0.1,blue,0.83,26
False,0.9,0.6,red,0.55,26
True,0.5,0.9,blue,0.5,27
False,0.8,0.4,blue,0.83,27
True,0.5,0.8,red,0.5,28
False,0.1,0.5,red,0.1,28
True,0.6,0.9,blue,0.22,29
False,0.8,0.5,red,0.8,29
True,0.5,0.9,red,0.1,30
False,0.8,0.4,blue,0.8,30
True,0.4,0.9,blue,0.6,31
False,0.3,0.5,red,0.33,31
True,0.5,0.1,red,0.1,32
False,0.2,0.4,blue,0.2,32
True,0.4,0.3,blue,0.6,33
False,0.8,0.4,blue,0.5,33
True,0.5,0.8,red,0.27,34
False,0.7,0.5,blue,0.7,34
True,0.5,0.2,blue,0.92,35
False,0.8,0.5,red,0.87,35
True,0.4,0.8,blue,0.29,36
False,0.7,0.6,red,0.71,36
True,0.6,0.7,red,0.98,37
False,0.3,0.5,red,0.43,37
True,0.4,0.2,red,0.29,38
False,0.7,0.5,red,0.5,38
True,0.4,0.3,red,0.28,39
False,0.2,0.6,blue,0.25,39
True,0.5,0.7,red,0.47,40
False,0.7,0.6,blue,0.61,40
True,0.6,0.7,blue,0.39,41
False,0.1,0.4,blue,0.22,41
True,0.6,0.7,blue,0.52,42
False,0.2,0.4,blue,0.2,42
True,0.5,0.2,red,0.4,43
False,0.2,0.6,red,0.38,43
True,0.5,0.3,blue,0.5,44
False,0.3,0.6,blue,0.5,44
True,0.6,0.3,blue,0.6,45
False,0.3,0.4,blue,0.3,45
True,0.5,0.9,blue,0.5,46
False,0.3,0.6,red,0.39,46
