informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.1,0
False,0.9,0.5,blue,0.9,0
True,0.5,0.3,red,0.6,1
False,0.9,0.5,red,0.9,1
True,0.5,0.7,blue,0.78,2
False,0.1,0.5,blue,0.1,2
True,0.5,0.1,blue,0.9,3
False,0.8,0.6,blue,0.86,3
True,0.4,0.3,blue,0.29,4
False,0.8,0.5,blue,0.8,4
True,0.5,0.1,red,0.1,5
False,0.7,0.5,blue,0.7,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.73,6
True,0.6,0.8,blue,0.5,7
False,0.1,0.5,blue,0.1,7
True,0.5,0.1,red,0.11,8
False,0.3,0.5,blue,0.3,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.3,9
True,0.5,0.3,red,0.3,10
False,0.2,0.5,blue,0.2,10
True,0.5,0.7,blue,0.3,11
False,0.7,0.5,red,0.49,11
True,0.5,0.1,red,0.9,12
False,0.1,0.4,red,0.6,12
True,0.4,0.1,red,0.9,13
False,0.7,0.5,blue,0.64,13
True,0.4,0.7,red,0.7,14
False,0.1,0.4,red,0.099,14
True,0.4,0.1,red,0.38,15
False,0.9,0.6,blue,0.55,15
True,0.5,0.7,blue,0.3,16
False,0.8,0.4,blue,0.72,16
True,0.4,0.3,blue,0.5,17
False,0.7,0.4,red,0.61,17
True,0.5,0.9,red,0.9,18
False,0.2,0.6,blue,0.27,18
True,0.6,0.7,blue,0.85,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.86,20
False,0.3,0.4,red,0.31,20
True,0.5,0.7,red,0.7,21
False,0.1,0.5,red,0.17,21
True,0.4,0.1,blue,0.86,22
False,0.7,0.5,blue,0.7,22
True,0.4,0.9,red,0.9,23
False,0.9,0.5,red,0.55,23
True,0.5,0.7,red,0.58,24
False,0.7,0.6,red,0.78,24
True,0.5,0.2,blue,0.11,25
False,0.2,0.5,blue,0.2,25
True,0.4,0.1,blue,0.18,26
False,0.9,0.6,red,0.93,26
True,0.5,0.9,blue,0.1,27
False,0.8,0.4,blue,0.36,27
True,0.5,0.8,red,0.8,28
False,0.1,0.5,red,0.09,28
True,0.6,0.9,blue,0.1,29
False,0.8,0.5,red,0.8,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.86,30
True,0.4,0.9,blue,0.89,31
False,0.3,0.5,red,0.38,31
True,0.5,0.1,red,0.9,32
False,0.2,0.4,blue,0.6,32
True,0.4,0.3,blue,0.3,33
False,0.8,0.4,blue,0.86,33
True,0.5,0.8,red,0.5,34
False,0.7,0.5,blue,0.89,34
True,0.5,0.2,blue,0.94,35
False,0.8,0.5,red,0.56,35
True,0.4,0.8,blue,0.21,36
False,0.7,0.6,red,0.78,36
True,0.6,0.7,red,0.85,37
False,0.3,0.5,red,0.53,37
True,0.4,0.2,red,0.14,38
False,0.7,0.5,red,0.35,38
True,0.4,0.3,red,0.3,39
False,0.2,0.6,blue,0.6,39
True,0.5,0.7,red,0.7,40
False,0.7,0.6,blue,0.61,40
True,0.6,0.7,blue,0.33,41
False,0.1,0.4,blue,0.06,41
True,0.6,0.7,blue,0.78,42
False,0.2,0.4,blue,0.3,42
True,0.5,0.2,red,0.2,43
False,0.2,0.6,red,0.6,43
True,0.5,0.3,blue,0.5,44
False,0.3,0.6,blue,0.4,44
True,0.6,0.3,blue,0.68,45
False,0.3,0.4,blue,0.4,45
True,0.5,0.9,blue,0.0447,46
False,0.3,0.6,red,0.39,46
True,0.6,0.9,blue,0.99,47
False,0.9,0.5,blue,0.82,47
True,0.6,0.1,blue,0.93,48
False,0.1,0.5,blue,0.1,48
True,0.5,0.8,red,0.8,49
False,0.8,0.6,red,0.86,49
True,0.5,0.7,red,0.7,50
False,0.7,0.6,red,0.42,50
True,0.5,0.2,blue,0.95,51
False,0.9,0.6,red,0.73,51
True,0.5,0.7,red,0.7,52
False,0.7,0.5,red,0.7,52
True,0.5,0.7,blue,0.7,53
False,0.9,0.6,blue,0.93,53
True,0.5,0.3,blue,0.43,54
False,0.2,0.6,red,0.73,54
True,0.5,0.2,red,0.2,55
False,0.3,0.6,blue,0.22,55
True,0.5,0.8,red,0.88,56
False,0.8,0.6,blue,0.86,56
True,0.5,0.1,red,0.9,57
False,0.9,0.6,blue,0.9,57
True,0.5,0.1,red,0.99,58
False,0.3,0.5,red,0.3,58
True,0.5,0.8,blue,0.11,59
False,0.1,0.5,blue,0.09,59
True,0.5,0.7,red,0.7,60
False,0.1,0.5,red,0.1,60
True,0.5,0.1,red,0.9,61
False,0.3,0.6,red,0.6,61
True,0.5,0.3,blue,0.3,62
False,0.8,0.5,red,0.96,62
