informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.9,0
False,0.9,0.5,blue,0.99,0
True,0.5,0.3,red,0.99,1
False,0.9,0.5,red,0.29,1
True,0.5,0.7,blue,0.7,2
False,0.1,0.5,blue,0.5,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.36,3
True,0.4,0.3,blue,0.52,4
False,0.8,0.5,blue,0.25,4
True,0.5,0.1,red,0.99,5
False,0.7,0.5,blue,0.5,5
True,0.5,0.8,red,0.8,6
False,0.8,0.6,blue,0.75,6
True,0.6,0.8,blue,0.8,7
False,0.1,0.5,blue,0.99,7
True,0.5,0.1,red,0.05,8
False,0.3,0.5,blue,0.7,8
True,0.5,0.1,blue,0.19,9
False,0.3,0.5,red,0.5,9
True,0.5,0.3,red,0.6,10
False,0.2,0.5,blue,0.05,10
True,0.5,0.7,blue,0.99,11
False,0.7,0.5,red,0.7,11
True,0.5,0.1,red,0.1,12
False,0.1,0.4,red,0.4,12
True,0.4,0.1,red,0.99,13
False,0.7,0.5,blue,0.42,13
True,0.4,0.7,red,0.99,14
False,0.1,0.4,red,0.99,14
True,0.4,0.1,red,0.1,15
False,0.9,0.6,blue,0.6,15
True,0.5,0.7,blue,0.99,16
False,0.8,0.4,blue,0.04,16
True,0.4,0.3,blue,0.99,17
False,0.7,0.4,red,0.66,17
True,0.5,0.9,red,0.99,18
False,0.2,0.6,blue,0.99,18
True,0.6,0.7,blue,0.23,19
False,0.3,0.5,blue,0.5,19
True,0.6,0.9,red,0.99,20
False,0.3,0.4,red,0.0,20
True,0.5,0.7,red,0.99,21
False,0.1,0.5,red,0.99,21
True,0.4,0.1,blue,0.9,22
False,0.7,0.5,blue,0.99,22
True,0.4,0.9,red,0.99,23
False,0.9,0.5,red,0.55,23
True,0.5,0.7,red,0.7,24
False,0.7,0.6,red,0.06,24
True,0.5,0.2,blue,0.8,25
False,0.2,0.5,blue,0.99,25
True,0.4,0.1,blue,0.06,26
False,0.9,0.6,red,0.6,26
True,0.5,0.9,blue,0.47,27
False,0.8,0.4,blue,0.6,27
True,0.5,0.8,red,0.16,28
False,0.1,0.5,red,0.99,28
True,0.6,0.9,blue,0.9,29
False,0.8,0.5,red,0.8,29
True,0.5,0.9,red,0.81,30
False,0.8,0.4,blue,0.6,30
True,0.4,0.9,blue,0.99,31
False,0.3,0.5,red,0.15,31
True,0.5,0.1,red,0.19,32
False,0.2,0.4,blue,0.4,32
True,0.4,0.3,blue,0.3,33
False,0.8,0.4,blue,0.59,33
True,0.5,0.8,red,0.08,34
False,0.7,0.5,blue,0.99,34
True,0.5,0.2,blue,0.4,35
False,0.8,0.5,red,0.05,35
True,0.4,0.8,blue,0.64,36
False,0.7,0.6,red,0.6,36
True,0.6,0.7,red,0.7,37
False,0.3,0.5,red,0.5,37
True,0.4,0.2,red,0.5,38
False,0.7,0.5,red,0.99,38
True,0.4,0.3,red,0.99,39
False,0.2,0.6,blue,0.99,39
True,0.5,0.7,red,0.07,40
False,0.7,0.6,blue,0.07,40
True,0.6,0.7,blue,0.7,41
False,0.1,0.4,blue,0.04,41
True,0.6,0.7,blue,0.99,42
False,0.2,0.4,blue,0.99,42
True,0.5,0.2,red,0.99,43
False,0.2,0.6,red,0.99,43
True,0.5,0.3,blue,0.99,44
False,0.3,0.6,blue,0.01,44
True,0.6,0.3,blue,0.05,45
False,0.3,0.4,blue,0.3,45
True,0.5,0.9,blue,0.99,46
False,0.3,0.6,red,0.6,46
