informative_lh,prior,lh,red_observation,left_pred,run
True,0.4,0.9,blue,0.01,0
False,0.9,0.5,blue,0.05,0
True,0.5,0.3,red,0.3,1
False,0.9,0.5,red,0.05,1
True,0.5,0.7,blue,0.99,2
False,0.1,0.5,blue,0.05,2
True,0.5,0.1,blue,0.99,3
False,0.8,0.6,blue,0.99,3
True,0.4,0.3,blue,0.93,4
False,0.8,0.5,blue,0.05,4
True,0.5,0.1,red,0.01,5
False,0.7,0.5,blue,0.05,5
True,0.5,0.8,red,0.16,6
False,0.8,0.6,blue,0.99,6
True,0.6,0.8,blue,0.07,7
False,0.1,0.5,blue,0.05,7
True,0.5,0.1,red,0.99,8
False,0.3,0.5,blue,0.05,8
True,0.5,0.1,blue,0.99,9
False,0.3,0.5,red,0.25,9
True,0.5,0.3,red,0.06,10
False,0.2,0.5,blue,0.05,10
True,0.5,0.7,blue,0.99,11
False,0.7,0.5,red,0.51,11
True,0.5,0.1,red,0.99,12
False,0.1,0.4,red,0.04,12
True,0.4,0.1,red,0.25,13
False,0.7,0.5,blue,0.05,13
True,0.4,0.7,red,0.7,14
False,0.1,0.4,red,0.04,14
True,0.4,0.1,red,0.01,15
False,0.9,0.6,blue,0.024,15
True,0.5,0.7,blue,0.24,16
False,0.8,0.4,blue,0.05,16
True,0.4,0.3,blue,0.99,17
False,0.7,0.4,red,0.04,17
True,0.5,0.9,red,0.95,18
False,0.2,0.6,blue,0.06,18
True,0.6,0.7,blue,0.3,19
False,0.3,0.5,blue,0.3,19
True,0.6,0.9,red,0.59,20
False,0.3,0.4,red,0.04,20
True,0.5,0.7,red,0.49,21
False,0.1,0.5,red,0.05,21
True,0.4,0.1,blue,0.04,22
False,0.7,0.5,blue,0.07,22
True,0.4,0.9,red,0.91,23
False,0.9,0.5,red,0.5,23
True,0.5,0.7,red,0.97,24
False,0.7,0.6,red,0.06,24
True,0.5,0.2,blue,0.16,25
False,0.2,0.5,blue,0.02,25
True,0.4,0.1,blue,0.82,26
False,0.9,0.6,red,0.06,26
True,0.5,0.9,blue,0.9,27
False,0.8,0.4,blue,0.6,27
True,0.5,0.8,red,0.99,28
False,0.1,0.5,red,0.05,28
True,0.6,0.9,blue,0.9,29
False,0.8,0.5,red,0.05,29
True,0.5,0.9,red,0.9,30
False,0.8,0.4,blue,0.99,30
True,0.4,0.9,blue,0.99,31
False,0.3,0.5,red,0.25,31
True,0.5,0.1,red,0.9,32
False,0.2,0.4,blue,0.0,32
True,0.4,0.3,blue,0.03,33
False,0.8,0.4,blue,0.48,33
True,0.5,0.8,red,0.08,34
False,0.7,0.5,blue,0.05,34
True,0.5,0.2,blue,0.02,35
False,0.8,0.5,red,0.625,35
True,0.4,0.8,blue,0.08,36
False,0.7,0.6,red,0.6,36
True,0.6,0.7,red,0.99,37
False,0.3,0.5,red,0.05,37
True,0.4,0.2,red,0.02,38
False,0.7,0.5,red,0.05,38
True,0.4,0.3,red,0.99,39
False,0.2,0.6,blue,0.04,39
True,0.5,0.7,red,0.99,40
False,0.7,0.6,blue,0.06,40
True,0.6,0.7,blue,0.99,41
False,0.1,0.4,blue,0.04,41
True,0.6,0.7,blue,0.99,42
False,0.2,0.4,blue,0.04,42
True,0.5,0.2,red,0.04,43
False,0.2,0.6,red,0.06,43
True,0.5,0.3,blue,0.0,44
False,0.3,0.6,blue,0.04,44
True,0.6,0.3,blue,0.58,45
False,0.3,0.4,blue,0.48,45
True,0.5,0.9,blue,0.99,46
False,0.3,0.6,red,0.06,46
True,0.6,0.9,blue,0.99,47
False,0.9,0.5,blue,0.05,47
True,0.6,0.1,blue,0.93,48
False,0.1,0.5,blue,0.25,48
True,0.5,0.8,red,0.08,49
False,0.8,0.6,red,0.06,49
True,0.5,0.7,red,0.21,50
False,0.7,0.6,red,0.24,50
True,0.5,0.2,blue,0.02,51
False,0.9,0.6,red,0.99,51
True,0.5,0.7,red,0.99,52
False,0.7,0.5,red,0.71,52
True,0.5,0.7,blue,0.21,53
False,0.9,0.6,blue,0.06,53
True,0.5,0.3,blue,0.99,54
False,0.2,0.6,red,0.24,54
True,0.5,0.2,red,0.4,55
False,0.3,0.6,blue,0.06,55
True,0.5,0.8,red,0.8,56
False,0.8,0.6,blue,0.16,56
True,0.5,0.1,red,0.09,57
False,0.9,0.6,blue,0.06,57
True,0.5,0.1,red,0.99,58
False,0.3,0.5,red,0.05,58
True,0.5,0.8,blue,0.98,59
False,0.1,0.5,blue,0.99,59
True,0.5,0.7,red,0.07,60
False,0.1,0.5,red,0.05,60
True,0.5,0.1,red,0.17,61
False,0.3,0.6,red,0.06,61
True,0.5,0.3,blue,0.99,62
False,0.8,0.5,red,0.99,62
True,0.6,0.2,red,0.33,63
False,0.9,0.5,red,0.05,63
True,0.5,0.3,red,0.06,64
False,0.1,0.5,blue,0.25,64
True,0.6,0.8,red,0.99,65
False,0.8,0.4,blue,0.04,65
True,0.5,0.3,red,0.99,66
False,0.2,0.6,red,0.24,66
True,0.5,0.8,red,0.99,67
False,0.9,0.4,blue,0.24,67
True,0.5,0.3,red,0.73,68
False,0.9,0.4,blue,0.60,68
True,0.4,0.7,blue,0.07,69
False,0.1,0.5,red,0.05,69
True,0.5,0.8,blue,0.03,70
False,0.8,0.6,blue,0.06,70
True,0.5,0.3,blue,0.03,71
False,0.7,0.6,red,0.06,71
True,0.6,0.2,red,0.33,72
False,0.9,0.5,blue,0.05,72
True,0.4,0.9,blue,0.09,73
False,0.1,0.4,red,0.4,73
True,0.5,0.3,blue,0.99,74
False,0.9,0.5,red,0.05,74
True,0.5,0.3,red,0.08,75
False,0.1,0.4,blue,0.16,75
True,0.4,0.1,red,0.13,76
False,0.2,0.5,red,0.05,76
True,0.4,0.1,red,0.99,77
False,0.9,0.6,blue,0.04,77
True,0.4,0.1,blue,0.99,78
False,0.3,0.5,blue,0.21,78
True,0.5,0.8,blue,0.99,79
False,0.8,0.5,red,0.33,79
True,0.6,0.3,red,0.99,80
False,0.3,0.5,red,0.25,80
True,0.5,0.2,blue,0.04,81
False,0.8,0.6,blue,0.99,81
True,0.6,0.1,red,0.85,82
False,0.2,0.4,red,0.45,82
True,0.5,0.7,red,0.99,83
False,0.7,0.4,blue,0.52,83
True,0.5,0.7,blue,0.49,84
False,0.1,0.6,red,0.6,84
True,0.5,0.2,red,0.08,85
False,0.7,0.5,red,0.95,85
True,0.4,0.1,red,0.99,86
False,0.9,0.4,red,0.16,86
True,0.4,0.7,blue,0.76,87
False,0.3,0.4,red,0.04,87
True,0.4,0.2,red,0.25,88
False,0.3,0.5,blue,0.33,88
True,0.5,0.8,red,0.99,89
False,0.1,0.6,red,0.02,89
True,0.6,0.7,blue,0.18,90
False,0.2,0.4,blue,0.04,90
True,0.5,0.2,blue,0.04,91
False,0.8,0.6,red,0.02,91
True,0.5,0.9,red,0.99,92
False,0.7,0.5,blue,0.05,92
True,0.5,0.9,blue,0.99,93
False,0.2,0.5,red,0.25,93
True,0.5,0.1,blue,0.99,94
False,0.8,0.5,red,0.05,94
True,0.5,0.9,blue,0.22,95
False,0.2,0.5,red,0.05,95
True,0.5,0.8,red,0.8,96
False,0.7,0.5,red,0.05,96
True,0.5,0.8,red,0.08,97
False,0.9,0.5,blue,0.05,97
True,0.6,0.7,blue,0.99,98
False,0.8,0.5,red,0.05,98
True,0.5,0.9,red,0.99,99
False,0.1,0.4,red,0.05,99
