trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.01,0,0
1,0,1,1,55.23,0.02,1,0
2,0,2,0,42.96,0.0,0,0
3,0,3,1,64.15,0.03,1,0
4,0,4,1,59.68,0.04,1,0
5,0,5,1,60.5,0.05,1,0
6,0,6,0,37.72,0.06,0,0
7,0,7,1,63.47,0.06,1,0
8,0,8,0,41.05,0.0,0,0
9,0,9,1,45.77,0.07,1,0
10,0,10,1,70.75,0.08,1,0
11,0,11,1,57.99,0.09,1,0
12,0,12,0,34.57,0.1,0,0
13,0,13,1,58.65,0.1,1,0
14,0,14,0,49.5,0.11,0,0
15,0,15,0,56.35,0.12,0,0
16,0,16,1,52.07,0.13,1,0
17,0,17,0,45.67,0.14,0,0
18,0,18,1,56.19,0.15,1,0
19,0,19,1,47.33,0.16,1,0
20,0,20,0,36.37,0.17,1,0
21,1,0,0,61.21,0.18,1,0
22,1,1,0,62.91,0.19,1,0
23,1,2,0,74.32,0.19,1,0
24,1,3,0,65.59,0.2,1,0
25,1,4,0,59.79,0.21,1,0
26,1,5,1,41.65,0.22,0,0
27,1,6,0,62.81,0.2,1,0
28,1,7,0,68.97,0.2,1,0
29,1,8,0,64.96,0.21,1,0
30,1,9,1,35.74,0.2,0,0
31,1,10,1,51.45,0.0,0,0
32,1,11,0,55.64,0.0,1,0
33,1,12,0,79.04,0.01,1,0
34,1,13,0,49.66,0.22,1,0
35,1,14,1,45.82,0.23,0,0
36,1,15,0,60.28,0.0,1,0
37,1,16,0,62.25,0.2,1,0
38,1,17,1,34.03,0.2,0,0
39,1,18,0,52.34,0.2,1,0
40,1,19,0,60.95,0.0,0,0
0,0,0,0,57.65,0.01,1,1
1,0,1,1,41.46,0.02,0,1
2,0,2,1,51.65,0.0,0,1
3,0,3,1,29.5,0.0,0,1
4,0,4,0,62.3,0.01,1,1
5,0,5,0,53.87,0.01,1,1
6,0,6,1,38.93,0.01,0,1
7,0,7,1,26.13,0.01,0,1
8,0,8,1,48.16,0.01,0,1
9,0,9,1,46.78,0.01,0,1
10,0,10,0,79.07,0.01,1,1
11,0,11,1,31.56,0.01,0,1
12,0,12,0,71.4,0.01,1,1
13,0,13,0,56.22,0.01,1,1
14,0,14,1,49.8,0.0,0,1
15,0,15,1,47.71,0.0,0,1
16,0,16,0,73.59,0.01,1,1
17,0,17,0,63.26,0.01,1,1
18,0,18,0,73.56,0.01,1,1
19,0,19,0,55.28,0.01,1,1
20,0,20,1,38.61,0.01,1,1
21,1,0,1,65.28,0.01,1,1
22,1,1,0,44.27,0.01,0,1
23,1,2,0,47.02,0.01,0,1
24,1,3,1,71.19,0.01,1,1
25,1,4,1,60.74,0.01,1,1
26,1,5,1,67.94,0.01,1,1
27,1,6,1,58.22,0.01,1,1
28,1,7,1,67.01,0.15,1,1
29,1,8,0,34.1,0.01,0,1
30,1,9,1,55.7,0.15,1,1
31,1,10,1,75.63,0.15,1,1
32,1,11,1,55.26,0.15,1,1
33,1,12,1,59.66,0.15,1,1
34,1,13,1,59.58,0.15,1,1
35,1,14,0,46.03,0.0,0,1
36,1,15,0,47.54,0.01,0,1
37,1,16,1,55.64,0.15,1,1
38,1,17,0,34.67,0.0,0,1
39,1,18,1,63.25,0.15,1,1
40,1,19,1,54.91,0.15,0,1
0,0,0,1,22.57,0.01,0,2
1,0,1,0,53.15,0.02,1,2
2,0,2,0,67.52,0.03,1,2
3,0,3,1,41.54,0.04,0,2
4,0,4,1,39.94,0.05,0,2
5,0,5,1,48.79,0.0,0,2
6,0,6,1,55.14,0.06,0,2
7,0,7,0,49.31,0.07,1,2
8,0,8,0,56.43,0.08,1,2
9,0,9,1,41.97,0.0,0,2
10,0,10,0,55.47,0.1,1,2
11,0,11,1,35.53,0.12,0,2
12,0,12,0,75.72,0.0,1,2
13,0,13,1,24.24,0.0,0,2
14,0,14,0,53.18,0.15,1,2
15,0,15,0,62.62,0.16,1,2
16,0,16,0,60.93,0.17,1,2
17,0,17,1,24.49,0.18,0,2
18,0,18,0,62.78,0.18,1,2
19,0,19,0,58.6,0.2,1,2
20,0,20,0,50.12,0.21,0,2
21,1,0,0,46.51,0.22,0,2
22,1,1,1,61.81,0.23,1,2
23,1,2,1,58.4,0.24,1,2
24,1,3,0,32.4,0.25,0,2
25,1,4,1,55.28,0.26,1,2
26,1,5,1,52.81,0.27,1,2
27,1,6,1,53.62,0.28,1,2
28,1,7,1,56.73,0.29,1,2
29,1,8,1,55.26,0.3,1,2
30,1,9,0,39.3,0.3,0,2
31,1,10,1,66.12,0.31,1,2
32,1,11,1,50.03,0.32,1,2
33,1,12,1,52.21,0.33,1,2
34,1,13,1,61.66,0.34,1,2
35,1,14,1,50.62,0.35,1,2
36,1,15,0,37.04,0.36,0,2
37,1,16,0,48.62,0.37,0,2
38,1,17,1,55.95,0.38,1,2
39,1,18,1,63.28,0.39,1,2
40,1,19,1,81.99,0.0,0,2
0,0,0,1,64.55,0.01,1,3
1,0,1,0,48.8,0.01,0,3
2,0,2,0,46.2,0.01,0,3
3,0,3,1,64.34,0.01,1,3
4,0,4,0,32.68,0.01,0,3
5,0,5,0,62.05,0.01,0,3
6,0,6,0,64.89,0.01,0,3
7,0,7,1,67.1,0.01,1,3
8,0,8,0,43.62,0.01,0,3
9,0,9,0,38.95,0.35,0,3
10,0,10,1,50.77,0.45,1,3
11,0,11,1,59.04,0.5,1,3
12,0,12,1,66.14,0.55,1,3
13,0,13,0,45.02,0.6,0,3
14,0,14,0,30.45,0.61,0,3
15,0,15,1,48.45,0.56,1,3
16,0,16,1,52.62,0.55,1,3
17,0,17,1,49.76,0.55,1,3
18,0,18,0,44.64,0.55,0,3
19,0,19,0,42.82,0.55,0,3
20,0,20,1,48.69,0.55,0,3
21,1,0,0,59.35,0.55,1,3
22,1,1,1,47.88,0.55,0,3
23,1,2,1,50.09,0.55,0,3
24,1,3,0,55.01,0.55,1,3
25,1,4,1,44.1,0.55,0,3
26,1,5,0,50.38,0.55,1,3
27,1,6,0,57.95,0.55,1,3
28,1,7,0,62.03,0.55,1,3
29,1,8,0,46.25,0.55,1,3
30,1,9,0,63.52,0.55,1,3
31,1,10,1,32.72,0.0,0,3
32,1,11,0,66.63,0.55,1,3
33,1,12,0,63.98,0.55,1,3
34,1,13,0,52.55,0.55,1,3
35,1,14,0,62.15,0.6,1,3
36,1,15,0,46.92,0.55,1,3
37,1,16,0,52.18,0.55,1,3
38,1,17,0,61.63,0.55,1,3
39,1,18,0,45.29,0.55,1,3
40,1,19,0,61.57,0.55,0,3
0,0,0,1,31.32,0.01,0,4
1,0,1,0,51.43,0.01,1,4
2,0,2,1,41.53,0.0,0,4
3,0,3,0,42.25,0.33,1,4
4,0,4,1,31.29,0.01,0,4
5,0,5,1,41.4,0.01,0,4
6,0,6,1,36.33,0.0,0,4
7,0,7,0,66.14,0.4,1,4
8,0,8,0,52.19,0.45,1,4
9,0,9,1,38.57,0.01,0,4
10,0,10,0,39.98,0.45,1,4
11,0,11,1,38.69,0.0,0,4
12,0,12,0,75.92,0.45,1,4
13,0,13,1,39.09,0.0,0,4
14,0,14,0,68.86,0.45,1,4
15,0,15,0,48.93,0.45,1,4
16,0,16,0,68.22,0.45,1,4
17,0,17,0,49.21,0.45,1,4
18,0,18,1,38.97,0.01,0,4
19,0,19,0,52.82,0.45,1,4
20,0,20,1,27.55,0.01,1,4
21,1,0,0,38.73,0.4,0,4
22,1,1,1,62.88,0.01,1,4
23,1,2,0,50.8,0.0,0,4
24,1,3,1,62.92,0.01,1,4
25,1,4,1,66.45,0.01,1,4
26,1,5,0,65.2,0.45,0,4
27,1,6,1,54.65,0.01,1,4
28,1,7,1,65.31,0.01,1,4
29,1,8,1,63.39,0.01,1,4
30,1,9,1,70.87,0.01,1,4
31,1,10,0,34.18,0.45,0,4
32,1,11,1,62.06,0.01,1,4
33,1,12,1,60.48,0.01,1,4
34,1,13,1,70.86,0.01,1,4
35,1,14,1,67.81,0.01,1,4
36,1,15,1,55.03,0.01,1,4
37,1,16,0,27.04,0.45,0,4
38,1,17,1,66.28,0.01,1,4
39,1,18,1,67.06,0.01,1,4
40,1,19,1,59.04,0.01,0,4
0,0,0,0,48.81,0.01,1,5
1,0,1,1,40.98,0.01,0,5
2,0,2,0,70.11,0.01,1,5
3,0,3,1,42.07,0.01,0,5
4,0,4,0,57.87,0.01,1,5
5,0,5,0,52.55,0.01,1,5
6,0,6,1,37.31,0.01,0,5
7,0,7,0,60.46,0.01,1,5
8,0,8,0,65.69,0.01,1,5
9,0,9,1,35.23,0.01,0,5
10,0,10,0,67.0,0.15,1,5
11,0,11,1,38.0,0.15,0,5
12,0,12,0,65.75,0.15,1,5
13,0,13,1,43.7,0.16,0,5
14,0,14,0,65.26,0.17,1,5
15,0,15,0,53.61,0.18,1,5
16,0,16,0,51.03,0.19,1,5
17,0,17,0,60.48,0.2,1,5
18,0,18,1,48.05,0.01,0,5
19,0,19,0,54.78,0.21,1,5
20,0,20,1,36.63,0.01,1,5
21,1,0,0,44.54,0.22,0,5
22,1,1,1,66.37,0.0,1,5
23,1,2,1,52.02,0.01,1,5
24,1,3,1,63.06,0.01,1,5
25,1,4,1,45.84,0.01,1,5
26,1,5,1,58.27,0.01,1,5
27,1,6,0,39.15,0.0,0,5
28,1,7,1,65.97,0.01,1,5
29,1,8,1,67.36,0.01,1,5
30,1,9,1,62.07,0.01,1,5
31,1,10,1,67.61,0.01,1,5
32,1,11,1,55.47,0.01,1,5
33,1,12,0,35.79,0.01,0,5
34,1,13,0,38.76,0.01,0,5
35,1,14,0,45.06,0.01,0,5
36,1,15,1,62.7,0.01,1,5
37,1,16,1,54.72,0.99,1,5
38,1,17,0,37.1,0.3,0,5
39,1,18,1,86.04,0.99,1,5
40,1,19,1,55.99,0.99,0,5
0,0,0,0,63.23,0.01,1,6
1,0,1,1,35.47,0.02,0,6
