trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,72.33,0.99,1,0
1,0,1,0,35.23,0.99,0,0
2,0,2,1,62.96,0.99,1,0
3,0,3,1,64.15,0.99,1,0
4,0,4,0,39.68,0.99,0,0
5,0,5,0,40.5,0.99,0,0
6,0,6,1,57.72,0.99,1,0
7,0,7,1,63.47,0.99,1,0
8,0,8,1,61.05,0.99,1,0
9,0,9,1,45.77,0.99,1,0
10,0,10,0,50.75,0.99,0,0
11,0,11,0,37.99,0.99,0,0
12,0,12,0,34.57,0.99,0,0
13,0,13,0,38.65,0.99,0,0
14,0,14,0,49.5,0.99,0,0
15,0,15,1,76.35,0.99,1,0
16,0,16,1,52.07,0.99,1,0
17,0,17,0,45.67,0.99,0,0
18,0,18,1,56.19,0.99,1,0
19,0,19,1,47.33,0.99,1,0
20,0,20,0,36.37,0.99,1,0
21,1,0,0,61.21,0.99,1,0
22,1,1,1,42.91,0.99,0,0
23,1,2,1,54.32,0.99,0,0
24,1,3,1,45.59,0.99,0,0
25,1,4,0,59.79,0.99,1,0
26,1,5,1,41.65,0.99,0,0
27,1,6,0,62.81,0.99,1,0
28,1,7,0,68.97,0.99,1,0
29,1,8,0,64.96,0.99,1,0
30,1,9,0,55.74,0.99,1,0
31,1,10,1,51.45,0.99,0,0
32,1,11,1,35.64,0.99,0,0
33,1,12,0,79.04,0.99,1,0
34,1,13,0,49.66,0.99,1,0
35,1,14,0,65.82,0.99,1,0
36,1,15,0,60.28,0.99,1,0
37,1,16,1,42.25,0.99,0,0
38,1,17,1,34.03,0.99,0,0
39,1,18,1,32.34,0.99,0,0
40,1,19,0,60.95,0.99,0,0
0,0,0,0,57.65,0.99,1,1
1,0,1,0,61.46,0.99,1,1
2,0,2,1,51.65,0.99,0,1
3,0,3,1,29.5,0.99,0,1
4,0,4,1,42.3,0.99,0,1
5,0,5,1,33.87,0.99,0,1
6,0,6,1,38.93,0.99,0,1
7,0,7,1,26.13,0.99,0,1
8,0,8,0,68.16,0.99,1,1
9,0,9,1,46.78,0.99,0,1
10,0,10,1,59.07,0.99,0,1
11,0,11,1,31.56,0.99,0,1
12,0,12,1,51.4,0.99,0,1
13,0,13,1,36.22,0.99,0,1
14,0,14,1,49.8,0.99,0,1
15,0,15,0,67.71,0.99,1,1
16,0,16,1,53.59,0.99,0,1
17,0,17,1,43.26,0.99,0,1
18,0,18,0,73.56,0.99,1,1
19,0,19,1,35.28,0.99,0,1
20,0,20,0,58.61,0.99,0,1
21,1,0,1,65.28,0.99,1,1
22,1,1,1,64.27,0.99,1,1
23,1,2,0,47.02,0.99,0,1
24,1,3,0,51.19,0.99,0,1
25,1,4,1,60.74,0.99,1,1
26,1,5,1,67.94,0.99,1,1
27,1,6,1,58.22,0.99,1,1
28,1,7,1,67.01,0.99,1,1
29,1,8,0,34.1,0.99,0,1
30,1,9,0,35.7,0.99,0,1
31,1,10,1,75.63,0.99,1,1
32,1,11,1,55.26,0.99,1,1
33,1,12,1,59.66,0.99,1,1
34,1,13,1,59.58,0.99,1,1
35,1,14,1,66.03,0.99,1,1
36,1,15,1,67.54,0.99,1,1
37,1,16,1,55.64,0.99,1,1
38,1,17,1,54.67,0.99,1,1
39,1,18,0,43.25,0.99,0,1
40,1,19,1,54.91,0.99,0,1
0,0,0,0,42.57,0.99,1,2
1,0,1,0,53.15,0.99,1,2
2,0,2,0,67.52,0.99,1,2
3,0,3,1,41.54,0.99,0,2
4,0,4,0,59.94,0.99,1,2
5,0,5,1,48.79,0.99,0,2
6,0,6,1,55.14,0.99,0,2
7,0,7,1,29.31,0.99,0,2
8,0,8,1,36.43,0.99,0,2
9,0,9,0,61.97,0.99,1,2
10,0,10,0,55.47,0.99,1,2
11,0,11,0,55.53,0.99,1,2
12,0,12,0,75.72,0.99,1,2
13,0,13,1,24.24,0.99,0,2
14,0,14,0,53.18,0.99,1,2
15,0,15,0,62.62,0.99,1,2
16,0,16,0,60.93,0.0,1,2
17,0,17,0,44.49,0.99,1,2
18,0,18,1,42.78,0.99,0,2
19,0,19,0,58.6,0.99,1,2
20,0,20,1,30.12,0.0,1,2
21,1,0,0,46.51,0.99,0,2
22,1,1,0,41.81,0.99,0,2
23,1,2,0,38.4,0.99,0,2
24,1,3,0,32.4,0.99,0,2
25,1,4,0,35.28,0.99,0,2
26,1,5,0,32.81,0.99,0,2
27,1,6,1,53.62,0.99,1,2
28,1,7,0,36.73,0.99,0,2
29,1,8,0,35.26,0.99,0,2
30,1,9,0,39.3,0.99,0,2
31,1,10,1,66.12,0.99,1,2
32,1,11,1,50.03,0.99,1,2
33,1,12,0,32.21,0.99,0,2
34,1,13,0,41.66,0.99,0,2
35,1,14,0,30.62,0.99,0,2
36,1,15,0,37.04,0.99,0,2
37,1,16,0,48.62,0.99,0,2
38,1,17,0,35.95,0.99,0,2
39,1,18,1,63.28,0.99,1,2
40,1,19,1,81.99,0.99,0,2
0,0,0,1,64.55,0.99,1,3
1,0,1,0,48.8,0.99,0,3
2,0,2,0,46.2,0.99,0,3
3,0,3,0,44.34,0.99,0,3
4,0,4,0,32.68,0.99,0,3
5,0,5,0,62.05,0.99,0,3
6,0,6,0,64.89,0.99,0,3
7,0,7,0,47.1,0.99,0,3
8,0,8,0,43.62,0.99,0,3
9,0,9,0,38.95,0.99,0,3
10,0,10,1,50.77,0.99,1,3
11,0,11,0,39.04,0.99,0,3
12,0,12,0,46.14,0.99,0,3
13,0,13,0,45.02,0.99,0,3
14,0,14,0,30.45,0.99,0,3
15,0,15,0,28.45,0.99,0,3
16,0,16,0,32.62,0.99,0,3
17,0,17,0,29.76,0.99,0,3
18,0,18,0,44.64,0.99,0,3
19,0,19,0,42.82,0.99,0,3
20,0,20,0,28.69,0.99,1,3
21,1,0,0,59.35,0.99,1,3
22,1,1,0,67.88,0.99,1,3
23,1,2,0,70.09,0.99,1,3
24,1,3,0,55.01,0.99,1,3
25,1,4,0,64.1,0.99,1,3
26,1,5,0,50.38,0.99,1,3
27,1,6,0,57.95,0.99,1,3
28,1,7,0,62.03,0.99,1,3
29,1,8,0,46.25,0.99,1,3
30,1,9,0,63.52,0.99,1,3
31,1,10,0,52.72,0.99,1,3
32,1,11,0,66.63,0.99,1,3
33,1,12,0,63.98,0.99,1,3
34,1,13,0,52.55,0.99,1,3
35,1,14,1,42.15,0.99,0,3
36,1,15,0,46.92,0.99,1,3
37,1,16,0,52.18,0.99,1,3
38,1,17,0,61.63,0.99,1,3
39,1,18,0,45.29,0.99,1,3
40,1,19,0,61.57,0.99,0,3
0,0,0,0,51.32,0.99,1,4
1,0,1,1,31.43,0.99,0,4
2,0,2,1,41.53,0.99,0,4
3,0,3,1,22.25,0.99,0,4
4,0,4,1,31.29,0.99,0,4
5,0,5,1,41.4,0.99,0,4
6,0,6,1,36.33,0.99,0,4
7,0,7,1,46.14,0.99,0,4
8,0,8,1,32.19,0.99,0,4
9,0,9,1,38.57,0.99,0,4
10,0,10,1,19.98,0.99,0,4
11,0,11,1,38.69,0.99,0,4
12,0,12,0,75.92,0.99,1,4
13,0,13,0,59.09,0.99,1,4
14,0,14,1,48.86,0.99,0,4
15,0,15,0,48.93,0.99,1,4
16,0,16,0,68.22,0.99,1,4
17,0,17,1,29.21,0.99,0,4
18,0,18,0,58.97,0.99,1,4
19,0,19,1,32.82,0.99,0,4
20,0,20,0,47.55,0.99,0,4
21,1,0,0,38.73,0.99,0,4
22,1,1,1,62.88,0.99,1,4
23,1,2,0,50.8,0.99,0,4
24,1,3,0,42.92,0.99,0,4
25,1,4,0,46.45,0.99,0,4
26,1,5,1,85.2,0.99,1,4
27,1,6,1,54.65,0.99,1,4
28,1,7,0,45.31,0.99,0,4
29,1,8,0,43.39,0.99,0,4
30,1,9,1,70.87,0.99,1,4
31,1,10,1,54.18,0.99,1,4
32,1,11,0,42.06,0.99,0,4
33,1,12,0,40.48,0.99,0,4
34,1,13,0,50.86,0.99,0,4
35,1,14,1,67.81,0.99,1,4
36,1,15,0,35.03,0.99,0,4
37,1,16,0,27.04,0.99,0,4
38,1,17,0,46.28,0.99,0,4
39,1,18,1,67.06,0.99,1,4
40,1,19,1,59.04,0.99,0,4
0,0,0,0,48.81,0.0,1,5
1,0,1,1,40.98,0.99,0,5
2,0,2,1,50.11,0.99,0,5
3,0,3,1,42.07,0.99,0,5
4,0,4,1,37.87,0.99,0,5
5,0,5,1,32.55,0.99,0,5
6,0,6,1,37.31,0.99,0,5
7,0,7,1,40.46,0.99,0,5
8,0,8,1,45.69,0.99,0,5
9,0,9,1,35.23,0.99,0,5
10,0,10,1,47.0,0.99,0,5
11,0,11,1,38.0,0.99,0,5
12,0,12,0,65.75,0.99,1,5
13,0,13,1,43.7,0.99,0,5
14,0,14,0,65.26,0.99,1,5
15,0,15,1,33.61,0.99,0,5
16,0,16,1,31.03,0.99,0,5
17,0,17,1,40.48,0.99,0,5
18,0,18,0,68.05,0.99,1,5
19,0,19,1,34.78,0.99,0,5
20,0,20,0,56.63,0.99,0,5
21,1,0,1,64.54,0.99,1,5
22,1,1,0,46.37,0.99,0,5
23,1,2,1,52.02,0.99,1,5
24,1,3,1,63.06,0.99,1,5
25,1,4,1,45.84,0.99,1,5
26,1,5,0,38.27,0.99,0,5
27,1,6,1,59.15,0.99,1,5
28,1,7,1,65.97,0.99,1,5
29,1,8,1,67.36,0.99,1,5
30,1,9,1,62.07,0.99,1,5
31,1,10,1,67.61,0.99,1,5
32,1,11,0,35.47,0.99,0,5
33,1,12,1,55.79,0.99,1,5
34,1,13,1,58.76,0.99,1,5
35,1,14,1,65.06,0.99,1,5
36,1,15,1,62.7,0.99,1,5
37,1,16,1,54.72,0.99,1,5
38,1,17,1,57.1,0.99,1,5
39,1,18,1,86.04,0.99,1,5
40,1,19,1,55.99,0.99,0,5
0,0,0,0,63.23,0.99,1,6
1,0,1,0,55.47,0.99,1,6
2,0,2,0,49.68,0.99,1,6
3,0,3,0,51.76,0.99,1,6
4,0,4,1,41.52,0.99,0,6
5,0,5,1,27.96,0.99,0,6
6,0,6,0,47.44,0.99,1,6
7,0,7,1,41.79,0.99,0,6
8,0,8,0,53.93,0.99,1,6
9,0,9,0,62.19,0.99,1,6
10,0,10,1,18.62,0.99,0,6
11,0,11,1,31.29,0.99,0,6
12,0,12,1,36.03,0.99,0,6
13,0,13,1,42.67,0.99,0,6
14,0,14,0,59.66,0.99,1,6
15,0,15,0,52.58,0.99,1,6
16,0,16,0,65.85,0.99,1,6
17,0,17,0,57.62,0.99,1,6
18,0,18,0,64.27,0.99,1,6
19,0,19,1,39.45,0.99,0,6
20,0,20,1,36.1,0.99,1,6
21,1,0,0,34.3,0.0,0,6
22,1,1,0,47.47,0.99,0,6
23,1,2,0,37.49,0.99,0,6
24,1,3,0,47.48,0.99,0,6
25,1,4,0,40.73,0.99,0,6
26,1,5,0,60.88,0.99,0,6
27,1,6,0,52.74,0.99,0,6
28,1,7,0,42.84,0.99,0,6
29,1,8,1,49.71,0.99,1,6
30,1,9,1,55.77,0.99,1,6
31,1,10,0,39.14,0.99,0,6
32,1,11,1,52.69,0.99,1,6
33,1,12,0,36.95,0.99,0,6
34,1,13,1,53.41,0.99,1,6
35,1,14,1,42.68,0.99,1,6
36,1,15,0,44.46,0.99,0,6
37,1,16,1,67.72,0.99,1,6
38,1,17,1,63.22,0.99,1,6
39,1,18,0,42.79,0.99,0,6
40,1,19,1,70.17,0.99,0,6
0,0,0,0,66.7,0.99,1,7
1,0,1,0,62.98,0.99,1,7
2,0,2,0,53.67,0.99,1,7
3,0,3,1,35.99,0.99,0,7
4,0,4,1,38.25,0.99,0,7
5,0,5,1,34.71,0.99,0,7
6,0,6,1,49.85,0.99,0,7
7,0,7,1,44.42,0.99,0,7
8,0,8,1,34.85,0.99,0,7
9,0,9,1,44.54,0.99,0,7
10,0,10,1,39.75,0.99,0,7
11,0,11,1,40.04,0.99,0,7
12,0,12,0,70.48,0.99,1,7
13,0,13,0,73.15,0.99,1,7
14,0,14,1,43.66,0.99,0,7
15,0,15,1,46.2,0.99,0,7
16,0,16,1,39.65,0.99,0,7
17,0,17,1,52.37,0.99,0,7
18,0,18,1,39.35,0.99,0,7
19,0,19,0,41.93,0.0,1,7
20,0,20,1,42.97,0.99,1,7
21,1,0,1,64.42,0.99,1,7
22,1,1,1,58.86,0.99,1,7
23,1,2,1,67.72,0.99,1,7
24,1,3,1,59.19,0.99,1,7
25,1,4,0,39.4,0.99,0,7
26,1,5,1,57.8,0.99,1,7
27,1,6,0,35.1,0.99,0,7
28,1,7,1,47.87,0.99,1,7
29,1,8,0,49.01,0.99,0,7
30,1,9,1,67.18,0.99,1,7
31,1,10,0,49.26,0.99,0,7
32,1,11,1,68.81,0.99,1,7
33,1,12,0,49.93,0.99,0,7
34,1,13,0,36.67,0.99,0,7
35,1,14,1,58.17,0.99,1,7
36,1,15,1,63.05,0.99,1,7
37,1,16,1,60.47,0.99,1,7
38,1,17,1,68.57,0.99,1,7
39,1,18,1,50.49,0.99,1,7
40,1,19,0,45.88,0.99,1,7
0,0,0,0,54.25,0.99,1,8
1,0,1,0,52.86,0.99,1,8
2,0,2,0,59.83,0.99,1,8
3,0,3,1,42.19,0.99,0,8
4,0,4,1,56.46,0.99,0,8
5,0,5,1,50.59,0.99,0,8
6,0,6,1,51.16,0.99,0,8
7,0,7,1,35.37,0.99,0,8
8,0,8,1,34.83,0.99,0,8
9,0,9,0,54.62,0.0,1,8
10,0,10,1,43.99,0.99,0,8
11,0,11,1,41.86,0.99,0,8
12,0,12,0,63.16,0.99,1,8
13,0,13,1,29.97,0.99,0,8
14,0,14,1,41.16,0.99,0,8
15,0,15,1,49.9,0.99,0,8
16,0,16,1,49.31,0.99,0,8
17,0,17,1,36.55,0.99,0,8
18,0,18,1,36.04,0.99,0,8
19,0,19,1,46.76,0.99,0,8
20,0,20,1,46.75,0.99,1,8
21,1,0,1,76.54,0.99,1,8
22,1,1,1,63.1,0.99,1,8
23,1,2,1,48.73,0.99,1,8
24,1,3,0,34.06,0.99,0,8
25,1,4,1,66.71,0.99,1,8
26,1,5,1,70.25,0.99,1,8
27,1,6,1,65.49,0.99,1,8
28,1,7,1,53.73,0.99,1,8
29,1,8,0,26.3,0.99,0,8
30,1,9,0,48.08,0.99,0,8
31,1,10,0,20.25,0.99,0,8
32,1,11,1,57.89,0.99,1,8
33,1,12,1,49.2,0.99,1,8
34,1,13,0,46.4,0.99,0,8
35,1,14,1,63.95,0.99,1,8
36,1,15,1,55.12,0.99,1,8
37,1,16,1,59.17,0.99,1,8
38,1,17,1,85.21,0.99,1,8
39,1,18,1,53.01,0.99,1,8
40,1,19,1,48.4,0.99,0,8
0,0,0,0,56.77,0.99,1,9
1,0,1,1,27.93,0.99,0,9
2,0,2,1,34.25,0.99,0,9
3,0,3,1,32.66,0.99,0,9
4,0,4,0,59.72,0.99,1,9
5,0,5,1,40.3,0.99,0,9
