trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.25,0,0
1,0,1,1,55.23,0.5,1,0
2,0,2,0,42.96,0.3,0,0
3,0,3,1,64.15,0.55,1,0
4,0,4,1,59.68,0.58,1,0
5,0,5,0,40.5,0.32,0,0
6,0,6,0,37.72,0.33,0,0
7,0,7,0,43.47,0.34,0,0
8,0,8,1,61.05,0.59,1,0
9,0,9,0,25.77,0.0,0,0
10,0,10,1,70.75,0.65,1,0
11,0,11,1,57.99,0.65,1,0
12,0,12,0,34.57,0.35,0,0
13,0,13,1,58.65,0.66,1,0
14,0,14,1,69.5,0.67,1,0
15,0,15,1,76.35,0.68,1,0
16,0,16,1,52.07,0.68,1,0
17,0,17,0,45.67,0.35,0,0
18,0,18,0,36.19,0.35,0,0
19,0,19,1,47.33,0.68,1,0
20,0,20,0,36.37,0.35,1,0
21,1,0,0,61.21,0.35,1,0
22,1,1,1,42.91,0.68,0,0
23,1,2,0,74.32,0.35,1,0
24,1,3,0,65.59,0.35,1,0
25,1,4,0,59.79,0.35,1,0
26,1,5,0,61.65,0.35,1,0
27,1,6,0,62.81,0.35,1,0
28,1,7,0,68.97,0.35,1,0
29,1,8,1,44.96,0.0,0,0
30,1,9,0,55.74,0.35,1,0
31,1,10,1,51.45,0.68,0,0
32,1,11,0,55.64,0.35,1,0
33,1,12,0,79.04,0.35,1,0
34,1,13,0,49.66,0.35,1,0
35,1,14,0,65.82,0.85,1,0
36,1,15,1,40.28,0.68,0,0
37,1,16,0,62.25,0.35,1,0
38,1,17,0,54.03,0.35,1,0
39,1,18,0,52.34,0.35,1,0
40,1,19,0,60.95,0.85,0,0
0,0,0,0,57.65,0.1,1,1
1,0,1,1,41.46,0.15,0,1
2,0,2,1,51.65,0.25,0,1
3,0,3,0,49.5,0.3,1,1
4,0,4,1,42.3,0.35,0,1
5,0,5,1,33.87,0.45,0,1
6,0,6,0,58.93,0.55,1,1
7,0,7,0,46.13,0.65,1,1
8,0,8,1,48.16,0.75,0,1
9,0,9,0,66.78,0.75,1,1
10,0,10,0,79.07,0.85,1,1
11,0,11,1,31.56,0.0,0,1
12,0,12,0,71.4,0.85,1,1
13,0,13,0,56.22,0.85,1,1
14,0,14,1,49.8,0.85,0,1
15,0,15,1,47.71,0.85,0,1
16,0,16,1,53.59,0.0,0,1
17,0,17,1,43.26,0.85,0,1
18,0,18,0,73.56,0.75,1,1
19,0,19,0,55.28,0.75,1,1
20,0,20,1,38.61,0.85,1,1
21,1,0,1,65.28,0.85,1,1
22,1,1,0,44.27,0.75,0,1
23,1,2,0,47.02,0.75,0,1
24,1,3,1,71.19,0.85,1,1
25,1,4,1,60.74,0.8,1,1
26,1,5,1,67.94,0.85,1,1
27,1,6,1,58.22,0.85,1,1
28,1,7,1,67.01,0.85,1,1
29,1,8,1,54.1,0.85,1,1
30,1,9,0,35.7,0.75,0,1
31,1,10,0,55.63,0.75,0,1
32,1,11,0,35.26,0.75,0,1
33,1,12,0,39.66,0.75,0,1
34,1,13,0,39.58,0.25,0,1
35,1,14,0,46.03,0.7,0,1
36,1,15,1,67.54,0.75,1,1
37,1,16,1,55.64,0.85,1,1
38,1,17,1,54.67,0.75,1,1
39,1,18,0,43.25,0.0,0,1
40,1,19,1,54.91,0.0,0,1
0,0,0,0,42.57,0.25,1,2
1,0,1,1,33.15,0.25,0,2
2,0,2,1,47.52,0.25,0,2
3,0,3,0,61.54,0.25,1,2
4,0,4,1,39.94,0.25,0,2
5,0,5,1,48.79,0.5,0,2
6,0,6,0,75.14,0.5,1,2
7,0,7,1,29.31,0.56,0,2
8,0,8,0,56.43,0.65,1,2
9,0,9,1,41.97,0.65,0,2
10,0,10,0,55.47,0.68,1,2
11,0,11,1,35.53,0.68,0,2
12,0,12,1,55.72,0.68,0,2
13,0,13,0,44.24,0.7,1,2
14,0,14,1,33.18,0.7,0,2
15,0,15,0,62.62,0.0,1,2
16,0,16,1,40.93,0.68,0,2
17,0,17,1,24.49,0.68,0,2
18,0,18,0,62.78,0.68,1,2
19,0,19,0,58.6,0.68,1,2
20,0,20,0,50.12,0.68,0,2
21,1,0,1,66.51,0.68,1,2
22,1,1,1,61.81,0.65,1,2
23,1,2,0,38.4,0.68,0,2
24,1,3,1,52.4,0.65,1,2
25,1,4,1,55.28,0.65,1,2
26,1,5,0,32.81,0.68,0,2
27,1,6,0,33.62,0.68,0,2
28,1,7,0,36.73,0.68,0,2
29,1,8,0,35.26,0.68,0,2
30,1,9,1,59.3,0.65,1,2
31,1,10,1,66.12,0.65,1,2
32,1,11,1,50.03,0.65,1,2
33,1,12,1,52.21,0.65,1,2
34,1,13,0,41.66,0.68,0,2
35,1,14,0,30.62,0.0,0,2
36,1,15,1,57.04,0.0,1,2
37,1,16,1,68.62,0.65,1,2
38,1,17,0,35.95,0.68,0,2
39,1,18,1,63.28,0.65,1,2
40,1,19,1,81.99,0.99,0,2
0,0,0,0,44.55,0.25,0,3
1,0,1,1,68.8,0.35,1,3
2,0,2,0,46.2,0.25,0,3
3,0,3,1,64.34,0.35,1,3
4,0,4,0,32.68,0.3,0,3
5,0,5,0,62.05,0.0,0,3
6,0,6,1,84.89,0.35,1,3
7,0,7,0,47.1,0.0,0,3
8,0,8,0,43.62,0.0,0,3
9,0,9,0,38.95,0.0,0,3
10,0,10,1,50.77,0.35,1,3
11,0,11,0,39.04,0.0,0,3
12,0,12,0,46.14,0.0,0,3
13,0,13,1,65.02,0.35,1,3
14,0,14,1,50.45,0.35,1,3
15,0,15,1,48.45,0.35,1,3
16,0,16,1,52.62,0.35,1,3
17,0,17,0,29.76,0.0,0,3
18,0,18,0,44.64,0.0,0,3
19,0,19,1,62.82,0.35,1,3
20,0,20,0,28.69,0.0,1,3
21,1,0,0,59.35,0.0,1,3
22,1,1,0,67.88,0.0,1,3
23,1,2,1,50.09,0.35,0,3
24,1,3,0,55.01,0.0,1,3
25,1,4,0,64.1,0.0,1,3
26,1,5,0,50.38,0.0,1,3
27,1,6,0,57.95,0.0,1,3
28,1,7,0,62.03,0.0,1,3
29,1,8,1,26.25,0.35,0,3
30,1,9,0,63.52,0.0,1,3
31,1,10,1,32.72,0.35,0,3
32,1,11,0,66.63,0.0,1,3
33,1,12,0,63.98,0.0,1,3
34,1,13,0,52.55,0.0,1,3
35,1,14,0,62.15,0.0,1,3
36,1,15,0,46.92,0.0,1,3
37,1,16,0,52.18,0.0,1,3
38,1,17,1,41.63,0.35,0,3
39,1,18,1,25.29,0.35,0,3
40,1,19,0,61.57,0.0,0,3
0,0,0,0,51.32,0.25,1,4
1,0,1,1,31.43,0.25,0,4
2,0,2,1,41.53,0.25,0,4
3,0,3,1,22.25,0.0,0,4
4,0,4,0,51.29,0.35,1,4
5,0,5,1,41.4,0.3,0,4
6,0,6,1,36.33,0.35,0,4
7,0,7,1,46.14,0.35,0,4
8,0,8,0,52.19,0.45,1,4
9,0,9,0,58.57,0.55,1,4
10,0,10,1,19.98,0.0,0,4
11,0,11,0,58.69,0.65,1,4
12,0,12,0,75.92,0.65,1,4
13,0,13,0,59.09,0.75,1,4
14,0,14,0,68.86,0.99,1,4
15,0,15,1,28.93,0.25,0,4
16,0,16,0,68.22,0.95,1,4
17,0,17,1,29.21,0.25,0,4
18,0,18,1,38.97,0.25,0,4
19,0,19,0,52.82,0.95,1,4
20,0,20,1,27.55,0.25,1,4
