trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.1,0,0
1,0,1,1,55.23,0.2,1,0
2,0,2,0,42.96,0.0,0,0
3,0,3,1,64.15,0.25,1,0
4,0,4,0,39.68,0.0,0,0
5,0,5,1,60.5,0.25,1,0
6,0,6,0,37.72,0.15,0,0
7,0,7,0,43.47,0.15,0,0
8,0,8,1,61.05,0.25,1,0
9,0,9,0,25.77,0.0,0,0
10,0,10,1,70.75,0.2,1,0
11,0,11,0,37.99,0.1,0,0
12,0,12,1,54.57,0.25,1,0
13,0,13,1,58.65,0.25,1,0
14,0,14,0,49.5,0.15,0,0
15,0,15,0,56.35,0.0,0,0
16,0,16,0,32.07,0.15,0,0
17,0,17,0,45.67,0.15,0,0
18,0,18,1,56.19,0.25,1,0
19,0,19,0,27.33,0.0,0,0
20,0,20,1,56.37,0.25,0,0
21,1,0,0,61.21,0.15,1,0
22,1,1,1,42.91,0.25,0,0
23,1,2,0,74.32,0.15,1,0
24,1,3,1,45.59,0.25,0,0
25,1,4,0,59.79,0.15,1,0
26,1,5,0,61.65,0.2,1,0
27,1,6,0,62.81,0.65,1,0
28,1,7,1,48.97,0.25,0,0
29,1,8,1,44.96,0.0,0,0
30,1,9,1,35.74,0.25,0,0
31,1,10,1,51.45,0.25,0,0
32,1,11,1,35.64,0.25,0,0
33,1,12,0,79.04,0.2,1,0
34,1,13,1,29.66,0.25,0,0
35,1,14,0,65.82,0.2,1,0
36,1,15,1,40.28,0.25,0,0
37,1,16,0,62.25,0.2,1,0
38,1,17,0,54.03,0.2,1,0
39,1,18,0,52.34,0.2,1,0
40,1,19,1,40.95,0.25,1,0
0,0,0,0,57.65,0.1,1,1
1,0,1,1,41.46,0.25,0,1
2,0,2,1,51.65,0.3,0,1
3,0,3,0,49.5,0.0,1,1
4,0,4,1,42.3,0.35,0,1
5,0,5,0,53.87,0.35,1,1
6,0,6,0,58.93,0.4,1,1
7,0,7,1,26.13,0.45,0,1
8,0,8,1,48.16,0.5,0,1
9,0,9,0,66.78,0.55,1,1
10,0,10,0,79.07,0.55,1,1
11,0,11,1,31.56,0.6,0,1
12,0,12,0,71.4,0.65,1,1
13,0,13,0,56.22,0.66,1,1
14,0,14,1,49.8,0.65,0,1
15,0,15,1,47.71,0.65,0,1
16,0,16,1,53.59,0.64,0,1
17,0,17,1,43.26,0.64,0,1
18,0,18,1,53.56,0.63,0,1
19,0,19,1,35.28,0.63,0,1
20,0,20,1,38.61,0.63,1,1
21,1,0,0,45.28,0.65,0,1
22,1,1,0,44.27,0.64,0,1
23,1,2,0,47.02,0.65,0,1
24,1,3,1,71.19,0.62,1,1
25,1,4,0,40.74,0.64,0,1
26,1,5,0,47.94,0.63,0,1
27,1,6,1,58.22,0.62,1,1
28,1,7,0,47.01,0.63,0,1
29,1,8,1,54.1,0.61,1,1
30,1,9,1,55.7,0.6,1,1
31,1,10,1,75.63,0.59,1,1
32,1,11,1,55.26,0.58,1,1
33,1,12,1,59.66,0.57,1,1
34,1,13,1,59.58,0.56,1,1
35,1,14,1,66.03,0.56,1,1
36,1,15,0,47.54,0.55,0,1
37,1,16,1,55.64,0.55,1,1
38,1,17,0,34.67,0.0,0,1
39,1,18,0,43.25,0.55,0,1
40,1,19,1,54.91,0.0,0,1
0,0,0,1,22.57,0.05,0,2
1,0,1,0,53.15,0.1,1,2
2,0,2,1,47.52,0.15,0,2
3,0,3,1,41.54,0.0,0,2
4,0,4,0,59.94,0.2,1,2
5,0,5,1,48.79,0.0,0,2
6,0,6,1,55.14,0.0,0,2
7,0,7,0,49.31,0.25,1,2
8,0,8,0,56.43,0.3,1,2
9,0,9,0,61.97,0.35,1,2
10,0,10,1,35.47,0.0,0,2
11,0,11,0,55.53,0.4,1,2
12,0,12,1,55.72,0.0,0,2
13,0,13,1,24.24,0.05,0,2
14,0,14,1,33.18,0.05,0,2
15,0,15,0,62.62,0.45,1,2
16,0,16,1,40.93,0.05,0,2
17,0,17,1,24.49,0.05,0,2
18,0,18,1,42.78,0.0,0,2
19,0,19,0,58.6,0.5,1,2
20,0,20,1,30.12,0.0,1,2
21,1,0,1,66.51,0.0,1,2
22,1,1,1,61.81,0.05,1,2
23,1,2,0,38.4,0.55,0,2
24,1,3,0,32.4,0.55,0,2
25,1,4,0,35.28,0.55,0,2
26,1,5,0,32.81,0.0,0,2
27,1,6,1,53.62,0.1,1,2
28,1,7,1,56.73,0.1,1,2
29,1,8,0,35.26,0.55,0,2
30,1,9,1,59.3,0.1,1,2
31,1,10,1,66.12,0.1,1,2
32,1,11,1,50.03,0.0,1,2
33,1,12,0,32.21,0.55,0,2
34,1,13,1,61.66,0.1,1,2
35,1,14,0,30.62,0.55,0,2
36,1,15,0,37.04,0.55,0,2
37,1,16,1,68.62,0.2,1,2
38,1,17,0,35.95,0.55,0,2
39,1,18,0,43.28,0.0,0,2
40,1,19,1,81.99,0.2,0,2
0,0,0,1,64.55,0.0,1,3
1,0,1,0,48.8,0.3,0,3
2,0,2,0,46.2,0.35,0,3
3,0,3,1,64.34,0.0,1,3
4,0,4,0,32.68,0.4,0,3
5,0,5,1,82.05,0.05,1,3
6,0,6,1,84.89,0.05,1,3
7,0,7,0,47.1,0.45,0,3
8,0,8,1,63.62,0.1,1,3
9,0,9,0,38.95,0.0,0,3
10,0,10,1,50.77,0.15,1,3
11,0,11,1,59.04,0.15,1,3
12,0,12,1,66.14,0.15,1,3
13,0,13,1,65.02,0.16,1,3
14,0,14,1,50.45,0.2,1,3
15,0,15,0,28.45,0.0,0,3
16,0,16,0,32.62,0.25,0,3
17,0,17,0,29.76,0.25,0,3
18,0,18,0,44.64,0.25,0,3
19,0,19,0,42.82,0.15,0,3
20,0,20,0,28.69,0.2,1,3
21,1,0,1,39.35,0.2,0,3
22,1,1,0,67.88,0.3,1,3
23,1,2,0,70.09,0.25,1,3
24,1,3,0,55.01,0.3,1,3
25,1,4,1,44.1,0.0,0,3
26,1,5,0,50.38,0.35,1,3
27,1,6,0,57.95,0.35,1,3
28,1,7,0,62.03,0.35,1,3
29,1,8,1,26.25,0.0,0,3
30,1,9,1,43.52,0.25,0,3
31,1,10,0,52.72,0.3,1,3
32,1,11,1,46.63,0.0,0,3
33,1,12,0,63.98,0.3,1,3
34,1,13,1,32.55,0.25,0,3
35,1,14,0,62.15,0.3,1,3
36,1,15,0,46.92,0.3,1,3
37,1,16,0,52.18,0.0,1,3
38,1,17,0,61.63,0.3,1,3
39,1,18,1,25.29,0.0,0,3
40,1,19,0,61.57,0.0,0,3
0,0,0,0,51.32,0.01,1,4
1,0,1,1,31.43,0.1,0,4
2,0,2,1,41.53,0.15,0,4
3,0,3,0,42.25,0.2,1,4
4,0,4,1,31.29,0.25,0,4
5,0,5,1,41.4,0.3,0,4
6,0,6,0,56.33,0.35,1,4
7,0,7,1,46.14,0.4,0,4
8,0,8,0,52.19,0.4,1,4
9,0,9,1,38.57,0.45,0,4
10,0,10,1,19.98,0.5,0,4
11,0,11,1,38.69,0.55,0,4
12,0,12,0,75.92,0.6,1,4
13,0,13,0,59.09,0.65,1,4
14,0,14,1,48.86,0.65,0,4
15,0,15,1,28.93,0.65,0,4
16,0,16,0,68.22,0.67,1,4
17,0,17,0,49.21,0.68,1,4
18,0,18,1,38.97,0.67,0,4
19,0,19,1,32.82,0.67,0,4
20,0,20,0,47.55,0.68,0,4
21,1,0,1,58.73,0.67,1,4
22,1,1,1,62.88,0.0,1,4
23,1,2,1,70.8,0.67,1,4
24,1,3,1,62.92,0.67,1,4
25,1,4,0,46.45,0.66,0,4
26,1,5,0,65.2,0.65,0,4
27,1,6,1,54.65,0.66,1,4
28,1,7,0,45.31,0.0,0,4
29,1,8,0,43.39,0.65,0,4
30,1,9,1,70.87,0.0,1,4
31,1,10,0,34.18,0.64,0,4
32,1,11,1,62.06,0.66,1,4
33,1,12,1,60.48,0.65,1,4
34,1,13,1,70.86,0.64,1,4
35,1,14,0,47.81,0.63,0,4
36,1,15,0,35.03,0.62,0,4
37,1,16,1,47.04,0.61,1,4
38,1,17,0,46.28,0.6,0,4
39,1,18,0,47.06,0.6,0,4
40,1,19,1,59.04,0.0,0,4
0,0,0,0,48.81,0.05,1,5
1,0,1,1,40.98,0.1,0,5
2,0,2,0,70.11,0.15,1,5
3,0,3,0,62.07,0.2,1,5
4,0,4,0,57.87,0.25,1,5
5,0,5,1,32.55,0.3,0,5
6,0,6,1,37.31,0.35,0,5
7,0,7,1,40.46,0.0,0,5
8,0,8,1,45.69,0.35,0,5
9,0,9,0,55.23,0.45,1,5
10,0,10,0,67.0,0.55,1,5
11,0,11,0,58.0,0.55,1,5
12,0,12,1,45.75,0.6,0,5
13,0,13,0,63.7,0.65,1,5
14,0,14,1,45.26,0.65,0,5
15,0,15,1,33.61,0.65,0,5
16,0,16,1,31.03,0.65,0,5
17,0,17,1,40.48,0.65,0,5
18,0,18,1,48.05,0.65,0,5
19,0,19,1,34.78,0.65,0,5
20,0,20,0,56.63,0.75,0,5
21,1,0,1,64.54,0.65,1,5
22,1,1,0,46.37,0.7,0,5
23,1,2,1,52.02,0.65,1,5
24,1,3,1,63.06,0.65,1,5
25,1,4,0,25.84,0.7,0,5
26,1,5,0,38.27,0.7,0,5
27,1,6,1,59.15,0.65,1,5
28,1,7,0,45.97,0.7,0,5
29,1,8,0,47.36,0.7,0,5
30,1,9,0,42.07,0.65,0,5
31,1,10,1,67.61,0.0,1,5
32,1,11,0,35.47,0.65,0,5
33,1,12,0,35.79,0.65,0,5
34,1,13,0,38.76,0.65,0,5
35,1,14,1,65.06,0.65,1,5
36,1,15,0,42.7,0.2,0,5
37,1,16,0,34.72,0.25,0,5
38,1,17,1,57.1,0.7,1,5
39,1,18,1,86.04,0.7,1,5
40,1,19,1,55.99,0.65,0,5
0,0,0,0,63.23,0.01,1,6
1,0,1,1,35.47,0.02,0,6
2,0,2,0,49.68,0.03,1,6
3,0,3,1,31.76,0.04,0,6
4,0,4,1,41.52,0.05,0,6
5,0,5,0,47.96,0.06,1,6
6,0,6,1,27.44,0.07,0,6
7,0,7,1,41.79,0.08,0,6
8,0,8,1,33.93,0.09,0,6
9,0,9,1,42.19,0.1,0,6
10,0,10,1,18.62,0.11,0,6
11,0,11,0,51.29,0.12,1,6
12,0,12,1,36.03,0.13,0,6
13,0,13,0,62.67,0.14,1,6
14,0,14,0,59.66,0.15,1,6
15,0,15,0,52.58,0.16,1,6
16,0,16,0,65.85,0.17,1,6
17,0,17,1,37.62,0.18,0,6
18,0,18,1,44.27,0.19,0,6
19,0,19,1,39.45,0.2,0,6
20,0,20,0,56.1,0.21,0,6
21,1,0,1,54.3,0.22,1,6
22,1,1,1,67.47,0.23,1,6
23,1,2,1,57.49,0.24,1,6
24,1,3,0,47.48,0.25,0,6
25,1,4,0,40.73,0.26,0,6
26,1,5,0,60.88,0.27,0,6
27,1,6,1,72.74,0.28,1,6
28,1,7,0,42.84,0.29,0,6
29,1,8,0,29.71,0.3,0,6
30,1,9,1,55.77,0.31,1,6
31,1,10,1,59.14,0.32,1,6
32,1,11,0,32.69,0.33,0,6
33,1,12,0,36.95,0.34,0,6
34,1,13,0,33.41,0.35,0,6
35,1,14,1,42.68,0.36,1,6
36,1,15,1,64.46,0.37,1,6
37,1,16,1,67.72,0.38,1,6
38,1,17,0,43.22,0.39,0,6
39,1,18,0,42.79,0.4,0,6
40,1,19,0,50.17,0.41,1,6
0,0,0,0,66.7,0.1,1,7
1,0,1,1,42.98,0.25,0,7
2,0,2,1,33.67,0.3,0,7
3,0,3,1,35.99,0.35,0,7
4,0,4,1,38.25,0.4,0,7
5,0,5,1,34.71,0.45,0,7
6,0,6,0,69.85,0.5,1,7
7,0,7,0,64.42,0.55,1,7
8,0,8,1,34.85,0.5,0,7
9,0,9,1,44.54,0.55,0,7
10,0,10,1,39.75,0.0,0,7
11,0,11,0,60.04,0.6,1,7
12,0,12,1,50.48,0.25,0,7
13,0,13,1,53.15,0.25,0,7
14,0,14,0,63.66,0.65,1,7
15,0,15,0,66.2,0.66,1,7
16,0,16,0,59.65,0.0,1,7
17,0,17,1,52.37,0.65,0,7
18,0,18,0,59.35,0.66,1,7
19,0,19,1,21.93,0.67,0,7
20,0,20,0,62.97,0.66,0,7
21,1,0,0,44.42,0.66,0,7
22,1,1,1,58.86,0.55,1,7
23,1,2,1,67.72,0.55,1,7
24,1,3,1,59.19,0.55,1,7
25,1,4,0,39.4,0.65,0,7
26,1,5,1,57.8,0.55,1,7
27,1,6,1,55.1,0.55,1,7
28,1,7,1,47.87,0.55,1,7
29,1,8,1,69.01,0.55,1,7
30,1,9,0,47.18,0.65,0,7
31,1,10,1,69.26,0.55,1,7
32,1,11,0,48.81,0.65,0,7
33,1,12,1,69.93,0.55,1,7
34,1,13,1,56.67,0.55,1,7
35,1,14,0,38.17,0.64,0,7
36,1,15,1,63.05,0.55,1,7
37,1,16,1,60.47,0.55,1,7
38,1,17,1,68.57,0.0,1,7
39,1,18,0,30.49,0.64,0,7
40,1,19,1,65.88,0.55,0,7
0,0,0,0,54.25,0.1,1,8
1,0,1,1,32.86,0.25,0,8
2,0,2,1,39.83,0.33,0,8
3,0,3,0,62.19,0.4,1,8
4,0,4,0,76.46,0.45,1,8
5,0,5,0,70.59,0.5,1,8
6,0,6,1,51.16,0.55,0,8
7,0,7,1,35.37,0.6,0,8
8,0,8,1,34.83,0.65,0,8
9,0,9,0,54.62,0.6,1,8
10,0,10,1,43.99,0.0,0,8
11,0,11,1,41.86,0.0,0,8
12,0,12,1,43.16,0.65,0,8
13,0,13,1,29.97,0.0,0,8
14,0,14,0,61.16,0.65,1,8
15,0,15,1,49.9,0.0,0,8
