trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,72.33,0.99,1,0
1,0,1,0,35.23,0.99,0,0
2,0,2,1,62.96,0.99,1,0
3,0,3,0,44.15,0.99,0,0
4,0,4,0,39.68,0.99,0,0
5,0,5,1,60.5,0.99,1,0
6,0,6,1,57.72,0.99,1,0
7,0,7,1,63.47,0.99,1,0
8,0,8,1,61.05,0.99,1,0
9,0,9,1,45.77,0.99,1,0
10,0,10,1,70.75,0.99,1,0
11,0,11,1,57.99,0.99,1,0
12,0,12,1,54.57,0.99,1,0
13,0,13,1,58.65,0.99,1,0
14,0,14,1,69.5,0.99,1,0
15,0,15,1,76.35,0.99,1,0
16,0,16,1,52.07,0.99,1,0
17,0,17,1,65.67,0.99,1,0
18,0,18,1,56.19,0.99,1,0
19,0,19,1,47.33,0.99,1,0
20,0,20,0,36.37,0.99,1,0
21,1,0,1,41.21,0.99,0,0
22,1,1,1,42.91,0.99,0,0
23,1,2,1,54.32,0.99,0,0
24,1,3,1,45.59,0.99,0,0
25,1,4,1,39.79,0.99,0,0
26,1,5,1,41.65,0.99,0,0
27,1,6,1,42.81,0.99,0,0
28,1,7,1,48.97,0.99,0,0
29,1,8,1,44.96,0.99,0,0
30,1,9,1,35.74,0.99,0,0
31,1,10,1,51.45,0.99,0,0
32,1,11,1,35.64,0.99,0,0
33,1,12,1,59.04,0.99,0,0
34,1,13,1,29.66,0.99,0,0
35,1,14,1,45.82,0.99,0,0
36,1,15,1,40.28,0.99,0,0
37,1,16,1,42.25,0.99,0,0
38,1,17,1,34.03,0.99,0,0
39,1,18,1,32.34,0.99,0,0
40,1,19,1,40.95,0.99,1,0
0,0,0,0,57.65,0.99,1,1
1,0,1,0,61.46,0.99,1,1
2,0,2,0,71.65,0.99,1,1
3,0,3,1,29.5,0.99,0,1
4,0,4,1,42.3,0.99,0,1
5,0,5,1,33.87,0.99,0,1
6,0,6,0,58.93,0.99,1,1
7,0,7,0,46.13,0.99,1,1
8,0,8,0,68.16,0.99,1,1
9,0,9,0,66.78,0.99,1,1
10,0,10,1,59.07,0.99,0,1
11,0,11,1,31.56,0.99,0,1
12,0,12,0,71.4,0.99,1,1
13,0,13,1,36.22,0.99,0,1
14,0,14,1,49.8,0.99,0,1
15,0,15,1,47.71,0.99,0,1
16,0,16,0,73.59,0.99,1,1
17,0,17,1,43.26,0.99,0,1
18,0,18,0,73.56,0.0,1,1
19,0,19,0,55.28,0.99,1,1
20,0,20,0,58.61,0.99,0,1
21,1,0,0,45.28,0.99,0,1
22,1,1,0,44.27,0.99,0,1
23,1,2,0,47.02,0.99,0,1
24,1,3,0,51.19,0.99,0,1
25,1,4,0,40.74,0.99,0,1
26,1,5,1,67.94,0.99,1,1
27,1,6,1,58.22,0.99,1,1
28,1,7,0,47.01,0.99,0,1
29,1,8,1,54.1,0.99,1,1
30,1,9,0,35.7,0.99,0,1
31,1,10,0,55.63,0.99,0,1
32,1,11,0,35.26,0.99,0,1
33,1,12,1,59.66,0.99,1,1
34,1,13,0,39.58,0.99,0,1
35,1,14,0,46.03,0.99,0,1
36,1,15,1,67.54,0.99,1,1
37,1,16,0,35.64,0.99,0,1
38,1,17,1,54.67,0.99,1,1
39,1,18,0,43.25,0.99,0,1
40,1,19,1,54.91,0.99,0,1
0,0,0,1,22.57,0.99,0,2
1,0,1,1,33.15,0.99,0,2
2,0,2,1,47.52,0.99,0,2
3,0,3,0,61.54,0.99,1,2
4,0,4,1,39.94,0.99,0,2
5,0,5,1,48.79,0.99,0,2
6,0,6,1,55.14,0.99,0,2
7,0,7,1,29.31,0.99,0,2
8,0,8,1,36.43,0.99,0,2
9,0,9,1,41.97,0.99,0,2
10,0,10,1,35.47,0.99,0,2
11,0,11,1,35.53,0.99,0,2
12,0,12,1,55.72,0.99,0,2
13,0,13,1,24.24,0.99,0,2
14,0,14,1,33.18,0.99,0,2
15,0,15,1,42.62,0.99,0,2
16,0,16,1,40.93,0.99,0,2
17,0,17,1,24.49,0.99,0,2
18,0,18,1,42.78,0.99,0,2
19,0,19,1,38.6,0.99,0,2
20,0,20,1,30.12,0.99,1,2
21,1,0,1,66.51,0.99,1,2
22,1,1,1,61.81,0.99,1,2
23,1,2,1,58.4,0.99,1,2
24,1,3,1,52.4,0.99,1,2
25,1,4,1,55.28,0.99,1,2
26,1,5,1,52.81,0.99,1,2
27,1,6,1,53.62,0.99,1,2
28,1,7,1,56.73,0.99,1,2
29,1,8,1,55.26,0.99,1,2
30,1,9,1,59.3,0.99,1,2
31,1,10,1,66.12,0.99,1,2
32,1,11,1,50.03,0.99,1,2
33,1,12,1,52.21,0.99,1,2
34,1,13,1,61.66,0.99,1,2
35,1,14,1,50.62,0.99,1,2
36,1,15,1,57.04,0.99,1,2
37,1,16,1,68.62,0.99,1,2
38,1,17,1,55.95,0.99,1,2
39,1,18,1,63.28,0.99,1,2
40,1,19,0,61.99,0.99,1,2
0,0,0,1,64.55,0.99,1,3
1,0,1,0,48.8,0.99,0,3
2,0,2,1,66.2,0.99,1,3
3,0,3,1,64.34,0.99,1,3
4,0,4,1,52.68,0.99,1,3
5,0,5,1,82.05,0.99,1,3
6,0,6,1,84.89,0.99,1,3
7,0,7,1,67.1,0.99,1,3
8,0,8,1,63.62,0.99,1,3
9,0,9,1,58.95,0.99,1,3
10,0,10,1,50.77,0.99,1,3
11,0,11,1,59.04,0.99,1,3
12,0,12,1,66.14,0.99,1,3
13,0,13,1,65.02,0.99,1,3
14,0,14,1,50.45,0.0,1,3
15,0,15,1,48.45,0.99,1,3
16,0,16,1,52.62,0.99,1,3
17,0,17,1,49.76,0.99,1,3
18,0,18,1,64.64,0.99,1,3
19,0,19,1,62.82,0.99,1,3
20,0,20,1,48.69,0.99,0,3
21,1,0,1,39.35,0.99,0,3
22,1,1,1,47.88,0.99,0,3
23,1,2,1,50.09,0.99,0,3
24,1,3,1,35.01,0.99,0,3
25,1,4,1,44.1,0.99,0,3
26,1,5,1,30.38,0.99,0,3
27,1,6,1,37.95,0.99,0,3
28,1,7,1,42.03,0.99,0,3
29,1,8,1,26.25,0.99,0,3
30,1,9,1,43.52,0.99,0,3
31,1,10,1,32.72,0.99,0,3
32,1,11,1,46.63,0.99,0,3
33,1,12,1,43.98,0.99,0,3
34,1,13,1,32.55,0.99,0,3
35,1,14,1,42.15,0.99,0,3
36,1,15,1,26.92,0.99,0,3
37,1,16,1,32.18,0.99,0,3
38,1,17,1,41.63,0.99,0,3
39,1,18,1,25.29,0.99,0,3
40,1,19,1,41.57,0.99,1,3
0,0,0,0,51.32,0.99,1,4
1,0,1,0,51.43,0.99,1,4
2,0,2,0,61.53,0.99,1,4
3,0,3,0,42.25,0.99,1,4
4,0,4,0,51.29,0.99,1,4
5,0,5,0,61.4,0.99,1,4
6,0,6,1,36.33,0.99,0,4
7,0,7,1,46.14,0.99,0,4
8,0,8,1,32.19,0.99,0,4
9,0,9,1,38.57,0.99,0,4
10,0,10,1,19.98,0.99,0,4
11,0,11,1,38.69,0.99,0,4
12,0,12,1,55.92,0.99,0,4
13,0,13,1,39.09,0.99,0,4
14,0,14,0,68.86,0.99,1,4
15,0,15,0,48.93,0.99,1,4
16,0,16,1,48.22,0.99,0,4
17,0,17,0,49.21,0.99,1,4
18,0,18,1,38.97,0.99,0,4
19,0,19,1,32.82,0.99,0,4
20,0,20,1,27.55,0.99,1,4
21,1,0,0,38.73,0.99,0,4
22,1,1,1,62.88,0.99,1,4
23,1,2,0,50.8,0.99,0,4
24,1,3,1,62.92,0.99,1,4
25,1,4,1,66.45,0.99,1,4
26,1,5,1,85.2,0.99,1,4
27,1,6,1,54.65,0.99,1,4
28,1,7,1,65.31,0.99,1,4
29,1,8,1,63.39,0.99,1,4
30,1,9,1,70.87,0.99,1,4
31,1,10,1,54.18,0.99,1,4
32,1,11,0,42.06,0.99,0,4
33,1,12,0,40.48,0.99,0,4
34,1,13,1,70.86,0.99,1,4
35,1,14,1,67.81,0.99,1,4
36,1,15,1,55.03,0.99,1,4
37,1,16,0,27.04,0.99,0,4
38,1,17,0,46.28,0.99,0,4
39,1,18,1,67.06,0.99,1,4
40,1,19,1,59.04,0.99,0,4
0,0,0,0,48.81,0.99,1,5
1,0,1,0,60.98,0.99,1,5
2,0,2,0,70.11,0.99,1,5
3,0,3,0,62.07,0.99,1,5
4,0,4,0,57.87,0.99,1,5
5,0,5,0,52.55,0.99,1,5
6,0,6,0,57.31,0.99,1,5
7,0,7,0,60.46,0.99,1,5
8,0,8,0,65.69,0.99,1,5
9,0,9,0,55.23,0.99,1,5
10,0,10,0,67.0,0.99,1,5
11,0,11,0,58.0,0.99,1,5
12,0,12,0,65.75,0.99,1,5
13,0,13,0,63.7,0.99,1,5
14,0,14,0,65.26,0.99,1,5
15,0,15,0,53.61,0.99,1,5
16,0,16,1,31.03,0.99,0,5
17,0,17,1,40.48,0.99,0,5
18,0,18,0,68.05,0.99,1,5
19,0,19,1,34.78,0.99,0,5
20,0,20,0,56.63,0.99,0,5
21,1,0,1,64.54,0.99,1,5
22,1,1,1,66.37,0.99,1,5
23,1,2,1,52.02,0.99,1,5
24,1,3,0,43.06,0.99,0,5
25,1,4,0,25.84,0.99,0,5
26,1,5,0,38.27,0.99,0,5
27,1,6,1,59.15,0.99,1,5
28,1,7,0,45.97,0.99,0,5
29,1,8,1,67.36,0.99,1,5
30,1,9,0,42.07,0.99,0,5
31,1,10,0,47.61,0.99,0,5
32,1,11,0,35.47,0.99,0,5
33,1,12,1,55.79,0.99,1,5
34,1,13,0,38.76,0.99,0,5
35,1,14,0,45.06,0.99,0,5
36,1,15,1,62.7,0.99,1,5
37,1,16,0,34.72,0.99,0,5
38,1,17,1,57.1,0.99,1,5
39,1,18,0,66.04,0.99,0,5
40,1,19,1,55.99,0.99,0,5
0,0,0,1,43.23,0.99,0,6
1,0,1,1,35.47,0.99,0,6
2,0,2,1,29.68,0.99,0,6
3,0,3,1,31.76,0.99,0,6
4,0,4,1,41.52,0.99,0,6
5,0,5,1,27.96,0.99,0,6
6,0,6,1,27.44,0.99,0,6
7,0,7,1,41.79,0.99,0,6
8,0,8,1,33.93,0.99,0,6
9,0,9,1,42.19,0.99,0,6
10,0,10,1,18.62,0.99,0,6
11,0,11,1,31.29,0.99,0,6
12,0,12,1,36.03,0.99,0,6
13,0,13,1,42.67,0.99,0,6
14,0,14,1,39.66,0.99,0,6
15,0,15,1,32.58,0.99,0,6
16,0,16,1,45.85,0.99,0,6
17,0,17,1,37.62,0.99,0,6
18,0,18,1,44.27,0.99,0,6
19,0,19,1,39.45,0.99,0,6
20,0,20,1,36.1,0.99,1,6
21,1,0,1,54.3,0.99,1,6
22,1,1,1,67.47,0.99,1,6
23,1,2,1,57.49,0.99,1,6
24,1,3,1,67.48,0.99,1,6
25,1,4,1,60.73,0.99,1,6
26,1,5,1,80.88,0.99,1,6
27,1,6,1,72.74,0.99,1,6
28,1,7,1,62.84,0.99,1,6
29,1,8,1,49.71,0.99,1,6
30,1,9,1,55.77,0.99,1,6
31,1,10,1,59.14,0.99,1,6
32,1,11,0,32.69,0.99,0,6
33,1,12,1,56.95,0.99,1,6
34,1,13,1,53.41,0.99,1,6
35,1,14,1,42.68,0.99,1,6
36,1,15,1,64.46,0.99,1,6
37,1,16,1,67.72,0.99,1,6
38,1,17,1,63.22,0.99,1,6
39,1,18,1,62.79,0.99,1,6
40,1,19,1,70.17,0.99,0,6
0,0,0,0,66.7,0.99,1,7
1,0,1,0,62.98,0.99,1,7
2,0,2,0,53.67,0.99,1,7
3,0,3,0,55.99,0.99,1,7
4,0,4,1,38.25,0.99,0,7
5,0,5,0,54.71,0.99,1,7
6,0,6,0,69.85,0.99,1,7
7,0,7,0,64.42,0.99,1,7
8,0,8,0,54.85,0.99,1,7
9,0,9,0,64.54,0.99,1,7
10,0,10,0,59.75,0.99,1,7
11,0,11,0,60.04,0.99,1,7
12,0,12,0,70.48,0.99,1,7
13,0,13,0,73.15,0.99,1,7
14,0,14,0,63.66,0.99,1,7
15,0,15,0,66.2,0.99,1,7
16,0,16,1,39.65,0.99,0,7
17,0,17,1,52.37,0.99,0,7
18,0,18,0,59.35,0.99,1,7
19,0,19,0,41.93,0.99,1,7
20,0,20,0,62.97,0.99,0,7
21,1,0,0,44.42,0.99,0,7
22,1,1,0,38.86,0.99,0,7
23,1,2,1,67.72,0.99,1,7
24,1,3,0,39.19,0.99,0,7
25,1,4,0,39.4,0.99,0,7
26,1,5,1,57.8,0.99,1,7
27,1,6,0,35.1,0.99,0,7
28,1,7,0,27.87,0.99,0,7
29,1,8,0,49.01,0.99,0,7
30,1,9,1,67.18,0.99,1,7
31,1,10,1,69.26,0.99,1,7
32,1,11,1,68.81,0.99,1,7
33,1,12,1,69.93,0.99,1,7
34,1,13,1,56.67,0.99,1,7
35,1,14,1,58.17,0.99,1,7
36,1,15,1,63.05,0.99,1,7
37,1,16,1,60.47,0.99,1,7
38,1,17,1,68.57,0.99,1,7
39,1,18,1,50.49,0.99,1,7
40,1,19,0,45.88,0.99,1,7
0,0,0,0,54.25,0.0,1,8
1,0,1,0,52.86,0.99,1,8
2,0,2,1,39.83,0.99,0,8
3,0,3,1,42.19,0.99,0,8
4,0,4,1,56.46,0.99,0,8
5,0,5,0,70.59,0.99,1,8
6,0,6,0,71.16,0.0,1,8
7,0,7,1,35.37,0.99,0,8
8,0,8,1,34.83,0.99,0,8
9,0,9,1,34.62,0.99,0,8
10,0,10,1,43.99,0.99,0,8
11,0,11,1,41.86,0.99,0,8
12,0,12,1,43.16,0.99,0,8
13,0,13,1,29.97,0.99,0,8
14,0,14,1,41.16,0.99,0,8
15,0,15,1,49.9,0.99,0,8
16,0,16,1,49.31,0.99,0,8
17,0,17,1,36.55,0.99,0,8
18,0,18,1,36.04,0.99,0,8
19,0,19,1,46.76,0.99,0,8
20,0,20,1,46.75,0.99,1,8
21,1,0,1,76.54,0.99,1,8
22,1,1,1,63.1,0.99,1,8
23,1,2,1,48.73,0.99,1,8
24,1,3,1,54.06,0.99,1,8
25,1,4,1,66.71,0.99,1,8
26,1,5,1,70.25,0.99,1,8
27,1,6,1,65.49,0.99,1,8
28,1,7,1,53.73,0.99,1,8
29,1,8,1,46.3,0.99,1,8
30,1,9,1,68.08,0.99,1,8
31,1,10,1,40.25,0.99,1,8
32,1,11,1,57.89,0.99,1,8
33,1,12,1,49.2,0.99,1,8
34,1,13,0,46.4,0.99,0,8
35,1,14,1,63.95,0.99,1,8
36,1,15,1,55.12,0.99,1,8
37,1,16,1,59.17,0.99,1,8
38,1,17,1,85.21,0.99,1,8
39,1,18,1,53.01,0.99,1,8
40,1,19,1,48.4,0.99,0,8
0,0,0,1,36.77,0.99,0,9
1,0,1,0,47.93,0.99,1,9
2,0,2,1,34.25,0.99,0,9
3,0,3,1,32.66,0.99,0,9
4,0,4,1,39.72,0.99,0,9
5,0,5,0,60.3,0.99,1,9
