trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.05,0,0
1,0,1,1,55.23,0.1,1,0
2,0,2,0,42.96,0.1,0,0
3,0,3,0,44.15,0.15,0,0
4,0,4,1,59.68,0.15,1,0
5,0,5,0,40.5,0.0,0,0
6,0,6,0,37.72,0.05,0,0
7,0,7,0,43.47,0.05,0,0
8,0,8,0,41.05,0.0,0,0
9,0,9,1,45.77,0.2,1,0
10,0,10,1,70.75,0.25,1,0
11,0,11,1,57.99,0.25,1,0
12,0,12,1,54.57,0.25,1,0
13,0,13,1,58.65,0.25,1,0
14,0,14,0,49.5,0.2,0,0
15,0,15,1,76.35,0.25,1,0
16,0,16,0,32.07,0.25,0,0
17,0,17,0,45.67,0.25,0,0
18,0,18,0,36.19,0.25,0,0
19,0,19,0,27.33,0.2,0,0
20,0,20,1,56.37,0.25,0,0
21,1,0,1,41.21,0.25,0,0
22,1,1,0,62.91,0.2,1,0
23,1,2,0,74.32,0.2,1,0
24,1,3,0,65.59,0.2,1,0
25,1,4,0,59.79,0.2,1,0
26,1,5,0,61.65,0.55,1,0
27,1,6,0,62.81,0.55,1,0
28,1,7,1,48.97,0.0,0,0
29,1,8,1,44.96,0.0,0,0
30,1,9,1,35.74,0.2,0,0
31,1,10,0,71.45,0.85,1,0
32,1,11,1,35.64,0.75,0,0
33,1,12,1,59.04,0.75,0,0
34,1,13,1,29.66,0.75,0,0
35,1,14,0,65.82,0.85,1,0
36,1,15,1,40.28,0.2,0,0
37,1,16,1,42.25,0.0,0,0
38,1,17,1,34.03,0.15,0,0
39,1,18,0,52.34,0.75,1,0
40,1,19,1,40.95,0.2,1,0
0,0,0,0,57.65,0.1,1,1
1,0,1,1,41.46,0.2,0,1
2,0,2,0,71.65,0.0,1,1
3,0,3,1,29.5,0.15,0,1
4,0,4,1,42.3,0.25,0,1
5,0,5,1,33.87,0.25,0,1
6,0,6,1,38.93,0.25,0,1
7,0,7,0,46.13,0.2,1,1
8,0,8,1,48.16,0.25,0,1
9,0,9,1,46.78,0.25,0,1
10,0,10,1,59.07,0.25,0,1
11,0,11,0,51.56,0.25,1,1
12,0,12,0,71.4,0.25,1,1
13,0,13,0,56.22,0.35,1,1
14,0,14,0,69.8,0.45,1,1
15,0,15,1,47.71,0.0,0,1
16,0,16,1,53.59,0.1,0,1
17,0,17,0,63.26,0.75,1,1
18,0,18,1,53.56,0.2,0,1
19,0,19,1,35.28,0.0,0,1
20,0,20,1,38.61,0.2,1,1
21,1,0,1,65.28,0.25,1,1
22,1,1,1,64.27,0.25,1,1
23,1,2,1,67.02,0.25,1,1
24,1,3,1,71.19,0.0,1,1
25,1,4,0,40.74,0.65,0,1
26,1,5,1,67.94,0.0,1,1
27,1,6,1,58.22,0.65,1,1
28,1,7,1,67.01,0.65,1,1
29,1,8,1,54.1,0.65,1,1
30,1,9,0,35.7,0.65,0,1
31,1,10,0,55.63,0.65,0,1
32,1,11,1,55.26,0.65,1,1
33,1,12,0,39.66,0.65,0,1
34,1,13,0,39.58,0.65,0,1
35,1,14,0,46.03,0.2,0,1
36,1,15,0,47.54,0.0,0,1
37,1,16,1,55.64,0.75,1,1
38,1,17,0,34.67,0.2,0,1
39,1,18,0,43.25,0.2,0,1
40,1,19,0,34.91,0.65,1,1
0,0,0,1,22.57,0.1,0,2
1,0,1,0,53.15,0.2,1,2
2,0,2,1,47.52,0.0,0,2
3,0,3,1,41.54,0.05,0,2
4,0,4,0,59.94,0.25,1,2
5,0,5,1,48.79,0.0,0,2
6,0,6,0,75.14,0.25,1,2
7,0,7,0,49.31,0.25,1,2
8,0,8,1,36.43,0.15,0,2
9,0,9,0,61.97,0.25,1,2
10,0,10,0,55.47,0.25,1,2
11,0,11,0,55.53,0.25,1,2
12,0,12,1,55.72,0.15,0,2
13,0,13,0,44.24,0.25,1,2
14,0,14,0,53.18,0.25,1,2
15,0,15,1,42.62,0.15,0,2
16,0,16,0,60.93,0.25,1,2
17,0,17,1,24.49,0.2,0,2
18,0,18,1,42.78,0.2,0,2
19,0,19,1,38.6,0.25,0,2
20,0,20,1,30.12,0.0,1,2
21,1,0,0,46.51,0.25,0,2
22,1,1,1,61.81,0.0,1,2
23,1,2,1,58.4,0.25,1,2
24,1,3,0,32.4,0.25,0,2
25,1,4,1,55.28,0.0,1,2
26,1,5,1,52.81,0.2,1,2
27,1,6,1,53.62,0.25,1,2
28,1,7,1,56.73,0.2,1,2
29,1,8,0,35.26,0.25,0,2
30,1,9,1,59.3,0.0,1,2
31,1,10,1,66.12,0.25,1,2
32,1,11,1,50.03,0.0,1,2
33,1,12,1,52.21,0.2,1,2
34,1,13,1,61.66,0.2,1,2
35,1,14,1,50.62,0.25,1,2
36,1,15,1,57.04,0.0,1,2
37,1,16,1,68.62,0.25,1,2
38,1,17,0,35.95,0.25,0,2
39,1,18,0,43.28,0.0,0,2
40,1,19,1,81.99,0.0,0,2
0,0,0,1,64.55,0.05,1,3
1,0,1,0,48.8,0.1,0,3
2,0,2,0,46.2,0.1,0,3
3,0,3,0,44.34,0.15,0,3
4,0,4,0,32.68,0.15,0,3
5,0,5,0,62.05,0.1,0,3
6,0,6,1,84.89,0.15,1,3
7,0,7,0,47.1,0.0,0,3
8,0,8,0,43.62,0.1,0,3
9,0,9,1,58.95,0.25,1,3
10,0,10,0,30.77,0.25,0,3
11,0,11,1,59.04,0.25,1,3
12,0,12,1,66.14,0.25,1,3
13,0,13,1,65.02,0.25,1,3
14,0,14,1,50.45,0.75,1,3
15,0,15,0,28.45,0.2,0,3
16,0,16,0,32.62,0.0,0,3
17,0,17,0,29.76,0.2,0,3
18,0,18,0,44.64,0.15,0,3
19,0,19,0,42.82,0.2,0,3
20,0,20,0,28.69,0.0,1,3
21,1,0,1,39.35,0.25,0,3
22,1,1,0,67.88,0.0,1,3
23,1,2,0,70.09,0.15,1,3
24,1,3,0,55.01,0.2,1,3
25,1,4,0,64.1,0.2,1,3
26,1,5,1,30.38,0.3,0,3
27,1,6,1,37.95,0.25,0,3
28,1,7,0,62.03,0.2,1,3
29,1,8,0,46.25,0.2,1,3
30,1,9,1,43.52,0.25,0,3
31,1,10,0,52.72,0.0,1,3
32,1,11,0,66.63,0.65,1,3
33,1,12,1,43.98,0.25,0,3
34,1,13,1,32.55,0.25,0,3
35,1,14,1,42.15,0.0,0,3
36,1,15,1,26.92,0.25,0,3
37,1,16,1,32.18,0.25,0,3
38,1,17,0,61.63,0.35,1,3
39,1,18,1,25.29,0.0,0,3
40,1,19,1,41.57,0.2,1,3
0,0,0,0,51.32,0.05,1,4
1,0,1,1,31.43,0.1,0,4
2,0,2,0,61.53,0.15,1,4
3,0,3,1,22.25,0.2,0,4
4,0,4,0,51.29,0.25,1,4
5,0,5,1,41.4,0.3,0,4
6,0,6,1,36.33,0.35,0,4
7,0,7,1,46.14,0.4,0,4
8,0,8,1,32.19,0.45,0,4
9,0,9,0,58.57,0.65,1,4
10,0,10,0,39.98,0.85,1,4
11,0,11,1,38.69,0.3,0,4
12,0,12,1,55.92,0.3,0,4
13,0,13,0,59.09,0.35,1,4
14,0,14,1,48.86,0.35,0,4
15,0,15,1,28.93,0.35,0,4
16,0,16,1,48.22,0.35,0,4
17,0,17,1,29.21,0.35,0,4
18,0,18,1,38.97,0.35,0,4
19,0,19,1,32.82,0.35,0,4
20,0,20,1,27.55,0.35,1,4
21,1,0,0,38.73,0.65,0,4
22,1,1,0,42.88,0.65,0,4
23,1,2,1,70.8,0.35,1,4
24,1,3,1,62.92,0.35,1,4
25,1,4,1,66.45,0.35,1,4
26,1,5,0,65.2,0.65,0,4
27,1,6,1,54.65,0.65,1,4
28,1,7,1,65.31,0.65,1,4
29,1,8,0,43.39,0.65,0,4
30,1,9,0,50.87,0.65,0,4
31,1,10,1,54.18,0.65,1,4
32,1,11,0,42.06,0.65,0,4
33,1,12,1,60.48,0.65,1,4
34,1,13,0,50.86,0.65,0,4
35,1,14,1,67.81,0.65,1,4
36,1,15,0,35.03,0.65,0,4
37,1,16,0,27.04,0.65,0,4
38,1,17,0,46.28,0.65,0,4
39,1,18,1,67.06,0.75,1,4
40,1,19,0,39.04,0.65,1,4
0,0,0,0,48.81,0.1,1,5
1,0,1,1,40.98,0.2,0,5
2,0,2,1,50.11,0.25,0,5
3,0,3,1,42.07,0.28,0,5
4,0,4,0,57.87,0.3,1,5
5,0,5,1,32.55,0.35,0,5
6,0,6,1,37.31,0.4,0,5
7,0,7,1,40.46,0.45,0,5
8,0,8,0,65.69,0.5,1,5
9,0,9,1,35.23,0.55,0,5
10,0,10,1,47.0,0.55,0,5
11,0,11,1,38.0,0.55,0,5
12,0,12,1,45.75,0.0,0,5
13,0,13,0,63.7,0.65,1,5
14,0,14,0,65.26,0.7,1,5
15,0,15,0,53.61,0.75,1,5
16,0,16,1,31.03,0.55,0,5
17,0,17,1,40.48,0.0,0,5
18,0,18,1,48.05,0.55,0,5
19,0,19,1,34.78,0.55,0,5
20,0,20,1,36.63,0.55,1,5
21,1,0,1,64.54,0.55,1,5
22,1,1,0,46.37,0.65,0,5
23,1,2,1,52.02,0.0,1,5
24,1,3,0,43.06,0.65,0,5
25,1,4,0,25.84,0.65,0,5
26,1,5,0,38.27,0.65,0,5
27,1,6,1,59.15,0.55,1,5
28,1,7,1,65.97,0.55,1,5
29,1,8,0,47.36,0.65,0,5
30,1,9,0,42.07,0.65,0,5
31,1,10,1,67.61,0.55,1,5
32,1,11,1,55.47,0.55,1,5
33,1,12,1,55.79,0.55,1,5
34,1,13,0,38.76,0.65,0,5
35,1,14,0,45.06,0.65,0,5
36,1,15,1,62.7,0.55,1,5
37,1,16,0,34.72,0.0,0,5
38,1,17,1,57.1,0.65,1,5
39,1,18,1,86.04,0.55,1,5
40,1,19,1,55.99,0.65,0,5
0,0,0,0,63.23,0.1,1,6
1,0,1,1,35.47,0.2,0,6
2,0,2,1,29.68,0.25,0,6
3,0,3,0,51.76,0.0,1,6
4,0,4,1,41.52,0.25,0,6
5,0,5,1,27.96,0.25,0,6
6,0,6,0,47.44,0.25,1,6
7,0,7,0,61.79,0.25,1,6
8,0,8,0,53.93,0.3,1,6
9,0,9,0,62.19,0.0,1,6
10,0,10,0,38.62,0.45,1,6
11,0,11,0,51.29,0.45,1,6
12,0,12,0,56.03,0.45,1,6
13,0,13,1,42.67,0.45,0,6
14,0,14,0,59.66,0.45,1,6
15,0,15,0,52.58,0.0,1,6
16,0,16,0,65.85,0.45,1,6
17,0,17,1,37.62,0.45,0,6
18,0,18,0,64.27,0.45,1,6
19,0,19,1,39.45,0.45,0,6
20,0,20,1,36.1,0.45,1,6
21,1,0,1,54.3,0.45,1,6
22,1,1,1,67.47,0.45,1,6
23,1,2,1,57.49,0.45,1,6
24,1,3,1,67.48,0.45,1,6
25,1,4,1,60.73,0.45,1,6
26,1,5,1,80.88,0.0,1,6
27,1,6,1,72.74,0.45,1,6
28,1,7,0,42.84,0.45,0,6
29,1,8,1,49.71,0.45,1,6
30,1,9,1,55.77,0.45,1,6
31,1,10,0,39.14,0.45,0,6
32,1,11,1,52.69,0.45,1,6
33,1,12,0,36.95,0.45,0,6
34,1,13,0,33.41,0.4,0,6
35,1,14,1,42.68,0.45,1,6
36,1,15,0,44.46,0.45,0,6
37,1,16,0,47.72,0.4,0,6
38,1,17,0,43.22,0.4,0,6
39,1,18,1,62.79,0.55,1,6
40,1,19,1,70.17,0.45,0,6
0,0,0,0,66.7,0.1,1,7
1,0,1,1,42.98,0.2,0,7
2,0,2,1,33.67,0.25,0,7
3,0,3,1,35.99,0.25,0,7
4,0,4,1,38.25,0.3,0,7
5,0,5,0,54.71,0.35,1,7
6,0,6,0,69.85,0.4,1,7
7,0,7,1,44.42,0.0,0,7
8,0,8,0,54.85,0.0,1,7
9,0,9,1,44.54,0.05,0,7
10,0,10,1,39.75,0.0,0,7
11,0,11,1,40.04,0.05,0,7
12,0,12,1,50.48,0.05,0,7
13,0,13,1,53.15,0.0,0,7
14,0,14,1,43.66,0.05,0,7
15,0,15,0,66.2,0.45,1,7
16,0,16,1,39.65,0.0,0,7
17,0,17,1,52.37,0.0,0,7
18,0,18,1,39.35,0.05,0,7
19,0,19,0,41.93,0.5,1,7
20,0,20,1,42.97,0.1,1,7
21,1,0,1,64.42,0.05,1,7
22,1,1,1,58.86,0.0,1,7
23,1,2,0,47.72,0.55,0,7
