trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.25,0,0
1,0,1,1,55.23,0.25,1,0
2,0,2,1,62.96,0.3,1,0
3,0,3,1,64.15,0.35,1,0
4,0,4,1,59.68,0.4,1,0
5,0,5,0,40.5,0.5,0,0
6,0,6,1,57.72,0.45,1,0
7,0,7,1,63.47,0.45,1,0
8,0,8,0,41.05,0.55,0,0
9,0,9,0,25.77,0.55,0,0
10,0,10,0,50.75,0.55,0,0
11,0,11,0,37.99,0.0,0,0
12,0,12,1,54.57,0.55,1,0
13,0,13,1,58.65,0.55,1,0
14,0,14,1,69.5,0.55,1,0
15,0,15,1,76.35,0.6,1,0
16,0,16,1,52.07,0.65,1,0
17,0,17,0,45.67,0.65,0,0
18,0,18,0,36.19,0.65,0,0
19,0,19,0,27.33,0.65,0,0
20,0,20,0,36.37,0.65,1,0
21,1,0,0,61.21,0.75,1,0
22,1,1,0,62.91,0.65,1,0
23,1,2,0,74.32,0.65,1,0
24,1,3,0,65.59,0.65,1,0
25,1,4,1,39.79,0.0,0,0
26,1,5,1,41.65,0.65,0,0
27,1,6,0,62.81,0.65,1,0
28,1,7,0,68.97,0.65,1,0
29,1,8,1,44.96,0.65,0,0
30,1,9,1,35.74,0.65,0,0
31,1,10,1,51.45,0.65,0,0
32,1,11,1,35.64,0.65,0,0
33,1,12,0,79.04,0.65,1,0
34,1,13,0,49.66,0.7,1,0
35,1,14,1,45.82,0.65,0,0
36,1,15,0,60.28,0.0,1,0
37,1,16,0,62.25,0.65,1,0
38,1,17,1,34.03,0.0,0,0
39,1,18,1,32.34,0.0,0,0
40,1,19,0,60.95,0.65,0,0
0,0,0,0,57.65,0.5,1,1
1,0,1,1,41.46,0.5,0,1
2,0,2,0,71.65,0.55,1,1
3,0,3,1,29.5,0.55,0,1
4,0,4,0,62.3,0.6,1,1
5,0,5,1,33.87,0.61,0,1
6,0,6,0,58.93,0.62,1,1
7,0,7,0,46.13,0.63,1,1
8,0,8,0,68.16,0.64,1,1
9,0,9,0,66.78,0.65,1,1
10,0,10,1,59.07,0.66,0,1
11,0,11,1,31.56,0.67,0,1
12,0,12,0,71.4,0.68,1,1
13,0,13,0,56.22,0.7,1,1
14,0,14,0,69.8,0.71,1,1
15,0,15,1,47.71,0.68,0,1
16,0,16,0,73.59,0.72,1,1
17,0,17,0,63.26,0.73,1,1
18,0,18,0,73.56,0.74,1,1
19,0,19,1,35.28,0.68,0,1
20,0,20,1,38.61,0.7,1,1
21,1,0,1,65.28,0.68,1,1
22,1,1,1,64.27,0.7,1,1
23,1,2,1,67.02,0.71,1,1
24,1,3,1,71.19,0.72,1,1
25,1,4,1,60.74,0.73,1,1
26,1,5,1,67.94,0.74,1,1
27,1,6,1,58.22,0.75,1,1
28,1,7,1,67.01,0.76,1,1
29,1,8,1,54.1,0.77,1,1
30,1,9,1,55.7,0.78,1,1
31,1,10,0,55.63,0.0,0,1
32,1,11,1,55.26,0.78,1,1
33,1,12,0,39.66,0.79,0,1
34,1,13,0,39.58,0.8,0,1
35,1,14,0,46.03,0.0,0,1
36,1,15,0,47.54,0.8,0,1
37,1,16,1,55.64,0.78,1,1
38,1,17,0,34.67,0.79,0,1
39,1,18,1,63.25,0.85,1,1
40,1,19,0,34.91,0.85,1,1
0,0,0,1,22.57,0.25,0,2
1,0,1,0,53.15,0.35,1,2
2,0,2,1,47.52,0.4,0,2
3,0,3,0,61.54,0.45,1,2
4,0,4,0,59.94,0.5,1,2
5,0,5,0,68.79,0.55,1,2
6,0,6,0,75.14,0.6,1,2
7,0,7,0,49.31,0.65,1,2
8,0,8,0,56.43,0.7,1,2
9,0,9,1,41.97,0.0,0,2
10,0,10,1,35.47,0.15,0,2
11,0,11,1,35.53,0.15,0,2
12,0,12,1,55.72,0.15,0,2
13,0,13,1,24.24,0.65,0,2
14,0,14,1,33.18,0.35,0,2
15,0,15,0,62.62,0.55,1,2
16,0,16,0,60.93,0.6,1,2
17,0,17,1,24.49,0.55,0,2
18,0,18,1,42.78,0.55,0,2
19,0,19,1,38.6,0.55,0,2
20,0,20,1,30.12,0.55,1,2
21,1,0,0,46.51,0.65,0,2
22,1,1,1,61.81,0.55,1,2
23,1,2,1,58.4,0.55,1,2
24,1,3,1,52.4,0.55,1,2
25,1,4,1,55.28,0.65,1,2
26,1,5,1,52.81,0.65,1,2
27,1,6,1,53.62,0.65,1,2
28,1,7,1,56.73,0.65,1,2
29,1,8,1,55.26,0.65,1,2
30,1,9,1,59.3,0.65,1,2
31,1,10,1,66.12,0.65,1,2
32,1,11,1,50.03,0.65,1,2
33,1,12,0,32.21,0.65,0,2
34,1,13,1,61.66,0.65,1,2
35,1,14,1,50.62,0.75,1,2
36,1,15,0,37.04,0.65,0,2
37,1,16,0,48.62,0.6,0,2
38,1,17,1,55.95,0.75,1,2
39,1,18,1,63.28,0.75,1,2
40,1,19,1,81.99,0.75,0,2
0,0,0,1,64.55,0.5,1,3
1,0,1,0,48.8,0.5,0,3
2,0,2,1,66.2,0.55,1,3
3,0,3,0,44.34,0.55,0,3
4,0,4,1,52.68,0.57,1,3
5,0,5,0,62.05,0.59,0,3
6,0,6,1,84.89,0.61,1,3
7,0,7,1,67.1,0.63,1,3
8,0,8,1,63.62,0.65,1,3
9,0,9,0,38.95,0.0,0,3
10,0,10,0,30.77,0.0,0,3
11,0,11,0,39.04,0.0,0,3
12,0,12,0,46.14,0.0,0,3
13,0,13,0,45.02,0.0,0,3
14,0,14,1,50.45,0.75,1,3
15,0,15,0,28.45,0.0,0,3
16,0,16,1,52.62,0.77,1,3
17,0,17,0,29.76,0.5,0,3
18,0,18,0,44.64,0.5,0,3
19,0,19,0,42.82,0.55,0,3
20,0,20,0,28.69,0.5,1,3
21,1,0,0,59.35,0.55,1,3
22,1,1,0,67.88,0.55,1,3
23,1,2,0,70.09,0.55,1,3
24,1,3,0,55.01,0.55,1,3
25,1,4,0,64.1,0.55,1,3
26,1,5,0,50.38,0.65,1,3
27,1,6,0,57.95,0.67,1,3
28,1,7,0,62.03,0.69,1,3
29,1,8,0,46.25,0.71,1,3
30,1,9,0,63.52,0.73,1,3
31,1,10,0,52.72,0.75,1,3
32,1,11,1,46.63,0.65,0,3
33,1,12,1,43.98,0.67,0,3
34,1,13,0,52.55,0.7,1,3
35,1,14,0,62.15,0.77,1,3
36,1,15,0,46.92,0.85,1,3
37,1,16,0,52.18,0.85,1,3
38,1,17,1,41.63,0.7,0,3
39,1,18,1,25.29,0.75,0,3
40,1,19,1,41.57,0.75,1,3
0,0,0,0,51.32,0.5,1,4
1,0,1,1,31.43,0.5,0,4
2,0,2,1,41.53,0.55,0,4
3,0,3,0,42.25,0.55,1,4
4,0,4,0,51.29,0.57,1,4
5,0,5,0,61.4,0.59,1,4
6,0,6,0,56.33,0.61,1,4
7,0,7,1,46.14,0.63,0,4
8,0,8,0,52.19,0.65,1,4
9,0,9,0,58.57,0.67,1,4
10,0,10,0,39.98,0.7,1,4
11,0,11,0,58.69,0.72,1,4
12,0,12,0,75.92,0.74,1,4
13,0,13,1,39.09,0.75,0,4
14,0,14,1,48.86,0.67,0,4
15,0,15,0,48.93,0.77,1,4
16,0,16,1,48.22,0.0,0,4
17,0,17,0,49.21,0.76,1,4
18,0,18,0,58.97,0.77,1,4
19,0,19,0,52.82,0.78,1,4
20,0,20,1,27.55,0.65,1,4
21,1,0,0,38.73,0.78,0,4
22,1,1,1,62.88,0.65,1,4
23,1,2,0,50.8,0.79,0,4
24,1,3,1,62.92,0.68,1,4
25,1,4,1,66.45,0.69,1,4
26,1,5,1,85.2,0.65,1,4
27,1,6,1,54.65,0.67,1,4
28,1,7,1,65.31,0.68,1,4
29,1,8,1,63.39,0.68,1,4
30,1,9,1,70.87,0.68,1,4
31,1,10,1,54.18,0.68,1,4
32,1,11,1,62.06,0.68,1,4
33,1,12,0,40.48,0.79,0,4
34,1,13,0,50.86,0.8,0,4
35,1,14,0,47.81,0.0,0,4
36,1,15,0,35.03,0.81,0,4
37,1,16,1,47.04,0.0,1,4
38,1,17,0,46.28,0.82,0,4
39,1,18,1,67.06,0.65,1,4
40,1,19,0,39.04,0.83,1,4
0,0,0,0,48.81,0.25,1,5
1,0,1,1,40.98,0.3,0,5
2,0,2,1,50.11,0.45,0,5
3,0,3,1,42.07,0.55,0,5
4,0,4,0,57.87,0.55,1,5
5,0,5,0,52.55,0.6,1,5
6,0,6,0,57.31,0.65,1,5
7,0,7,0,60.46,0.7,1,5
8,0,8,0,65.69,0.75,1,5
9,0,9,0,55.23,0.85,1,5
10,0,10,0,67.0,0.8,1,5
11,0,11,0,58.0,0.85,1,5
12,0,12,0,65.75,0.85,1,5
13,0,13,1,43.7,0.65,0,5
14,0,14,1,45.26,0.65,0,5
15,0,15,0,53.61,0.75,1,5
16,0,16,0,51.03,0.8,1,5
17,0,17,1,40.48,0.65,0,5
18,0,18,1,48.05,0.65,0,5
19,0,19,1,34.78,0.65,0,5
