trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.05,0,0
1,0,1,1,55.23,0.1,1,0
2,0,2,1,62.96,0.15,1,0
3,0,3,0,44.15,0.25,0,0
4,0,4,0,39.68,0.35,0,0
5,0,5,1,60.5,0.45,1,0
6,0,6,0,37.72,0.0,0,0
7,0,7,1,63.47,0.5,1,0
8,0,8,0,41.05,0.35,0,0
9,0,9,1,45.77,0.55,1,0
10,0,10,1,70.75,0.6,1,0
11,0,11,0,37.99,0.65,0,0
12,0,12,1,54.57,0.65,1,0
13,0,13,1,58.65,0.7,1,0
14,0,14,1,69.5,0.75,1,0
15,0,15,0,56.35,0.3,0,0
16,0,16,0,32.07,0.3,0,0
17,0,17,0,45.67,0.45,0,0
18,0,18,0,36.19,0.45,0,0
19,0,19,0,27.33,0.45,0,0
20,0,20,1,56.37,0.7,0,0
21,1,0,0,61.21,0.45,1,0
22,1,1,0,62.91,0.45,1,0
23,1,2,0,74.32,0.45,1,0
24,1,3,1,45.59,0.76,0,0
25,1,4,0,59.79,0.75,1,0
26,1,5,0,61.65,0.75,1,0
27,1,6,0,62.81,0.75,1,0
28,1,7,0,68.97,0.75,1,0
29,1,8,0,64.96,0.75,1,0
30,1,9,1,35.74,0.7,0,0
31,1,10,0,71.45,0.75,1,0
32,1,11,1,35.64,0.71,0,0
33,1,12,0,79.04,0.75,1,0
34,1,13,0,49.66,0.75,1,0
35,1,14,0,65.82,0.75,1,0
36,1,15,0,60.28,0.0,1,0
37,1,16,1,42.25,0.7,0,0
38,1,17,1,34.03,0.0,0,0
39,1,18,0,52.34,0.75,1,0
40,1,19,0,60.95,0.74,0,0
0,0,0,0,57.65,0.1,1,1
1,0,1,1,41.46,0.35,0,1
2,0,2,1,51.65,0.45,0,1
3,0,3,0,49.5,0.25,1,1
4,0,4,1,42.3,0.5,0,1
5,0,5,0,53.87,0.3,1,1
6,0,6,1,38.93,0.55,0,1
7,0,7,0,46.13,0.35,1,1
8,0,8,1,48.16,0.6,0,1
9,0,9,0,66.78,0.35,1,1
10,0,10,1,59.07,0.0,0,1
11,0,11,1,31.56,0.0,0,1
12,0,12,0,71.4,0.4,1,1
13,0,13,0,56.22,0.45,1,1
14,0,14,1,49.8,0.0,0,1
15,0,15,0,67.71,0.45,1,1
16,0,16,1,53.59,0.45,0,1
17,0,17,1,43.26,0.55,0,1
18,0,18,0,73.56,0.45,1,1
19,0,19,1,35.28,0.55,0,1
20,0,20,1,38.61,0.55,1,1
21,1,0,1,65.28,0.55,1,1
22,1,1,1,64.27,0.0,1,1
23,1,2,0,47.02,0.45,0,1
24,1,3,0,51.19,0.45,0,1
25,1,4,0,40.74,0.45,0,1
26,1,5,0,47.94,0.45,0,1
27,1,6,0,38.22,0.45,0,1
28,1,7,0,47.01,0.45,0,1
29,1,8,0,34.1,0.45,0,1
30,1,9,1,55.7,0.55,1,1
31,1,10,0,55.63,0.45,0,1
32,1,11,1,55.26,0.55,1,1
33,1,12,0,39.66,0.45,0,1
34,1,13,0,39.58,0.45,0,1
35,1,14,0,46.03,0.45,0,1
36,1,15,0,47.54,0.45,0,1
37,1,16,0,35.64,0.45,0,1
38,1,17,1,54.67,0.55,1,1
39,1,18,1,63.25,0.55,1,1
40,1,19,0,34.91,0.45,1,1
0,0,0,1,22.57,0.1,0,2
1,0,1,0,53.15,0.1,1,2
2,0,2,1,47.52,0.15,0,2
3,0,3,0,61.54,0.0,1,2
4,0,4,1,39.94,0.0,0,2
5,0,5,1,48.79,0.0,0,2
6,0,6,1,55.14,0.1,0,2
7,0,7,0,49.31,0.25,1,2
8,0,8,1,36.43,0.0,0,2
9,0,9,1,41.97,0.0,0,2
10,0,10,0,55.47,0.35,1,2
11,0,11,1,35.53,0.0,0,2
12,0,12,1,55.72,0.15,0,2
13,0,13,0,44.24,0.35,1,2
14,0,14,0,53.18,0.35,1,2
15,0,15,0,62.62,0.35,1,2
16,0,16,0,60.93,0.35,1,2
17,0,17,1,24.49,0.1,0,2
18,0,18,1,42.78,0.15,0,2
19,0,19,1,38.6,0.0,0,2
20,0,20,1,30.12,0.15,1,2
21,1,0,0,46.51,0.35,0,2
22,1,1,0,41.81,0.35,0,2
23,1,2,0,38.4,0.35,0,2
24,1,3,0,32.4,0.35,0,2
25,1,4,1,55.28,0.15,1,2
26,1,5,1,52.81,0.15,1,2
27,1,6,1,53.62,0.25,1,2
28,1,7,1,56.73,0.25,1,2
29,1,8,0,35.26,0.35,0,2
30,1,9,1,59.3,0.25,1,2
31,1,10,1,66.12,0.25,1,2
32,1,11,1,50.03,0.75,1,2
33,1,12,1,52.21,0.75,1,2
34,1,13,1,61.66,0.75,1,2
35,1,14,0,30.62,0.0,0,2
36,1,15,1,57.04,0.65,1,2
37,1,16,1,68.62,0.75,1,2
38,1,17,0,35.95,0.0,0,2
39,1,18,0,43.28,0.35,0,2
40,1,19,1,81.99,0.0,0,2
0,0,0,1,64.55,0.1,1,3
1,0,1,0,48.8,0.1,0,3
2,0,2,1,66.2,0.25,1,3
3,0,3,0,44.34,0.0,0,3
4,0,4,1,52.68,0.35,1,3
5,0,5,0,62.05,0.45,0,3
6,0,6,0,64.89,0.55,0,3
7,0,7,1,67.1,0.75,1,3
8,0,8,0,43.62,0.65,0,3
9,0,9,0,38.95,0.65,0,3
10,0,10,1,50.77,0.85,1,3
11,0,11,0,39.04,0.6,0,3
12,0,12,1,66.14,0.8,1,3
13,0,13,0,45.02,0.45,0,3
14,0,14,1,50.45,0.85,1,3
15,0,15,0,28.45,0.0,0,3
16,0,16,0,32.62,0.45,0,3
17,0,17,0,29.76,0.45,0,3
18,0,18,0,44.64,0.45,0,3
19,0,19,0,42.82,0.45,0,3
20,0,20,0,28.69,0.45,1,3
21,1,0,0,59.35,0.45,1,3
22,1,1,0,67.88,0.45,1,3
23,1,2,0,70.09,0.45,1,3
24,1,3,0,55.01,0.45,1,3
25,1,4,0,64.1,0.0,1,3
26,1,5,1,30.38,0.85,0,3
27,1,6,1,37.95,0.65,0,3
28,1,7,1,42.03,0.75,0,3
29,1,8,0,46.25,0.45,1,3
30,1,9,1,43.52,0.75,0,3
31,1,10,0,52.72,0.45,1,3
32,1,11,0,66.63,0.65,1,3
33,1,12,0,63.98,0.45,1,3
34,1,13,1,32.55,0.75,0,3
35,1,14,0,62.15,0.45,1,3
36,1,15,0,46.92,0.45,1,3
37,1,16,1,32.18,0.75,0,3
38,1,17,0,61.63,0.45,1,3
39,1,18,0,45.29,0.45,1,3
40,1,19,0,61.57,0.45,0,3
0,0,0,0,51.32,0.1,1,4
1,0,1,1,31.43,0.25,0,4
2,0,2,1,41.53,0.35,0,4
3,0,3,1,22.25,0.45,0,4
4,0,4,0,51.29,0.55,1,4
5,0,5,0,61.4,0.6,1,4
6,0,6,1,36.33,0.0,0,4
7,0,7,1,46.14,0.35,0,4
8,0,8,1,32.19,0.45,0,4
9,0,9,1,38.57,0.45,0,4
10,0,10,0,39.98,0.65,1,4
11,0,11,1,38.69,0.55,0,4
12,0,12,1,55.92,0.55,0,4
13,0,13,1,39.09,0.65,0,4
14,0,14,0,68.86,0.65,1,4
15,0,15,1,28.93,0.68,0,4
16,0,16,0,68.22,0.68,1,4
17,0,17,0,49.21,0.7,1,4
18,0,18,1,38.97,0.0,0,4
19,0,19,0,52.82,0.68,1,4
20,0,20,1,27.55,0.55,1,4
21,1,0,1,58.73,0.6,1,4
22,1,1,0,42.88,0.65,0,4
23,1,2,1,70.8,0.65,1,4
24,1,3,1,62.92,0.68,1,4
25,1,4,0,46.45,0.68,0,4
26,1,5,1,85.2,0.0,1,4
27,1,6,0,34.65,0.68,0,4
28,1,7,1,65.31,0.65,1,4
29,1,8,1,63.39,0.65,1,4
30,1,9,1,70.87,0.65,1,4
31,1,10,0,34.18,0.67,0,4
32,1,11,1,62.06,0.67,1,4
33,1,12,1,60.48,0.67,1,4
34,1,13,1,70.86,0.67,1,4
35,1,14,1,67.81,0.67,1,4
36,1,15,1,55.03,0.67,1,4
37,1,16,1,47.04,0.67,1,4
38,1,17,1,66.28,0.67,1,4
39,1,18,1,67.06,0.67,1,4
40,1,19,0,39.04,0.0,1,4
0,0,0,0,48.81,0.1,1,5
1,0,1,1,40.98,0.25,0,5
2,0,2,0,70.11,0.35,1,5
3,0,3,1,42.07,0.45,0,5
4,0,4,0,57.87,0.55,1,5
5,0,5,1,32.55,0.65,0,5
6,0,6,0,57.31,0.75,1,5
7,0,7,1,40.46,0.75,0,5
8,0,8,1,45.69,0.78,0,5
9,0,9,0,55.23,0.8,1,5
10,0,10,0,67.0,0.85,1,5
11,0,11,0,58.0,0.88,1,5
12,0,12,1,45.75,0.8,0,5
13,0,13,1,43.7,0.0,0,5
14,0,14,1,45.26,0.78,0,5
15,0,15,1,33.61,0.78,0,5
16,0,16,1,31.03,0.75,0,5
17,0,17,1,40.48,0.75,0,5
18,0,18,1,48.05,0.74,0,5
19,0,19,1,34.78,0.74,0,5
20,0,20,1,36.63,0.74,1,5
21,1,0,0,44.54,0.75,0,5
22,1,1,0,46.37,0.75,0,5
23,1,2,1,52.02,0.0,1,5
24,1,3,0,43.06,0.75,0,5
25,1,4,0,25.84,0.75,0,5
26,1,5,0,38.27,0.85,0,5
27,1,6,1,59.15,0.74,1,5
28,1,7,1,65.97,0.0,1,5
29,1,8,1,67.36,0.74,1,5
30,1,9,1,62.07,0.73,1,5
31,1,10,1,67.61,0.73,1,5
32,1,11,1,55.47,0.72,1,5
33,1,12,1,55.79,0.72,1,5
34,1,13,0,38.76,0.71,0,5
35,1,14,1,65.06,0.0,1,5
36,1,15,1,62.7,0.72,1,5
37,1,16,1,54.72,0.71,1,5
38,1,17,0,37.1,0.0,0,5
39,1,18,1,86.04,0.0,1,5
40,1,19,1,55.99,0.71,0,5
0,0,0,0,63.23,0.05,1,6
1,0,1,1,35.47,0.1,0,6
2,0,2,0,49.68,0.35,1,6
3,0,3,1,31.76,0.45,0,6
4,0,4,1,41.52,0.55,0,6
5,0,5,0,47.96,0.65,1,6
6,0,6,0,47.44,0.75,1,6
7,0,7,1,41.79,0.65,0,6
8,0,8,1,33.93,0.68,0,6
9,0,9,1,42.19,0.65,0,6
10,0,10,1,18.62,0.6,0,6
11,0,11,1,31.29,0.55,0,6
12,0,12,1,36.03,0.55,0,6
13,0,13,1,42.67,0.55,0,6
14,0,14,0,59.66,0.65,1,6
15,0,15,0,52.58,0.65,1,6
16,0,16,1,45.85,0.6,0,6
17,0,17,1,37.62,0.65,0,6
18,0,18,1,44.27,0.65,0,6
19,0,19,1,39.45,0.0,0,6
20,0,20,0,56.1,0.75,0,6
21,1,0,1,54.3,0.65,1,6
22,1,1,0,47.47,0.75,0,6
23,1,2,1,57.49,0.0,1,6
24,1,3,0,47.48,0.75,0,6
25,1,4,0,40.73,0.75,0,6
26,1,5,1,80.88,0.65,1,6
27,1,6,1,72.74,0.65,1,6
28,1,7,1,62.84,0.75,1,6
29,1,8,1,49.71,0.75,1,6
30,1,9,1,55.77,0.7,1,6
31,1,10,0,39.14,0.75,0,6
32,1,11,1,52.69,0.75,1,6
33,1,12,1,56.95,0.75,1,6
34,1,13,1,53.41,0.75,1,6
35,1,14,1,42.68,0.75,1,6
36,1,15,1,64.46,0.0,1,6
37,1,16,1,67.72,0.7,1,6
38,1,17,1,63.22,0.7,1,6
39,1,18,1,62.79,0.7,1,6
40,1,19,1,70.17,0.65,0,6
0,0,0,0,66.7,0.05,1,7
1,0,1,1,42.98,0.1,0,7
2,0,2,1,33.67,0.15,0,7
3,0,3,1,35.99,0.0,0,7
4,0,4,0,58.25,0.25,1,7
5,0,5,1,34.71,0.0,0,7
6,0,6,1,49.85,0.25,0,7
7,0,7,0,64.42,0.35,1,7
8,0,8,0,54.85,0.45,1,7
9,0,9,1,44.54,0.65,0,7
10,0,10,1,39.75,0.65,0,7
11,0,11,1,40.04,0.65,0,7
12,0,12,1,50.48,0.65,0,7
13,0,13,0,73.15,0.0,1,7
14,0,14,1,43.66,0.65,0,7
15,0,15,0,66.2,0.85,1,7
16,0,16,0,59.65,0.85,1,7
17,0,17,1,52.37,0.0,0,7
18,0,18,0,59.35,0.85,1,7
19,0,19,1,21.93,0.65,0,7
20,0,20,1,42.97,0.65,1,7
21,1,0,1,64.42,0.65,1,7
22,1,1,0,38.86,0.75,0,7
23,1,2,0,47.72,0.75,0,7
