trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,1,72.33,0.99,1,0
1,0,1,1,55.23,0.99,1,0
2,0,2,1,62.96,0.99,1,0
3,0,3,1,64.15,0.99,1,0
4,0,4,1,59.68,0.99,1,0
5,0,5,1,60.5,0.99,1,0
6,0,6,1,57.72,0.99,1,0
7,0,7,1,63.47,0.99,1,0
8,0,8,1,61.05,0.99,1,0
9,0,9,1,45.77,0.99,1,0
10,0,10,1,70.75,0.99,1,0
11,0,11,1,57.99,0.99,1,0
12,0,12,1,54.57,0.99,1,0
13,0,13,1,58.65,0.99,1,0
14,0,14,1,69.5,0.99,1,0
15,0,15,1,76.35,0.99,1,0
16,0,16,1,52.07,0.99,1,0
17,0,17,1,65.67,0.99,1,0
18,0,18,1,56.19,0.99,1,0
19,0,19,1,47.33,0.99,1,0
20,0,20,1,56.37,0.99,0,0
21,1,0,1,41.21,0.99,0,0
22,1,1,1,42.91,0.99,0,0
23,1,2,1,54.32,0.99,0,0
24,1,3,1,45.59,0.99,0,0
25,1,4,1,39.79,0.99,0,0
26,1,5,1,41.65,0.99,0,0
27,1,6,1,42.81,0.99,0,0
28,1,7,1,48.97,0.99,0,0
29,1,8,1,44.96,0.99,0,0
30,1,9,1,35.74,0.99,0,0
31,1,10,1,51.45,0.99,0,0
32,1,11,1,35.64,0.99,0,0
33,1,12,1,59.04,0.99,0,0
34,1,13,1,29.66,0.99,0,0
35,1,14,1,45.82,0.99,0,0
36,1,15,1,40.28,0.99,0,0
37,1,16,1,42.25,0.99,0,0
38,1,17,1,34.03,0.99,0,0
39,1,18,1,32.34,0.99,0,0
40,1,19,1,40.95,0.99,1,0
0,0,0,1,37.65,0.99,0,1
1,0,1,0,61.46,0.99,1,1
2,0,2,0,71.65,0.99,1,1
3,0,3,0,49.5,0.99,1,1
4,0,4,0,62.3,0.99,1,1
5,0,5,0,53.87,0.99,1,1
6,0,6,0,58.93,0.99,1,1
7,0,7,0,46.13,0.99,1,1
8,0,8,0,68.16,0.99,1,1
9,0,9,0,66.78,0.99,1,1
10,0,10,0,79.07,0.99,1,1
11,0,11,0,51.56,0.99,1,1
12,0,12,0,71.4,0.99,1,1
13,0,13,0,56.22,0.99,1,1
14,0,14,0,69.8,0.99,1,1
15,0,15,0,67.71,0.99,1,1
16,0,16,0,73.59,0.99,1,1
17,0,17,0,63.26,0.99,1,1
18,0,18,0,73.56,0.99,1,1
19,0,19,0,55.28,0.99,1,1
20,0,20,0,58.61,0.99,0,1
21,1,0,0,45.28,0.99,0,1
22,1,1,0,44.27,0.99,0,1
23,1,2,0,47.02,0.99,0,1
24,1,3,0,51.19,0.99,0,1
25,1,4,0,40.74,0.99,0,1
26,1,5,0,47.94,0.99,0,1
27,1,6,0,38.22,0.99,0,1
28,1,7,0,47.01,0.99,0,1
29,1,8,0,34.1,0.99,0,1
30,1,9,0,35.7,0.99,0,1
31,1,10,0,55.63,0.99,0,1
32,1,11,0,35.26,0.99,0,1
33,1,12,0,39.66,0.99,0,1
34,1,13,0,39.58,0.99,0,1
35,1,14,0,46.03,0.99,0,1
36,1,15,0,47.54,0.99,0,1
37,1,16,0,35.64,0.99,0,1
38,1,17,0,34.67,0.99,0,1
39,1,18,0,43.25,0.99,0,1
40,1,19,0,34.91,0.99,1,1
0,0,0,1,22.57,0.99,0,2
1,0,1,0,53.15,0.99,1,2
2,0,2,0,67.52,0.99,1,2
3,0,3,0,61.54,0.99,1,2
4,0,4,0,59.94,0.99,1,2
5,0,5,0,68.79,0.99,1,2
6,0,6,0,75.14,0.99,1,2
7,0,7,0,49.31,0.99,1,2
8,0,8,0,56.43,0.99,1,2
9,0,9,0,61.97,0.99,1,2
10,0,10,0,55.47,0.99,1,2
11,0,11,0,55.53,0.99,1,2
12,0,12,0,75.72,0.99,1,2
13,0,13,0,44.24,0.99,1,2
14,0,14,0,53.18,0.99,1,2
15,0,15,0,62.62,0.99,1,2
16,0,16,0,60.93,0.99,1,2
17,0,17,0,44.49,0.99,1,2
18,0,18,0,62.78,0.99,1,2
19,0,19,0,58.6,0.99,1,2
20,0,20,0,50.12,0.99,0,2
21,1,0,0,46.51,0.99,0,2
22,1,1,0,41.81,0.99,0,2
23,1,2,0,38.4,0.99,0,2
24,1,3,0,32.4,0.99,0,2
25,1,4,0,35.28,0.99,0,2
26,1,5,0,32.81,0.99,0,2
27,1,6,0,33.62,0.99,0,2
28,1,7,0,36.73,0.99,0,2
29,1,8,0,35.26,0.99,0,2
30,1,9,0,39.3,0.99,0,2
31,1,10,0,46.12,0.99,0,2
32,1,11,0,30.03,0.99,0,2
33,1,12,0,32.21,0.99,0,2
34,1,13,0,41.66,0.99,0,2
35,1,14,0,30.62,0.99,0,2
36,1,15,0,37.04,0.99,0,2
37,1,16,0,48.62,0.99,0,2
38,1,17,0,35.95,0.99,0,2
39,1,18,0,43.28,0.99,0,2
40,1,19,0,61.99,0.99,1,2
0,0,0,1,64.55,0.99,1,3
1,0,1,0,48.8,0.99,0,3
2,0,2,0,46.2,0.99,0,3
3,0,3,1,64.34,0.99,1,3
4,0,4,1,52.68,0.99,1,3
5,0,5,0,62.05,0.99,0,3
6,0,6,1,84.89,0.99,1,3
7,0,7,0,47.1,0.99,0,3
8,0,8,0,43.62,0.99,0,3
9,0,9,1,58.95,0.99,1,3
10,0,10,0,30.77,0.99,0,3
11,0,11,0,39.04,0.99,0,3
12,0,12,0,46.14,0.99,0,3
13,0,13,0,45.02,0.99,0,3
14,0,14,1,50.45,0.99,1,3
15,0,15,0,28.45,0.99,0,3
16,0,16,0,32.62,0.99,0,3
17,0,17,1,49.76,0.99,1,3
18,0,18,0,44.64,0.99,0,3
19,0,19,0,42.82,0.99,0,3
20,0,20,0,28.69,0.99,1,3
21,1,0,0,59.35,0.99,1,3
22,1,1,0,67.88,0.99,1,3
23,1,2,0,70.09,0.99,1,3
24,1,3,0,55.01,0.98,1,3
25,1,4,0,64.1,0.99,1,3
26,1,5,0,50.38,0.99,1,3
27,1,6,0,57.95,0.99,1,3
28,1,7,0,62.03,0.99,1,3
29,1,8,0,46.25,0.99,1,3
30,1,9,0,63.52,0.99,1,3
31,1,10,1,32.72,0.99,0,3
32,1,11,1,46.63,0.99,0,3
33,1,12,0,63.98,0.99,1,3
34,1,13,1,32.55,0.99,0,3
35,1,14,0,62.15,0.99,1,3
36,1,15,1,26.92,0.99,0,3
37,1,16,0,52.18,0.99,1,3
38,1,17,0,61.63,0.99,1,3
39,1,18,1,25.29,0.99,0,3
40,1,19,0,61.57,0.99,0,3
0,0,0,0,51.32,0.99,1,4
1,0,1,0,51.43,0.99,1,4
2,0,2,0,61.53,0.99,1,4
3,0,3,0,42.25,0.99,1,4
4,0,4,0,51.29,0.99,1,4
5,0,5,0,61.4,0.99,1,4
6,0,6,0,56.33,0.99,1,4
7,0,7,1,46.14,0.99,0,4
8,0,8,1,32.19,0.99,0,4
9,0,9,1,38.57,0.99,0,4
10,0,10,0,39.98,0.99,1,4
11,0,11,0,58.69,0.99,1,4
12,0,12,1,55.92,0.99,0,4
13,0,13,0,59.09,0.99,1,4
14,0,14,0,68.86,0.99,1,4
15,0,15,0,48.93,0.99,1,4
16,0,16,0,68.22,0.99,1,4
17,0,17,0,49.21,0.99,1,4
18,0,18,1,38.97,0.99,0,4
19,0,19,0,52.82,0.99,1,4
20,0,20,0,47.55,0.99,0,4
21,1,0,0,38.73,0.99,0,4
22,1,1,1,62.88,0.99,1,4
23,1,2,0,50.8,0.99,0,4
24,1,3,0,42.92,0.99,0,4
25,1,4,0,46.45,0.99,0,4
26,1,5,0,65.2,0.99,0,4
27,1,6,1,54.65,0.99,1,4
28,1,7,0,45.31,0.99,0,4
29,1,8,1,63.39,0.99,1,4
30,1,9,0,50.87,0.99,0,4
31,1,10,1,54.18,0.99,1,4
32,1,11,0,42.06,0.99,0,4
33,1,12,0,40.48,0.99,0,4
34,1,13,0,50.86,0.99,0,4
35,1,14,0,47.81,0.99,0,4
36,1,15,0,35.03,0.99,0,4
37,1,16,0,27.04,0.99,0,4
38,1,17,0,46.28,0.99,0,4
39,1,18,1,67.06,0.99,1,4
40,1,19,1,59.04,0.99,0,4
0,0,0,0,48.81,0.99,1,5
1,0,1,1,40.98,0.99,0,5
2,0,2,1,50.11,0.99,0,5
3,0,3,0,62.07,0.99,1,5
4,0,4,0,57.87,0.99,1,5
5,0,5,0,52.55,0.99,1,5
6,0,6,0,57.31,0.99,1,5
7,0,7,1,40.46,0.99,0,5
8,0,8,0,65.69,0.99,1,5
9,0,9,0,55.23,0.99,1,5
10,0,10,1,47.0,0.99,0,5
11,0,11,1,38.0,0.99,0,5
12,0,12,0,65.75,0.99,1,5
13,0,13,0,63.7,0.99,1,5
14,0,14,0,65.26,0.99,1,5
15,0,15,0,53.61,0.99,1,5
16,0,16,1,31.03,0.99,0,5
17,0,17,1,40.48,0.99,0,5
18,0,18,0,68.05,0.99,1,5
19,0,19,1,34.78,0.99,0,5
20,0,20,0,56.63,0.99,0,5
21,1,0,0,44.54,0.99,0,5
22,1,1,1,66.37,0.99,1,5
23,1,2,1,52.02,0.99,1,5
24,1,3,0,43.06,0.99,0,5
25,1,4,1,45.84,0.99,1,5
26,1,5,1,58.27,0.99,1,5
27,1,6,0,39.15,0.99,0,5
28,1,7,0,45.97,0.99,0,5
29,1,8,1,67.36,0.99,1,5
30,1,9,0,42.07,0.99,0,5
31,1,10,0,47.61,0.99,0,5
32,1,11,0,35.47,0.99,0,5
33,1,12,0,35.79,0.99,0,5
34,1,13,0,38.76,0.99,0,5
35,1,14,0,45.06,0.99,0,5
36,1,15,1,62.7,0.99,1,5
37,1,16,0,34.72,0.99,0,5
38,1,17,1,57.1,0.99,1,5
39,1,18,0,66.04,0.99,0,5
40,1,19,1,55.99,0.99,0,5
0,0,0,1,43.23,0.99,0,6
1,0,1,0,55.47,0.99,1,6
2,0,2,0,49.68,0.99,1,6
3,0,3,0,51.76,0.99,1,6
4,0,4,0,61.52,0.99,1,6
5,0,5,0,47.96,0.99,1,6
6,0,6,0,47.44,0.99,1,6
7,0,7,0,61.79,0.99,1,6
