trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.5,0,0
1,0,1,1,55.23,0.5,1,0
2,0,2,1,62.96,0.55,1,0
3,0,3,0,44.15,0.0,0,0
4,0,4,1,59.68,0.55,1,0
5,0,5,1,60.5,0.55,1,0
6,0,6,0,37.72,0.0,0,0
7,0,7,0,43.47,0.45,0,0
8,0,8,1,61.05,0.55,1,0
9,0,9,1,45.77,0.55,1,0
10,0,10,1,70.75,0.55,1,0
11,0,11,0,37.99,0.4,0,0
12,0,12,0,34.57,0.0,0,0
13,0,13,0,38.65,0.0,0,0
14,0,14,1,69.5,0.55,1,0
15,0,15,1,76.35,0.55,1,0
16,0,16,0,32.07,0.0,0,0
17,0,17,1,65.67,0.55,1,0
18,0,18,1,56.19,0.55,1,0
19,0,19,0,27.33,0.35,0,0
20,0,20,1,56.37,0.55,0,0
21,1,0,1,41.21,0.55,0,0
22,1,1,0,62.91,0.35,1,0
23,1,2,0,74.32,0.4,1,0
24,1,3,0,65.59,0.45,1,0
25,1,4,1,39.79,0.0,0,0
26,1,5,0,61.65,0.35,1,0
27,1,6,1,42.81,0.55,0,0
28,1,7,0,68.97,0.45,1,0
29,1,8,0,64.96,0.45,1,0
30,1,9,1,35.74,0.55,0,0
31,1,10,0,71.45,0.45,1,0
32,1,11,0,55.64,0.45,1,0
33,1,12,0,79.04,0.45,1,0
34,1,13,0,49.66,0.45,1,0
35,1,14,0,65.82,0.45,1,0
36,1,15,0,60.28,0.45,1,0
37,1,16,0,62.25,0.45,1,0
38,1,17,0,54.03,0.75,1,0
39,1,18,0,52.34,0.75,1,0
40,1,19,1,40.95,0.55,1,0
0,0,0,1,37.65,0.5,0,1
1,0,1,0,61.46,0.45,1,1
2,0,2,0,71.65,0.0,1,1
3,0,3,1,29.5,0.4,0,1
4,0,4,1,42.3,0.0,0,1
5,0,5,0,53.87,0.35,1,1
6,0,6,1,38.93,0.0,0,1
7,0,7,1,26.13,0.3,0,1
8,0,8,0,68.16,0.35,1,1
9,0,9,1,46.78,0.4,0,1
10,0,10,1,59.07,0.0,0,1
11,0,11,0,51.56,0.35,1,1
12,0,12,0,71.4,0.65,1,1
13,0,13,0,56.22,0.65,1,1
14,0,14,1,49.8,0.0,0,1
15,0,15,1,47.71,0.4,0,1
16,0,16,0,73.59,0.65,1,1
17,0,17,1,43.26,0.45,0,1
18,0,18,0,73.56,0.65,1,1
19,0,19,1,35.28,0.0,0,1
20,0,20,0,58.61,0.65,0,1
21,1,0,0,45.28,0.65,0,1
22,1,1,1,64.27,0.65,1,1
23,1,2,1,67.02,0.65,1,1
24,1,3,1,71.19,0.65,1,1
25,1,4,1,60.74,0.65,1,1
26,1,5,1,67.94,0.65,1,1
27,1,6,1,58.22,0.75,1,1
28,1,7,1,67.01,0.75,1,1
29,1,8,1,54.1,0.75,1,1
30,1,9,1,55.7,0.7,1,1
31,1,10,0,55.63,0.0,0,1
32,1,11,0,35.26,0.65,0,1
33,1,12,0,39.66,0.65,0,1
34,1,13,0,39.58,0.65,0,1
35,1,14,0,46.03,0.0,0,1
36,1,15,0,47.54,0.0,0,1
37,1,16,1,55.64,0.7,1,1
38,1,17,0,34.67,0.0,0,1
39,1,18,1,63.25,0.7,1,1
40,1,19,1,54.91,0.75,0,1
0,0,0,1,22.57,0.5,0,2
1,0,1,0,53.15,0.5,1,2
2,0,2,1,47.52,0.45,0,2
3,0,3,0,61.54,0.55,1,2
4,0,4,1,39.94,0.0,0,2
5,0,5,0,68.79,0.55,1,2
6,0,6,0,75.14,0.57,1,2
7,0,7,0,49.31,0.6,1,2
8,0,8,0,56.43,0.62,1,2
9,0,9,0,61.97,0.65,1,2
10,0,10,1,35.47,0.45,0,2
11,0,11,1,35.53,0.45,0,2
12,0,12,0,75.72,0.65,1,2
13,0,13,0,44.24,0.68,1,2
14,0,14,1,33.18,0.45,0,2
15,0,15,0,62.62,0.65,1,2
16,0,16,0,60.93,0.65,1,2
17,0,17,0,44.49,0.65,1,2
18,0,18,1,42.78,0.45,0,2
19,0,19,1,38.6,0.45,0,2
20,0,20,0,50.12,0.65,0,2
21,1,0,0,46.51,0.65,0,2
22,1,1,1,61.81,0.45,1,2
23,1,2,1,58.4,0.55,1,2
24,1,3,1,52.4,0.55,1,2
25,1,4,1,55.28,0.55,1,2
26,1,5,1,52.81,0.55,1,2
27,1,6,1,53.62,0.55,1,2
28,1,7,1,56.73,0.55,1,2
29,1,8,1,55.26,0.55,1,2
30,1,9,1,59.3,0.55,1,2
31,1,10,1,66.12,0.6,1,2
32,1,11,0,30.03,0.65,0,2
33,1,12,1,52.21,0.6,1,2
34,1,13,1,61.66,0.65,1,2
35,1,14,1,50.62,0.75,1,2
36,1,15,1,57.04,0.65,1,2
37,1,16,1,68.62,0.75,1,2
38,1,17,0,35.95,0.65,0,2
39,1,18,0,43.28,0.0,0,2
40,1,19,1,81.99,0.65,0,2
0,0,0,1,64.55,0.5,1,3
1,0,1,0,48.8,0.45,0,3
2,0,2,0,46.2,0.48,0,3
3,0,3,1,64.34,0.55,1,3
4,0,4,1,52.68,0.58,1,3
5,0,5,1,82.05,0.6,1,3
6,0,6,0,64.89,0.4,0,3
7,0,7,0,47.1,0.42,0,3
8,0,8,0,43.62,0.43,0,3
9,0,9,0,38.95,0.0,0,3
10,0,10,1,50.77,0.65,1,3
11,0,11,1,59.04,0.6,1,3
12,0,12,1,66.14,0.63,1,3
13,0,13,1,65.02,0.65,1,3
14,0,14,1,50.45,0.67,1,3
15,0,15,0,28.45,0.0,0,3
16,0,16,1,52.62,0.67,1,3
17,0,17,1,49.76,0.68,1,3
18,0,18,0,44.64,0.0,0,3
19,0,19,1,62.82,0.67,1,3
20,0,20,0,28.69,0.35,1,3
21,1,0,1,39.35,0.68,0,3
22,1,1,0,67.88,0.4,1,3
23,1,2,0,70.09,0.45,1,3
24,1,3,1,35.01,0.68,0,3
25,1,4,0,64.1,0.4,1,3
26,1,5,1,30.38,0.67,0,3
27,1,6,0,57.95,0.55,1,3
28,1,7,0,62.03,0.5,1,3
29,1,8,0,46.25,0.55,1,3
30,1,9,1,43.52,0.67,0,3
31,1,10,0,52.72,0.55,1,3
32,1,11,0,66.63,0.55,1,3
33,1,12,0,63.98,0.55,1,3
34,1,13,0,52.55,0.55,1,3
35,1,14,0,62.15,0.0,1,3
36,1,15,0,46.92,0.55,1,3
37,1,16,0,52.18,0.55,1,3
38,1,17,0,61.63,0.55,1,3
39,1,18,0,45.29,0.0,1,3
40,1,19,0,61.57,0.55,0,3
0,0,0,1,31.32,0.1,0,4
1,0,1,0,51.43,0.25,1,4
2,0,2,1,41.53,0.0,0,4
3,0,3,0,42.25,0.35,1,4
4,0,4,1,31.29,0.0,0,4
5,0,5,0,61.4,0.4,1,4
6,0,6,1,36.33,0.0,0,4
7,0,7,1,46.14,0.0,0,4
8,0,8,1,32.19,0.0,0,4
9,0,9,0,58.57,0.55,1,4
10,0,10,0,39.98,0.6,1,4
11,0,11,0,58.69,0.65,1,4
12,0,12,1,55.92,0.25,0,4
13,0,13,1,39.09,0.3,0,4
14,0,14,1,48.86,0.35,0,4
15,0,15,1,28.93,0.4,0,4
16,0,16,0,68.22,0.65,1,4
17,0,17,0,49.21,0.68,1,4
18,0,18,1,38.97,0.5,0,4
19,0,19,0,52.82,0.65,1,4
20,0,20,1,27.55,0.5,1,4
21,1,0,1,58.73,0.55,1,4
22,1,1,1,62.88,0.55,1,4
23,1,2,0,50.8,0.65,0,4
24,1,3,0,42.92,0.75,0,4
25,1,4,1,66.45,0.55,1,4
26,1,5,0,65.2,0.75,0,4
27,1,6,1,54.65,0.6,1,4
28,1,7,0,45.31,0.7,0,4
