trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.25,0,0
1,0,1,1,55.23,0.35,1,0
2,0,2,1,62.96,0.4,1,0
3,0,3,0,44.15,0.0,0,0
4,0,4,0,39.68,0.0,0,0
5,0,5,1,60.5,0.55,1,0
6,0,6,1,57.72,0.65,1,0
7,0,7,0,43.47,0.45,0,0
8,0,8,1,61.05,0.6,1,0
9,0,9,0,25.77,0.45,0,0
10,0,10,1,70.75,0.65,1,0
11,0,11,0,37.99,0.35,0,0
12,0,12,1,54.57,0.68,1,0
13,0,13,1,58.65,0.69,1,0
14,0,14,1,69.5,0.7,1,0
15,0,15,0,56.35,0.45,0,0
16,0,16,0,32.07,0.0,0,0
17,0,17,1,65.67,0.75,1,0
18,0,18,0,36.19,0.3,0,0
19,0,19,0,27.33,0.3,0,0
20,0,20,1,56.37,0.75,0,0
21,1,0,1,41.21,0.75,0,0
22,1,1,0,62.91,0.35,1,0
23,1,2,0,74.32,0.35,1,0
24,1,3,0,65.59,0.35,1,0
25,1,4,0,59.79,0.35,1,0
26,1,5,0,61.65,0.35,1,0
27,1,6,0,62.81,0.35,1,0
28,1,7,0,68.97,0.35,1,0
29,1,8,1,44.96,0.75,0,0
30,1,9,0,55.74,0.35,1,0
31,1,10,0,71.45,0.35,1,0
32,1,11,0,55.64,0.35,1,0
33,1,12,0,79.04,0.35,1,0
34,1,13,0,49.66,0.65,1,0
35,1,14,0,65.82,0.65,1,0
36,1,15,0,60.28,0.35,1,0
37,1,16,1,42.25,0.0,0,0
38,1,17,0,54.03,0.65,1,0
39,1,18,0,52.34,0.65,1,0
40,1,19,0,60.95,0.65,0,0
0,0,0,1,37.65,0.25,0,1
1,0,1,0,61.46,0.3,1,1
2,0,2,0,71.65,0.45,1,1
3,0,3,0,49.5,0.55,1,1
4,0,4,0,62.3,0.6,1,1
5,0,5,1,33.87,0.0,0,1
6,0,6,1,38.93,0.15,0,1
7,0,7,1,26.13,0.15,0,1
8,0,8,0,68.16,0.65,1,1
9,0,9,1,46.78,0.15,0,1
10,0,10,0,79.07,0.75,1,1
11,0,11,1,31.56,0.0,0,1
12,0,12,1,51.4,0.0,0,1
13,0,13,0,56.22,0.7,1,1
14,0,14,1,49.8,0.0,0,1
15,0,15,1,47.71,0.0,0,1
16,0,16,0,73.59,0.75,1,1
17,0,17,0,63.26,0.75,1,1
18,0,18,0,73.56,0.7,1,1
19,0,19,0,55.28,0.0,1,1
20,0,20,1,38.61,0.2,1,1
21,1,0,1,65.28,0.25,1,1
22,1,1,1,64.27,0.25,1,1
23,1,2,0,47.02,0.75,0,1
24,1,3,1,71.19,0.25,1,1
25,1,4,1,60.74,0.35,1,1
26,1,5,1,67.94,0.35,1,1
27,1,6,0,38.22,0.75,0,1
28,1,7,1,67.01,0.3,1,1
29,1,8,1,54.1,0.35,1,1
30,1,9,0,35.7,0.7,0,1
31,1,10,1,75.63,0.35,1,1
32,1,11,1,55.26,0.35,1,1
33,1,12,1,59.66,0.35,1,1
34,1,13,1,59.58,0.35,1,1
35,1,14,1,66.03,0.35,1,1
36,1,15,1,67.54,0.35,1,1
37,1,16,0,35.64,0.0,0,1
38,1,17,1,54.67,0.65,1,1
39,1,18,1,63.25,0.65,1,1
40,1,19,0,34.91,0.0,1,1
0,0,0,1,22.57,0.25,0,2
1,0,1,0,53.15,0.35,1,2
