trial,block,block_trial,choice,reward,confidence,accurate,run
0,0,0,0,52.33,0.0,0,0
1,0,1,1,55.23,0.0,1,0
2,0,2,0,42.96,0.0,0,0
3,0,3,1,64.15,0.25,1,0
4,0,4,0,39.68,0.0,0,0
5,0,5,0,40.5,0.0,0,0
6,0,6,1,57.72,0.25,1,0
7,0,7,0,43.47,0.15,0,0
8,0,8,0,41.05,0.0,0,0
9,0,9,0,25.77,0.0,0,0
10,0,10,1,70.75,0.3,1,0
11,0,11,1,57.99,0.35,1,0
12,0,12,0,34.57,0.0,0,0
13,0,13,1,58.65,0.4,1,0
14,0,14,0,49.5,0.0,0,0
15,0,15,1,76.35,0.45,1,0
16,0,16,1,52.07,0.5,1,0
17,0,17,0,45.67,0.0,0,0
18,0,18,0,36.19,0.0,0,0
19,0,19,0,27.33,0.0,0,0
20,0,20,0,36.37,0.0,1,0
21,1,0,0,61.21,0.0,1,0
22,1,1,0,62.91,0.0,1,0
23,1,2,1,54.32,0.45,0,0
24,1,3,1,45.59,0.45,0,0
25,1,4,0,59.79,0.15,1,0
26,1,5,0,61.65,0.15,1,0
27,1,6,0,62.81,0.15,1,0
28,1,7,0,68.97,0.15,1,0
29,1,8,1,44.96,0.0,0,0
30,1,9,1,35.74,0.45,0,0
31,1,10,1,51.45,0.45,0,0
32,1,11,1,35.64,0.45,0,0
33,1,12,0,79.04,0.15,1,0
34,1,13,1,29.66,0.45,0,0
35,1,14,0,65.82,0.15,1,0
36,1,15,1,40.28,0.45,0,0
37,1,16,0,62.25,0.85,1,0
38,1,17,0,54.03,0.85,1,0
39,1,18,1,32.34,0.15,0,0
40,1,19,1,40.95,0.45,1,0
0,0,0,0,57.65,0.0,1,1
1,0,1,1,41.46,0.0,0,1
2,0,2,1,51.65,0.0,0,1
3,0,3,0,49.5,0.25,1,1
4,0,4,1,42.3,0.25,0,1
5,0,5,1,33.87,0.33,0,1
6,0,6,0,58.93,0.4,1,1
7,0,7,0,46.13,0.45,1,1
8,0,8,1,48.16,0.5,0,1
9,0,9,1,46.78,0.55,0,1
10,0,10,1,59.07,0.6,0,1
11,0,11,1,31.56,0.65,0,1
12,0,12,0,71.4,0.7,1,1
13,0,13,1,36.22,0.68,0,1
14,0,14,1,49.8,0.0,0,1
15,0,15,1,47.71,0.0,0,1
16,0,16,1,53.59,0.68,0,1
17,0,17,0,63.26,0.75,1,1
18,0,18,0,73.56,0.76,1,1
19,0,19,0,55.28,0.85,1,1
20,0,20,1,38.61,0.68,1,1
