trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,J,1,[0.53562472 0.55055559 0.53166145 0.55212336],[0.45299161 0.5325352  0.46149767 0.6768492 ],[0.75738896 0.47941766 0.62277898 0.5309169 ],[0.55318886 0.72170564 0.24130457 0.30245169],0
1,Y,X,F,1,[0.58150726 0.52955709 0.51215085 0.54749251],[0.43318444 0.51924505 0.47064389 0.70929483],[0.76201723 0.47972539 0.65313507 0.51656152],[0.56586983 0.7187999  0.22631279 0.30856278],0
2,Y,Y,K,0,[0.57517535 0.53538531 0.48896021 0.54944185],[0.46059155 0.57536747 0.49575638 0.69951361],[0.74245599 0.51837354 0.6673303  0.53143276],[0.5926366  0.73860513 0.26783389 0.32841187],0
3,Y,Y,J,0,[0.5767487  0.58991138 0.44220203 0.56424275],[0.42734426 0.5664801  0.46582068 0.73667359],[0.7489319  0.45213376 0.66079148 0.56749612],[0.60609752 0.75068867 0.26474265 0.34103612],0
4,Y,Y,J,0,[0.55464833 0.62076498 0.47844822 0.54220658],[0.44554499 0.51206743 0.48617144 0.70444076],[0.75847078 0.45229099 0.64493939 0.57708737],[0.6305835  0.7628823  0.24514216 0.3297553 ],0
5,Y,Y,J,1,[0.62464102 0.61262057 0.44963783 0.56441238],[0.38381295 0.49564238 0.48896808 0.69241226],[0.71927762 0.47450085 0.63202721 0.57500421],[0.68135917 0.78728269 0.24395985 0.29491526],0
6,Y,Y,J,0,[0.57970881 0.63435685 0.46295914 0.60175399],[0.40016442 0.45065934 0.46264804 0.72173329],[0.69186342 0.46732745 0.61657046 0.56024317],[0.66419942 0.69305807 0.26778442 0.29663171],0
7,Y,Y,J,0,[0.58356008 0.68064129 0.45172197 0.59846217],[0.43172444 0.4375849  0.48061076 0.71435883],[0.69725223 0.42236829 0.65599426 0.59129179],[0.68799448 0.7013538  0.2553702  0.31357466],0
8,Y,X,F,1,[0.54605399 0.7312627  0.4397199  0.53914006],[0.45227127 0.43331614 0.43933499 0.70914319],[0.69354513 0.41445507 0.67108894 0.62146077],[0.6523026  0.71017715 0.24801623 0.28966686],0
9,Y,X,F,1,[0.53128548 0.74733642 0.42914662 0.53576537],[0.44681205 0.42266309 0.39952863 0.72177446],[0.71684589 0.46058732 0.62968688 0.61227243],[0.70859932 0.69108581 0.2438798  0.28139222],0
10,Y,X,F,1,[0.4851503  0.68236336 0.43410216 0.52366087],[0.48552349 0.45719006 0.39938569 0.73120204],[0.7504649  0.43980001 0.61948758 0.57900233],[0.72893976 0.70920997 0.24612492 0.30660538],0
11,Y,Y,J,0,[0.45567993 0.6688489  0.42932597 0.49164514],[0.4813042  0.44744226 0.40662564 0.722424  ],[0.73986593 0.43034594 0.62527338 0.61146554],[0.76966021 0.70054951 0.22453085 0.30997193],0
12,Y,Y,J,0,[0.49574389 0.66583261 0.43191483 0.46687099],[0.48721164 0.44222586 0.38616061 0.71562236],[0.77821929 0.39982484 0.64207649 0.61638283],[0.7113066  0.68219678 0.24845538 0.28705443],0
