trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,[0.52624206 0.6006781  0.55486974 0.52116877],[0.45461091 0.58998354 0.46959282 0.72086961],[0.74730951 0.38350321 0.67343765 0.54957689],[0.51634358 0.70137293 0.29475567 0.31793512],0
1,X,X,D,1,[0.52468968 0.60072307 0.49653484 0.53258354],[0.44541688 0.54880442 0.45223332 0.71020611],[0.73775693 0.38606399 0.69968184 0.49686565],[0.50079461 0.75610935 0.32481302 0.35808849],0
2,X,X,D,0,[0.52373941 0.65606735 0.47080004 0.52293051],[0.43667561 0.53693796 0.44131246 0.72531522],[0.73688855 0.40510017 0.72942323 0.5051971 ],[0.47760398 0.75194933 0.38194381 0.38398636],0
3,Y,Y,K,0,[0.50156299 0.65364106 0.49746109 0.51969825],[0.43733178 0.53407958 0.45990129 0.7305742 ],[0.8020967  0.40412752 0.74719358 0.51706154],[0.470455   0.78742277 0.4115218  0.40195878],0
4,X,X,D,1,[0.52052763 0.62421546 0.46503706 0.57146502],[0.4267422  0.55686685 0.4745387  0.77595212],[0.77823738 0.41033733 0.73161693 0.48895408],[0.46402031 0.75447078 0.41210077 0.42393188],0
5,X,Y,J,1,[0.52836979 0.64885546 0.45431993 0.58406855],[0.41712425 0.57089192 0.49397455 0.75037867],[0.76805718 0.45883632 0.68496767 0.47596741],[0.42351346 0.77765479 0.38713865 0.40677639],0
6,X,X,D,0,[0.54629635 0.66178687 0.45098483 0.57343726],[0.37419115 0.5287645  0.47235895 0.74109562],[0.7813424  0.47139282 0.67326854 0.49138624],[0.38658073 0.68104893 0.35186162 0.37495222],0
7,X,X,D,0,[0.56179955 0.67418168 0.43766043 0.58870118],[0.33854239 0.51647569 0.48809924 0.75714028],[0.747321   0.47046922 0.70678761 0.51077249],[0.41198141 0.67337711 0.36605431 0.32172108],0
8,X,X,D,0,[0.59699215 0.67860386 0.48086872 0.56490909],[0.3246404  0.48965687 0.53354754 0.7540805 ],[0.7337094  0.45175423 0.71865684 0.50380098],[0.46058456 0.72477606 0.35424866 0.29807504],0
9,X,X,D,0,[0.60293042 0.67522328 0.53369936 0.57590861],[0.32308313 0.5076904  0.57520627 0.7627722 ],[0.73258792 0.4793867  0.72861877 0.45999051],[0.46849097 0.72798108 0.4039752  0.2816394 ],0
