trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,K,0,[0.5844317  0.67791332 0.56685982 0.46422404],[0.46975002 0.59052043 0.48695908 0.74810794],[0.69647546 0.46555356 0.63508224 0.51354553],[0.52939594 0.69260711 0.24935466 0.3135721 ],0
1,Y,Y,K,0,[0.58532279 0.6776941  0.55766579 0.42304492],[0.45087645 0.6136145  0.49759532 0.72905389],[0.69397478 0.45516861 0.58449105 0.53316706],[0.58239624 0.67905461 0.21846845 0.32512157],0
2,X,X,F,1,[0.57658151 0.66582764 0.54674492 0.43815403],[0.45000807 0.63265068 0.52733671 0.73738533],[0.67078415 0.45711794 0.64162184 0.55906493],[0.60750873 0.66927339 0.2765762  0.30595264],0
3,X,X,F,1,[0.57874971 0.69158199 0.55491796 0.42977344],[0.39799929 0.61658517 0.54451232 0.78834801],[0.70036214 0.47509037 0.61121993 0.56258173],[0.61312713 0.65671508 0.31096725 0.26098535],0
4,Y,X,D,1,[0.57238325 0.69173483 0.59490244 0.41606471],[0.37060751 0.58926276 0.53623705 0.76125722],[0.72414807 0.50807367 0.62308164 0.57096711],[0.58055512 0.6850882  0.30186974 0.26818799],0
5,X,X,D,1,[0.60024384 0.75390891 0.62039596 0.37224482],[0.37993889 0.59381976 0.55950743 0.73502264],[0.71510626 0.56191666 0.64426685 0.56599911],[0.56328031 0.68227735 0.31465274 0.25695171],0
6,X,X,D,1,[0.60829896 0.71563014 0.64089479 0.39878069],[0.38049083 0.55051821 0.50890887 0.73174353],[0.72215839 0.55346365 0.64170362 0.5553771 ],[0.60960083 0.65977465 0.30933047 0.24636143],0
7,X,Y,K,0,[0.64001219 0.70644327 0.62141018 0.41801873],[0.40853171 0.53178889 0.50231362 0.69073578],[0.71808746 0.55392756 0.651216   0.55457783],[0.59249312 0.63752065 0.25484816 0.2285261 ],0
8,X,X,D,1,[0.6712945  0.6728716  0.63179145 0.44794047],[0.40271493 0.52562337 0.46760222 0.64389366],[0.74313667 0.51030212 0.64270521 0.57395825],[0.57014967 0.61492577 0.25914032 0.25608715],0
9,X,X,D,1,[0.67516085 0.7121187  0.66738133 0.43865144],[0.37917962 0.53096954 0.46202255 0.61289902],[0.77682571 0.51342225 0.65658202 0.54825642],[0.6101632  0.613625   0.27765375 0.28075761],0
10,X,Y,K,0,[0.69306055 0.74130363 0.64775842 0.46357389],[0.40101232 0.50615685 0.4454797  0.60317549],[0.76598745 0.52984192 0.6679563  0.56228543],[0.58068088 0.65863345 0.23946249 0.27927181],0
11,X,Y,K,0,[0.68661295 0.73956987 0.6312182  0.45885408],[0.38331868 0.50210712 0.43620287 0.63365317],[0.73444009 0.57758036 0.69254117 0.51192164],[0.60095503 0.67854273 0.26906593 0.29601938],0
