trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,[0.50468651 0.63727646 0.52785114 0.51923585],[0.4832755  0.6014746  0.50545807 0.7172003 ],[0.76398069 0.41284408 0.64883443 0.54025108],[0.55438528 0.71427146 0.28089169 0.27337344],0
1,X,X,F,1,[0.55056905 0.61627796 0.50834053 0.514605  ],[0.46346833 0.58818446 0.51460429 0.74964593],[0.76201723 0.41315182 0.67919052 0.5258957 ],[0.56706625 0.71136572 0.25720447 0.27948452],0
2,X,X,F,1,[0.55098957 0.6098478  0.51247067 0.5272783 ],[0.5304826  0.58316424 0.48963307 0.73114251],[0.75488327 0.38222497 0.65125701 0.5189842 ],[0.54008267 0.70851008 0.25753547 0.2764359 ],0
3,X,X,F,1,[0.5263713  0.61422971 0.50949326 0.51557944],[0.5554534  0.58638999 0.50845101 0.72908249],[0.70845046 0.3770878  0.6211996  0.55756746],[0.51256882 0.66408822 0.22645278 0.27185645],0
4,X,X,F,1,[0.5708     0.59221235 0.4853409  0.49009449],[0.5804123  0.59659889 0.51257395 0.74877287],[0.66429868 0.34926609 0.64922487 0.53219893],[0.52443054 0.6724736  0.26799747 0.26316844],0
5,X,X,F,1,[0.53280191 0.64270407 0.47203823 0.51598275],[0.6231218  0.61624795 0.46828027 0.74292908],[0.67568158 0.30998048 0.66242884 0.53310557],[0.54992406 0.62865371 0.27746758 0.24625189],0
6,X,X,F,1,[0.54207461 0.65314268 0.45184998 0.50205969],[0.62822976 0.56823031 0.43757789 0.78072571],[0.71447499 0.32063411 0.68236599 0.54399338],[0.45642155 0.65299313 0.30684647 0.22188243],0
7,X,X,F,1,[0.56236789 0.65498352 0.44010998 0.50866044],[0.66084909 0.56589937 0.43408945 0.74397658],[0.71176717 0.30845274 0.67819066 0.57179043],[0.49911439 0.64547597 0.32224076 0.24304723],0
8,X,X,F,1,[0.5484659  0.6281647  0.48555828 0.51274094],[0.65364443 0.5973543  0.44843335 0.71955472],[0.67979517 0.32340931 0.64068457 0.62241185],[0.49743002 0.63839072 0.29225281 0.24802413],0
9,X,X,F,1,[0.52911814 0.64300484 0.51617907 0.54164984],[0.67256018 0.61556952 0.422725   0.7412743 ],[0.7326258  0.33440883 0.63231244 0.6306414 ],[0.51518783 0.60958754 0.2774843  0.26607372],0
10,X,X,F,1,[0.52503656 0.63149631 0.48282554 0.55453615],[0.67079998 0.59100329 0.45555031 0.74502751],[0.73273633 0.33277485 0.63815834 0.6021614 ],[0.45382259 0.60435021 0.27465065 0.23577856],0
11,X,X,F,1,[0.4753044  0.65387497 0.5030997  0.57444542],[0.67620249 0.62708568 0.44132453 0.76469443],[0.75128707 0.27263083 0.65672184 0.62151093],[0.4272009  0.61261417 0.28394113 0.27644034],0
12,X,Y,J,1,[0.48805972 0.63918992 0.48941237 0.58232169],[0.67174551 0.650181   0.45918813 0.72446865],[0.74581377 0.29366811 0.70515938 0.61846914],[0.42541711 0.61608637 0.28152207 0.28651822],0
13,X,X,F,0,[0.50906898 0.63182027 0.49502922 0.60963237],[0.6783973  0.65323404 0.45833916 0.71417084],[0.76786073 0.30101067 0.70934148 0.65226749],[0.43096888 0.60958986 0.31394938 0.24524958],0
14,X,X,F,1,[0.5227403  0.63653445 0.50682875 0.55671605],[0.67800559 0.6552795  0.46615959 0.70123135],[0.78468444 0.2867963  0.68587044 0.69807024],[0.42088985 0.60765062 0.31115873 0.26392807],0
15,X,X,F,0,[0.54604556 0.62327995 0.51944279 0.54050729],[0.68228982 0.70508028 0.49208742 0.72116285],[0.73214221 0.26962189 0.71684296 0.68005104],[0.41370519 0.61035825 0.30214561 0.26571004],0
16,X,X,F,1,[0.51770011 0.64250557 0.48807943 0.57861601],[0.69990964 0.6777379  0.48501326 0.73838218],[0.7340872  0.28704777 0.71829575 0.70677693],[0.37422496 0.6005383  0.32409384 0.25566127],0
17,X,X,F,1,[0.51622309 0.64101602 0.48932012 0.59300995],[0.72708422 0.70328272 0.49140722 0.74792136],[0.75122993 0.25951191 0.69179343 0.71554007],[0.35174244 0.56558145 0.28599075 0.26186862],0
18,Y,X,F,1,[0.54110379 0.59842131 0.50136171 0.60068595],[0.73499863 0.68625768 0.54016108 0.74074828],[0.76194183 0.21445776 0.71530795 0.6904222 ],[0.36594167 0.55884662 0.32642479 0.25912523],0
19,X,Y,J,1,[0.53618273 0.58983298 0.49078466 0.60075997],[0.69954308 0.69371372 0.53959397 0.73452279],[0.74130585 0.23034745 0.70366453 0.6911122 ],[0.3661099  0.57396886 0.29411266 0.28805001],0
0,X,Y,J,0,[0.55056905 0.61627796 0.50834053 0.514605  ],[0.4832755  0.6014746  0.50545807 0.7172003 ],[0.76398069 0.41284408 0.64883443 0.54025108],[0.55438528 0.71427146 0.28089169 0.27337344],1
1,X,X,D,0,[0.55098957 0.6098478  0.51247067 0.5272783 ],[0.46346833 0.58818446 0.51460429 0.74964593],[0.76201723 0.41315182 0.67919052 0.5258957 ],[0.56706625 0.71136572 0.25720447 0.27948452],1
2,Y,Y,K,1,[0.5263713  0.61422971 0.50949326 0.51557944],[0.5304826  0.58316424 0.48963307 0.73114251],[0.75488327 0.38222497 0.65125701 0.5189842 ],[0.54008267 0.70851008 0.25753547 0.2764359 ],1
3,Y,Y,K,0,[0.5708     0.59221235 0.4853409  0.49009449],[0.5554534  0.58638999 0.50845101 0.72908249],[0.70845046 0.3770878  0.6211996  0.55756746],[0.51256882 0.66408822 0.22645278 0.27185645],1
4,Y,Y,J,1,[0.53280191 0.64270407 0.47203823 0.51598275],[0.5804123  0.59659889 0.51257395 0.74877287],[0.66429868 0.34926609 0.64922487 0.53219893],[0.52443054 0.6724736  0.26799747 0.26316844],1
5,Y,Y,J,0,[0.54207461 0.65314268 0.45184998 0.50205969],[0.6231218  0.61624795 0.46828027 0.74292908],[0.67568158 0.30998048 0.66242884 0.53310557],[0.54992406 0.62865371 0.27746758 0.24625189],1
6,Y,Y,J,0,[0.56236789 0.65498352 0.44010998 0.50866044],[0.62822976 0.56823031 0.43757789 0.78072571],[0.71447499 0.32063411 0.68236599 0.54399338],[0.45642155 0.65299313 0.30684647 0.22188243],1
7,Y,Y,J,1,[0.5484659  0.6281647  0.48555828 0.51274094],[0.66084909 0.56589937 0.43408945 0.74397658],[0.71176717 0.30845274 0.67819066 0.57179043],[0.49911439 0.64547597 0.32224076 0.24304723],1
8,Y,Y,J,1,[0.52911814 0.64300484 0.51617907 0.54164984],[0.65364443 0.5973543  0.44843335 0.71955472],[0.67979517 0.32340931 0.64068457 0.62241185],[0.49743002 0.63839072 0.29225281 0.24802413],1
9,Y,Y,J,0,[0.52503656 0.63149631 0.48282554 0.55453615],[0.67256018 0.61556952 0.422725   0.7412743 ],[0.7326258  0.33440883 0.63231244 0.6306414 ],[0.51518783 0.60958754 0.2774843  0.26607372],1
10,Y,X,F,0,[0.4753044  0.65387497 0.5030997  0.57444542],[0.67079998 0.59100329 0.45555031 0.74502751],[0.73273633 0.33277485 0.63815834 0.6021614 ],[0.45382259 0.60435021 0.27465065 0.23577856],1
