trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,1,[0.56561013 0.61170038 0.56556394 0.51687471],[0.45461091 0.58998354 0.46959282 0.72086961],[0.74730951 0.38350321 0.67343765 0.54957689],[0.51634358 0.70137293 0.29475567 0.31793512],0
1,Y,Y,J,1,[0.56564995 0.61084922 0.56645503 0.5166555 ],[0.43236741 0.58704996 0.45071925 0.74396367],[0.72213872 0.42554263 0.65363049 0.53628674],[0.52539737 0.69103553 0.33326539 0.36579398],0
2,X,X,D,1,[0.59001725 0.64626699 0.54957836 0.52438171],[0.39796928 0.58605035 0.47488035 0.70618829],[0.72118845 0.4808869  0.62789569 0.52663372],[0.5166561  0.67916907 0.32234452 0.38090308],0
3,Y,X,F,0,[0.6552254  0.64529434 0.56734872 0.53624615],[0.38325014 0.51809454 0.45514342 0.71253079],[0.76752121 0.49829311 0.63329264 0.54265836],[0.51998623 0.65884497 0.32849001 0.37940772],0
4,X,X,D,1,[0.61107362 0.61747263 0.59537399 0.51087763],[0.39511186 0.52647992 0.47314089 0.70384278],[0.71742799 0.52666623 0.62419513 0.54986101],[0.55354507 0.6637913  0.3435441  0.40123954],0
5,X,X,D,0,[0.68106631 0.60932822 0.56656359 0.53308343],[0.33337982 0.51005487 0.47593752 0.69181428],[0.72893932 0.54002303 0.60275654 0.56972443],[0.56671038 0.6783797  0.32799265 0.38111187],0
6,X,X,F,0,[0.65470517 0.58768738 0.58487573 0.58075982],[0.32003671 0.49406678 0.42089903 0.72219545],[0.67652539 0.58056622 0.58117634 0.53766184],[0.54767815 0.70434376 0.38208155 0.37882744],0
7,X,X,D,1,[0.65254422 0.53451933 0.59276609 0.57141257],[0.32431714 0.48260435 0.43990763 0.72419958],[0.67738949 0.56711177 0.60838224 0.52732683],[0.54151987 0.73216847 0.38966716 0.37736892],0
8,X,X,F,1,[0.66034184 0.58754623 0.60457625 0.59719907],[0.38775585 0.47326877 0.45967725 0.68572048],[0.68271103 0.60627421 0.6019096  0.57011406],[0.53145395 0.74835314 0.34350195 0.39868266],0
9,X,Y,J,0,[0.67155593 0.60474712 0.57270124 0.58629329],[0.39652535 0.45278669 0.45677673 0.65530083],[0.66542679 0.58271739 0.67060746 0.54162057],[0.55211844 0.78631608 0.38758828 0.34616567],0
10,X,X,F,1,[0.68623665 0.55307235 0.58228254 0.59164906],[0.42926785 0.51624582 0.49505287 0.69278264],[0.57341    0.56251932 0.70183843 0.50613724],[0.50292578 0.70335909 0.33134923 0.3995799 ],0
11,X,X,F,1,[0.67685953 0.57124238 0.59174786 0.56685592],[0.45140389 0.4802421  0.47010961 0.71629343],[0.52781356 0.56468445 0.70007106 0.45492042],[0.4773438  0.7067437  0.3359074  0.39686282],0
