trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,1,[0.48709952 0.63509221 0.5441652  0.53947807],[0.52185235 0.64326569 0.48427174 0.63766895],[0.739754   0.45929414 0.664028   0.5666689 ],[0.49866636 0.73663112 0.27473775 0.29266272],0
1,Y,Y,J,1,[0.46485602 0.63215863 0.52529163 0.56257214],[0.54457709 0.68003501 0.48177106 0.627284  ],[0.77257052 0.42352739 0.7170283  0.5531164 ],[0.48387555 0.70935431 0.25501335 0.27393284],0
2,Y,Y,J,0,[0.46876362 0.61718984 0.54293957 0.59971599],[0.56177412 0.68128144 0.51547196 0.64997647],[0.7247216  0.42906765 0.72542889 0.56525446],[0.45890433 0.69085089 0.2408759  0.28583362],0
3,Y,Y,J,0,[0.46797971 0.60878178 0.57632401 0.56699599],[0.54705498 0.61332563 0.49573503 0.65631897],[0.77105436 0.44647386 0.73082584 0.58127911],[0.46223446 0.67052678 0.25614549 0.28433825],0
4,X,X,F,0,[0.45712746 0.61453747 0.59205654 0.58026571],[0.51922702 0.63030535 0.47372178 0.64623968],[0.73054652 0.45932832 0.67419253 0.61218455],[0.4380821  0.64504183 0.22405066 0.29341009],0
5,X,Y,J,0,[0.46217787 0.61074503 0.59830383 0.52671658],[0.50080783 0.6165508  0.47878056 0.62219939],[0.71724384 0.48521658 0.68495106 0.647099  ],[0.39378842 0.63919804 0.27786058 0.35558418],0
6,X,Y,J,0,[0.47426136 0.62111182 0.58065971 0.51187994],[0.54547186 0.62906985 0.46799874 0.64141846],[0.71857965 0.47363568 0.68447461 0.65224042],[0.3870264  0.6098249  0.26001958 0.40715033],0
7,Y,Y,J,0,[0.48533262 0.6044229  0.58622914 0.52737499],[0.55867309 0.6343814  0.51922405 0.68172138],[0.70014703 0.43609839 0.63629936 0.64899983],[0.36623764 0.62305797 0.25549381 0.38657754],0
8,X,X,F,1,[0.47066502 0.58785951 0.54612116 0.5439857 ],[0.60414429 0.5784703  0.52784295 0.67410572],[0.7049396  0.43452401 0.64320543 0.68765679],[0.36222609 0.62872623 0.22230283 0.46903057],0
9,Y,Y,J,1,[0.48967747 0.56551856 0.54902332 0.57374652],[0.62428089 0.59799762 0.47755771 0.63217417],[0.7342752  0.42239085 0.6520162  0.70046447],[0.38735409 0.65910407 0.26476403 0.51345822],0
10,Y,Y,J,0,[0.55131238 0.55085462 0.56871041 0.57181606],[0.62422946 0.59895955 0.44365489 0.69037425],[0.70223397 0.41514771 0.63714882 0.70154089],[0.38829562 0.63513752 0.2635153  0.52026243],0
