trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,0,[0.52624206 0.6006781  0.55486974 0.52116877],[0.45461091 0.58998354 0.46959282 0.72086961],[0.74730951 0.38350321 0.67343765 0.54957689],[0.51634358 0.70137293 0.29475567 0.31793512],0
1,X,X,D,1,[0.52675574 0.61669521 0.55490956 0.52031761],[0.43236741 0.58704996 0.45071925 0.74396367],[0.77003425 0.42027253 0.67093698 0.53919194],[0.5491601  0.66560619 0.34775597 0.30438262],0
2,X,Y,J,0,[0.52844366 0.63613531 0.554016   0.528718  ],[0.42539893 0.56453025 0.50325829 0.72845951],[0.76416363 0.42393014 0.68340515 0.52074365],[0.54958062 0.65917603 0.35188611 0.31705592],0
3,X,X,D,1,[0.49757646 0.63906023 0.50200721 0.51265249],[0.37416358 0.58212905 0.50229804 0.73506528],[0.73026307 0.43027264 0.68771836 0.54566913],[0.53770125 0.69099988 0.30948282 0.33531051],0
4,X,X,D,1,[0.48672421 0.64481592 0.51773974 0.52592221],[0.34633562 0.59910877 0.48028479 0.72498599],[0.71080959 0.44312709 0.63108505 0.57657458],[0.51354889 0.66551492 0.27738799 0.34438235],0
5,X,X,D,0,[0.46830502 0.63106137 0.52279852 0.50188192],[0.33303295 0.62499703 0.49104333 0.75990043],[0.6665159  0.4372833  0.65894563 0.63874866],[0.49356073 0.67791138 0.25265479 0.35030821],0
6,X,X,D,0,[0.46121005 0.62043254 0.48121544 0.46284742],[0.30745533 0.65443789 0.46144396 0.724275  ],[0.65207023 0.45115911 0.66160146 0.66111029],[0.49120624 0.67362008 0.24008041 0.3695865 ],0
7,X,X,D,0,[0.49292327 0.61124567 0.46173083 0.48208546],[0.33549621 0.63570857 0.4548487  0.68326725],[0.6479993  0.45162302 0.67111385 0.66031101],[0.47409853 0.65136608 0.1955177  0.3481126 ],0
8,X,X,D,1,[0.48299065 0.6439354  0.43489927 0.49682902],[0.341928   0.58286027 0.47856203 0.71404916],[0.66868643 0.44793204 0.64314594 0.6811787 ],[0.48231736 0.67488076 0.26680018 0.33260571],0
9,X,Y,J,0,[0.51070808 0.65618325 0.39174398 0.516273  ],[0.33207243 0.5668781  0.47012937 0.71689987],[0.66594499 0.45184    0.6363     0.72122678],[0.49670911 0.68865661 0.28180751 0.36034467],0
10,X,Y,J,1,[0.5476876  0.69825933 0.42202085 0.52726791],[0.37001339 0.57532321 0.49953024 0.73520737],[0.65544299 0.46743231 0.62164711 0.72917762],[0.48016627 0.67893308 0.2889193  0.35117491],0
