trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,X,X,D,1,[0.48709952 0.63509221 0.5441652  0.53947807],[0.52185235 0.64326569 0.48427174 0.63766895],[0.739754   0.45929414 0.664028   0.5666689 ],[0.49866636 0.73663112 0.27473775 0.29266272],0
1,Y,Y,K,1,[0.48713935 0.63424105 0.54505628 0.53925886],[0.49960885 0.64033211 0.46539817 0.66076301],[0.76247874 0.49606346 0.66152732 0.55628395],[0.53148288 0.70086438 0.32773806 0.27911022],0
2,Y,Y,J,1,[0.50930164 0.62743776 0.55217604 0.53152442],[0.55214789 0.62482795 0.46930577 0.64579422],[0.76246817 0.47761517 0.63143394 0.56671003],[0.5319034  0.69443422 0.33186819 0.29178353],0
3,X,X,D,1,[0.5099578  0.62457938 0.57076488 0.5367834 ],[0.61735604 0.6238553  0.48707612 0.65765867],[0.74285102 0.51503794 0.66101193 0.58468246],[0.57823616 0.71184043 0.33726514 0.30780817],0
4,Y,X,F,0,[0.52660284 0.61790202 0.58221509 0.55696543],[0.63199344 0.66923322 0.49907371 0.61898021],[0.72727437 0.48693048 0.66319517 0.58145365],[0.60781393 0.6844231  0.36330696 0.30751438],0
5,Y,Y,J,1,[0.51948063 0.57706044 0.60238134 0.5628134 ],[0.63704385 0.66544077 0.505321   0.56543108],[0.70231226 0.46977499 0.66831069 0.56430111],[0.59283343 0.66441027 0.35456475 0.32020529],0
6,Y,Y,K,1,[0.53081261 0.57836448 0.64312394 0.55529819],[0.64733946 0.68375016 0.49164009 0.54086331],[0.70740742 0.4764475  0.62214188 0.57559922],[0.61058285 0.65193098 0.35067328 0.27529797],0
7,Y,Y,J,0,[0.52389394 0.56434344 0.61271634 0.55255365],[0.65138941 0.69191677 0.53151536 0.55964434],[0.71845415 0.45602598 0.6407795  0.58694994],[0.55803497 0.68132041 0.35936241 0.28311166],0
8,Y,X,F,1,[0.50155048 0.54174856 0.6170085  0.5586408 ],[0.62079897 0.6961139  0.50435635 0.5439288 ],[0.6879529  0.46238212 0.63820163 0.6202799 ],[0.54905115 0.68368215 0.3412646  0.28134995],0
9,X,X,D,1,[0.52046623 0.55996378 0.59130015 0.58036038],[0.67362961 0.70711342 0.49598422 0.55215836],[0.72961163 0.47515432 0.66243203 0.61257529],[0.55901309 0.63987167 0.34829018 0.29696518],0
10,Y,Y,K,1,[0.55329154 0.563717   0.56168408 0.58321873],[0.67336961 0.69408993 0.46875369 0.54350327],[0.71063059 0.47415147 0.67736433 0.61896069],[0.5929986  0.65727347 0.36534521 0.29668483],0
11,Y,X,D,1,[0.55215219 0.56441019 0.58364879 0.57445673],[0.71476846 0.66010642 0.46501266 0.57129698],[0.71890895 0.4333067  0.67574694 0.63393105],[0.53509256 0.67362708 0.3439398  0.34079952],0
12,Y,X,F,0,[0.51829464 0.5695674  0.61505468 0.56235981],[0.76324071 0.60952519 0.43833392 0.57637199],[0.74540802 0.44963287 0.6339476  0.64519304],[0.530234   0.66582168 0.32018398 0.38009095],0
13,Y,Y,J,1,[0.53865117 0.59337052 0.6171155  0.53950628],[0.74661236 0.63304277 0.48279658 0.62800076],[0.73556285 0.4695128  0.63446921 0.63752132],[0.57309701 0.66569802 0.30873198 0.40243924],0
14,Y,Y,J,1,[0.49924497 0.57131787 0.66019729 0.52536925],[0.783017   0.63055189 0.49722645 0.61802736],[0.74208092 0.52457025 0.61524879 0.63760566],[0.52708089 0.65356957 0.31284964 0.41344139],0
15,Y,X,F,1,[0.51902093 0.5621123  0.64415499 0.52770213],[0.79024563 0.60867205 0.50971438 0.63740342],[0.75603641 0.50395579 0.61197223 0.64111102],[0.49656248 0.66654167 0.32466302 0.38366131],0
16,X,Y,J,0,[0.52146925 0.57235481 0.67435058 0.5059187 ],[0.75744156 0.61960015 0.54961518 0.6236564 ],[0.74870333 0.49216411 0.58133551 0.64923016],[0.49650019 0.6845445  0.3544836  0.38933939],0
17,X,X,D,1,[0.50946902 0.61822343 0.67163144 0.51728057],[0.71265384 0.63509719 0.55133063 0.5839737 ],[0.74610131 0.48629267 0.57506285 0.6251614 ],[0.50144353 0.67005213 0.38013886 0.39162282],0
18,X,X,D,1,[0.52886981 0.60944878 0.65402834 0.56203306],[0.71829977 0.62923996 0.58222678 0.58171146],[0.76655741 0.4663911  0.57828144 0.61849531],[0.48585977 0.68232105 0.40125857 0.36708911],0
19,Y,Y,J,1,[0.55627254 0.60451631 0.63213012 0.54892897],[0.7218512  0.64168615 0.58754515 0.57296405],[0.78007492 0.49812901 0.59481714 0.62621506],[0.46358112 0.62483212 0.40193289 0.35450053],0
0,X,Y,K,0,[0.48713935 0.63424105 0.54505628 0.53925886],[0.52185235 0.64326569 0.48427174 0.63766895],[0.739754   0.45929414 0.664028   0.5666689 ],[0.49866636 0.73663112 0.27473775 0.29266272],1
1,Y,Y,J,0,[0.50930164 0.62743776 0.55217604 0.53152442],[0.49960885 0.64033211 0.46539817 0.66076301],[0.76247874 0.49606346 0.66152732 0.55628395],[0.53148288 0.70086438 0.32773806 0.27911022],1
2,Y,Y,J,0,[0.5099578  0.62457938 0.57076488 0.5367834 ],[0.55214789 0.62482795 0.46930577 0.64579422],[0.76246817 0.47761517 0.63143394 0.56671003],[0.5319034  0.69443422 0.33186819 0.29178353],1
3,X,X,D,0,[0.52660284 0.61790202 0.58221509 0.55696543],[0.61735604 0.6238553  0.48707612 0.65765867],[0.74285102 0.51503794 0.66101193 0.58468246],[0.57823616 0.71184043 0.33726514 0.30780817],1
4,X,X,F,1,[0.51948063 0.57706044 0.60238134 0.5628134 ],[0.63199344 0.66923322 0.49907371 0.61898021],[0.72727437 0.48693048 0.66319517 0.58145365],[0.60781393 0.6844231  0.36330696 0.30751438],1
5,X,X,F,0,[0.53081261 0.57836448 0.64312394 0.55529819],[0.63704385 0.66544077 0.505321   0.56543108],[0.70231226 0.46977499 0.66831069 0.56430111],[0.59283343 0.66441027 0.35456475 0.32020529],1
6,X,Y,J,1,[0.52389394 0.56434344 0.61271634 0.55255365],[0.64733946 0.68375016 0.49164009 0.54086331],[0.70740742 0.4764475  0.62214188 0.57559922],[0.61058285 0.65193098 0.35067328 0.27529797],1
7,X,X,F,1,[0.50155048 0.54174856 0.6170085  0.5586408 ],[0.65138941 0.69191677 0.53151536 0.55964434],[0.71845415 0.45602598 0.6407795  0.58694994],[0.55803497 0.68132041 0.35936241 0.28311166],1
8,X,X,F,1,[0.52046623 0.55996378 0.59130015 0.58036038],[0.62079897 0.6961139  0.50435635 0.5439288 ],[0.6879529  0.46238212 0.63820163 0.6202799 ],[0.54905115 0.68368215 0.3412646  0.28134995],1
9,X,X,F,0,[0.55329154 0.563717   0.56168408 0.58321873],[0.67362961 0.70711342 0.49598422 0.55215836],[0.72961163 0.47515432 0.66243203 0.61257529],[0.55901309 0.63987167 0.34829018 0.29696518],1
10,X,X,F,1,[0.55215219 0.56441019 0.58364879 0.57445673],[0.67336961 0.69408993 0.46875369 0.54350327],[0.71063059 0.47415147 0.67736433 0.61896069],[0.5929986  0.65727347 0.36534521 0.29668483],1
11,X,X,F,1,[0.51829464 0.5695674  0.61505468 0.56235981],[0.71476846 0.66010642 0.46501266 0.57129698],[0.71890895 0.4333067  0.67574694 0.63393105],[0.53509256 0.67362708 0.3439398  0.34079952],1
12,X,X,F,0,[0.53865117 0.59337052 0.6171155  0.53950628],[0.76324071 0.60952519 0.43833392 0.57637199],[0.74540802 0.44963287 0.6339476  0.64519304],[0.530234   0.66582168 0.32018398 0.38009095],1
