trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
0,Y,Y,J,0,[0.54290903 0.59951064 0.61140664 0.59276023],[0.49849187 0.59426086 0.45382726 0.66798908],[0.73480329 0.46752438 0.65936133 0.45816593],[0.52939594 0.69260711 0.24935466 0.3135721 ],0
1,X,X,D,1,[0.54979904 0.63538688 0.62408761 0.58985448],[0.49321825 0.56988943 0.47130751 0.69339396],[0.75639128 0.44740554 0.71802751 0.4261869 ],[0.5500056  0.6851169  0.22562548 0.36183463],0
2,X,X,D,0,[0.49687761 0.65335916 0.61257714 0.6109228 ],[0.52733717 0.56413431 0.48528194 0.70608972],[0.76920715 0.46511687 0.70270675 0.46186903],[0.53776773 0.69898767 0.24419074 0.38792921],0
3,X,X,D,0,[0.47142062 0.63699491 0.61775757 0.62551205],[0.48057899 0.57893522 0.45276944 0.75226052],[0.72006431 0.50227685 0.69245128 0.49642358],[0.53122892 0.73505103 0.28325668 0.34176979],0
4,Y,Y,J,0,[0.43884862 0.66536802 0.60866006 0.63271469],[0.48953944 0.5578162  0.47725541 0.7628823 ],[0.72360359 0.49867156 0.66984994 0.44612462],[0.51051559 0.73299602 0.31475987 0.36517103],0
5,Y,Y,J,0,[0.45958794 0.63304218 0.54692802 0.61628964],[0.52892211 0.57904408 0.44653303 0.77220985],[0.77437927 0.53595426 0.66380979 0.41128458],[0.48961295 0.74127333 0.30801284 0.3968493 ],0
6,Y,X,D,0,[0.44103187 0.59520935 0.55781932 0.60599886],[0.52100856 0.56039255 0.40419744 0.73098119],[0.76816941 0.53319382 0.67135723 0.44190645],[0.50293426 0.77861495 0.29565847 0.37466422],0
7,X,X,D,1,[0.38654956 0.57373545 0.51742916 0.62497392],[0.51818763 0.51732295 0.41628261 0.73195461],[0.75494319 0.51836504 0.66003971 0.41457679],[0.5022179  0.73422964 0.26304569 0.38225324],0
8,Y,Y,K,1,[0.37583167 0.53796345 0.51971232 0.65648873],[0.48915617 0.49956551 0.43945444 0.71477491],[0.74332034 0.51663394 0.68364892 0.41286731],[0.52273046 0.74650452 0.23359463 0.37372626],0
9,X,X,D,1,[0.37893528 0.52011586 0.50820175 0.64459668],[0.49924126 0.44018082 0.43890971 0.76740097],[0.76251963 0.50774665 0.68455422 0.39495122],[0.53861454 0.73375022 0.23335589 0.39053596],0
10,Y,Y,J,0,[0.34945295 0.56512431 0.4700105  0.64311089],[0.52106996 0.46179287 0.42624888 0.77246421],[0.77670766 0.52415297 0.6837599  0.38498884],[0.58020823 0.74856068 0.23335612 0.38378424],0
11,Y,Y,K,0,[0.30700905 0.53277765 0.45445059 0.69084933],[0.4713378  0.48417152 0.44652303 0.76990928],[0.7554025  0.56023536 0.66953412 0.40465575],[0.59875896 0.68841667 0.2685635  0.40313377],0
12,X,X,D,1,[0.3071216  0.50814274 0.44999362 0.71394466],[0.44553193 0.5026099  0.4423368  0.77103727],[0.72491428 0.59496745 0.66775033 0.40812796],[0.63176002 0.67525472 0.28016672 0.43285222],0
13,Y,Y,J,1,[0.29964451 0.49712232 0.48119768 0.72311153],[0.44349783 0.48226292 0.46026649 0.75709322],[0.74341816 0.58859934 0.68336781 0.4215169 ],[0.6373118  0.66875821 0.31259403 0.39158357],0
14,X,X,D,0,[0.2862919  0.49096247 0.48618012 0.69800855],[0.46671625 0.47953157 0.46921476 0.75155136],[0.75708948 0.59331352 0.69516734 0.36860058],[0.63692009 0.67080368 0.32041446 0.37864408],0
15,X,X,D,0,[0.27618353 0.52465131 0.45511728 0.68132385],[0.47839568 0.48000966 0.46403519 0.77200299],[0.74471176 0.59109149 0.71848162 0.37620799],[0.6263659  0.69638387 0.30657431 0.3870528 ],0
16,X,Y,K,1,[0.28641925 0.49855082 0.43961149 0.65334895],[0.46640412 0.47205129 0.44127052 0.7205254 ],[0.76643271 0.57247912 0.73994498 0.37444983],[0.65055943 0.70246297 0.26258423 0.31857214],0
17,Y,Y,J,0,[0.32421265 0.53696263 0.42391772 0.641407  ],[0.48617471 0.4667983  0.46854143 0.74329864],[0.75136919 0.54421732 0.7544403  0.3870328 ],[0.68495701 0.69783234 0.28429108 0.37509467],0
18,X,X,D,0,[0.27976277 0.52718968 0.42703205 0.65815913],[0.46702366 0.48155598 0.47754413 0.78326911],[0.75100915 0.57612989 0.74325124 0.4228031 ],[0.68770579 0.72711178 0.25902224 0.4100657 ],0
19,X,Y,J,0,[0.27070985 0.52822571 0.4157968  0.67517062],[0.46679826 0.46765183 0.46018504 0.76039719],[0.78078349 0.57471041 0.73512779 0.39444269],[0.64047697 0.73713183 0.32657834 0.39210711],0
0,X,Y,K,1,[0.54979904 0.63538688 0.62408761 0.58985448],[0.49849187 0.59426086 0.45382726 0.66798908],[0.73480329 0.46752438 0.65936133 0.45816593],[0.52939594 0.69260711 0.24935466 0.3135721 ],1
1,X,X,D,1,[0.49687761 0.65335916 0.61257714 0.6109228 ],[0.49321825 0.56988943 0.47130751 0.69339396],[0.75639128 0.44740554 0.71802751 0.4261869 ],[0.5500056  0.6851169  0.22562548 0.36183463],1
2,Y,Y,K,0,[0.47142062 0.63699491 0.61775757 0.62551205],[0.52733717 0.56413431 0.48528194 0.70608972],[0.76920715 0.46511687 0.70270675 0.46186903],[0.53776773 0.69898767 0.24419074 0.38792921],1
3,Y,Y,K,1,[0.43884862 0.66536802 0.60866006 0.63271469],[0.48057899 0.57893522 0.45276944 0.75226052],[0.72006431 0.50227685 0.69245128 0.49642358],[0.53122892 0.73505103 0.28325668 0.34176979],1
4,Y,Y,K,1,[0.45958794 0.63304218 0.54692802 0.61628964],[0.48953944 0.5578162  0.47725541 0.7628823 ],[0.72360359 0.49867156 0.66984994 0.44612462],[0.51051559 0.73299602 0.31475987 0.36517103],1
5,X,X,D,1,[0.44103187 0.59520935 0.55781932 0.60599886],[0.52892211 0.57904408 0.44653303 0.77220985],[0.77437927 0.53595426 0.66380979 0.41128458],[0.48961295 0.74127333 0.30801284 0.3968493 ],1
6,X,X,D,0,[0.38654956 0.57373545 0.51742916 0.62497392],[0.52100856 0.56039255 0.40419744 0.73098119],[0.76816941 0.53319382 0.67135723 0.44190645],[0.50293426 0.77861495 0.29565847 0.37466422],1
7,X,X,D,0,[0.37583167 0.53796345 0.51971232 0.65648873],[0.51818763 0.51732295 0.41628261 0.73195461],[0.75494319 0.51836504 0.66003971 0.41457679],[0.5022179  0.73422964 0.26304569 0.38225324],1
8,X,X,D,1,[0.37893528 0.52011586 0.50820175 0.64459668],[0.48915617 0.49956551 0.43945444 0.71477491],[0.74332034 0.51663394 0.68364892 0.41286731],[0.52273046 0.74650452 0.23359463 0.37372626],1
9,X,X,D,1,[0.34945295 0.56512431 0.4700105  0.64311089],[0.49924126 0.44018082 0.43890971 0.76740097],[0.76251963 0.50774665 0.68455422 0.39495122],[0.53861454 0.73375022 0.23335589 0.39053596],1
10,X,X,D,0,[0.30700905 0.53277765 0.45445059 0.69084933],[0.52106996 0.46179287 0.42624888 0.77246421],[0.77670766 0.52415297 0.6837599  0.38498884],[0.58020823 0.74856068 0.23335612 0.38378424],1
11,X,X,D,1,[0.3071216  0.50814274 0.44999362 0.71394466],[0.4713378  0.48417152 0.44652303 0.76990928],[0.7554025  0.56023536 0.66953412 0.40465575],[0.59875896 0.68841667 0.2685635  0.40313377],1
12,X,X,D,0,[0.29964451 0.49712232 0.48119768 0.72311153],[0.44553193 0.5026099  0.4423368  0.77103727],[0.72491428 0.59496745 0.66775033 0.40812796],[0.63176002 0.67525472 0.28016672 0.43285222],1
